Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.7779,0.306348,0.002724,0.000334,0.183856
2000,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.265118
7000,0.7779,0.306348,0.002724,0.000334,0.188186
8000,0.7779,0.306348,0.002724,0.000334,0.273708
9000,0.7779,0.306348,0.002724,0.000334,0.232592
10000,0.7779,0.306348,0.002724,0.000334,0.243500
11000,0.7779,0.306348,0.002724,0.000334,0.267714
12000,0.7779,0.306348,0.002724,0.000334,0.268970
13000,0.7779,0.306348,0.002724,0.000334,0.233192
14000,0.7779,0.306348,0.002724,0.000334,0.251638
15000,0.7779,0.306348,0.002724,0.000334,0.256257
16000,0.7779,0.306348,0.002724,0.000334,0.259556
17000,0.7779,0.306348,0.002724,0.000334,0.251677
18000,0.7779,0.306348,0.002724,0.000334,0.247271
19000,0.7779,0.306348,0.002724,0.000334,0.256999
20000,0.7779,0.306348,0.002724,0.000334,0.253074
21000,0.7779,0.306348,0.002724,0.000334,0.254432
22000,0.7779,0.306348,0.002724,0.000334,0.256496
23000,0.7779,0.306348,0.002724,0.000334,0.253068
24000,0.7779,0.306348,0.002724,0.000334,0.262845
25000,0.7779,0.306348,0.002724,0.000334,0.251587
26000,0.7779,0.306348,0.002724,0.000334,0.253858
27000,0.7779,0.306348,0.002724,0.000334,0.267182
28000,0.7779,0.306348,0.002724,0.000334,0.259778
29000,0.7779,0.306348,0.002724,0.000334,0.259067
30000,0.7779,0.306348,0.002724,0.000334,0.258750
31000,0.7779,0.306348,0.002724,0.000334,0.264391
32000,0.7779,0.306348,0.002724,0.000334,0.255682
33000,0.7779,0.306348,0.002724,0.000334,0.255461
34000,0.7779,0.306348,0.002724,0.000334,0.256952
35000,0.7779,0.306348,0.002724,0.000334,0.263979
36000,0.7779,0.306348,0.002724,0.000334,0.258850
37000,0.7779,0.306348,0.002724,0.000334,0.260282
38000,0.7779,0.306348,0.002724,0.000334,0.264529
39000,0.7779,0.306348,0.002724,0.000334,0.286958
