Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.7779,0.306348,0.002724,0.000334,0.183856
2000,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.269580
7000,0.7779,0.306348,0.002724,0.000334,0.304095
8000,0.7779,0.306348,0.002724,0.000334,0.347134
9000,0.7779,0.306348,0.002724,0.000334,0.346523
10000,0.7779,0.306348,0.002724,0.000334,0.347275
11000,0.7779,0.306348,0.002724,0.000334,0.346312
12000,0.7779,0.306348,0.002724,0.000334,0.347721
13000,0.7779,0.306348,0.002724,0.000334,0.349552
14000,0.7779,0.306348,0.002724,0.000334,0.346148
15000,0.7779,0.306348,0.002724,0.000334,0.349364
16000,0.7779,0.306348,0.002724,0.000334,0.346993
17000,0.7779,0.306348,0.002724,0.000334,0.348942
18000,0.7779,0.306348,0.002724,0.000334,0.345842
19000,0.7779,0.306348,0.002724,0.000334,0.348331
20000,0.7779,0.306348,0.002724,0.000334,0.342720
21000,0.7779,0.306348,0.002724,0.000334,0.350139
22000,0.7779,0.306348,0.002724,0.000334,0.336568
23000,0.7779,0.306348,0.002724,0.000334,0.348871
24000,0.7779,0.306348,0.002724,0.000334,0.336521
25000,0.7779,0.306348,0.002724,0.000334,0.348989
26000,0.7779,0.306348,0.002724,0.000334,0.339292
27000,0.7779,0.306348,0.002724,0.000334,0.349411
28000,0.7779,0.306348,0.002724,0.000334,0.346030
29000,0.7779,0.306348,0.002724,0.000334,0.349834
30000,0.7779,0.306348,0.002724,0.000334,0.342861
31000,0.7779,0.306348,0.002724,0.000334,0.347768
32000,0.7779,0.306348,0.002724,0.000334,0.347580
33000,0.7779,0.306348,0.002724,0.000334,0.349576
34000,0.7779,0.306348,0.002724,0.000334,0.348754
35000,0.7779,0.306348,0.002724,0.000334,0.346688
36000,0.7779,0.306348,0.002724,0.000334,0.351900
37000,0.7779,0.306348,0.002724,0.000334,0.346007
38000,0.7779,0.306348,0.002724,0.000334,0.347838
39000,0.7779,0.306348,0.002724,0.000334,0.347322
