Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
30000000,1.3415,0.039994,0.023482,0.002970,0.206854
30001000,1.3415,0.039994,0.023482,0.002970,0.206831
30002000,1.3415,0.039994,0.023482,0.002970,0.206877
30003000,1.3415,0.039994,0.023482,0.002970,0.206701
30004000,1.3415,0.039994,0.023482,0.002970,0.206603
30005000,1.3415,0.039994,0.023482,0.002970,0.206975
30006000,1.3415,0.039994,0.023482,0.002970,0.206961
30007000,1.3415,0.039994,0.023482,0.002970,0.206724
30008000,1.3415,0.039994,0.023482,0.002970,0.206610
30009000,1.3415,0.039994,0.023482,0.002970,0.206968
30010000,1.3415,0.039994,0.023482,0.002970,0.206777
30011000,1.3415,0.039994,0.023482,0.002970,0.206733
30012000,1.3415,0.039994,0.023482,0.002970,0.206670
30013000,1.3415,0.039994,0.023482,0.002970,0.206854
30014000,1.3415,0.039994,0.023482,0.002970,0.206777
30015000,1.3415,0.039994,0.023482,0.002970,0.206854
30016000,1.3415,0.039994,0.023482,0.002970,0.206603
30017000,1.3415,0.039994,0.023482,0.002970,0.206724
30018000,1.3415,0.039994,0.023482,0.002970,0.206854
30019000,1.3415,0.039994,0.023482,0.002970,0.206777
30020000,1.3415,0.039994,0.023482,0.002970,0.206733
30021000,1.3415,0.039994,0.023482,0.002970,0.206677
30022000,1.3415,0.039994,0.023482,0.002970,0.207410
30023000,1.3415,0.039994,0.023482,0.002970,0.206747
30024000,1.3415,0.039994,0.023482,0.002970,0.206603
30025000,1.3415,0.039994,0.023482,0.002970,0.206724
30026000,1.3415,0.039994,0.023482,0.002970,0.206733
30027000,1.3415,0.039994,0.023482,0.002970,0.206861
30028000,1.3415,0.039994,0.023482,0.002970,0.206891
30029000,1.3415,0.039994,0.023482,0.002970,0.206777
30030000,1.3415,0.039994,0.023482,0.002970,0.206786
30031000,1.3415,0.039994,0.023482,0.002970,0.206724
30032000,1.3415,0.039994,0.023482,0.002970,0.206854
30033000,1.3415,0.039994,0.023482,0.002970,0.206549
30034000,1.3415,0.039994,0.023482,0.002970,0.207082
30035000,1.3415,0.039994,0.023482,0.002970,0.206898
30036000,1.3415,0.039994,0.023482,0.002970,0.206733
30037000,1.3415,0.039994,0.023482,0.002970,0.206670
30038000,1.3415,0.039994,0.023482,0.002970,0.206854
30039000,1.3415,0.039994,0.023482,0.002970,0.206656
30040000,1.3415,0.039994,0.023482,0.002970,0.206800
30041000,1.3415,0.039994,0.023482,0.002970,0.206777
30042000,1.3415,0.039994,0.023482,0.002970,0.207135
30043000,1.3415,0.039994,0.023482,0.002970,0.206898
30044000,1.3415,0.039994,0.023482,0.002970,0.206779
30045000,1.3415,0.039994,0.023482,0.002970,0.206701
30046000,1.3415,0.039994,0.023482,0.002970,0.206777
30047000,1.3415,0.039994,0.023482,0.002970,0.206656
30048000,1.3415,0.039994,0.023482,0.002970,0.206938
30049000,1.3415,0.039994,0.023482,0.002970,0.206640
30050000,1.3415,0.039994,0.023482,0.002970,0.206724
30051000,1.3415,0.039994,0.023482,0.002970,0.207082
30052000,1.3415,0.039994,0.023482,0.002970,0.206854
30053000,1.3415,0.039994,0.023482,0.002970,0.206656
30054000,1.3415,0.039994,0.023482,0.002970,0.206945
30055000,1.3415,0.039994,0.023482,0.002970,0.206808
30056000,1.3415,0.039994,0.023482,0.002970,0.206733
30057000,1.3415,0.039994,0.023482,0.002970,0.206724
30058000,1.3415,0.039994,0.023482,0.002970,0.206724
30059000,1.3415,0.039994,0.023482,0.002970,0.206961
30060000,1.3415,0.039994,0.023482,0.002970,0.206854
30061000,1.3415,0.039994,0.023482,0.002970,0.206724
30062000,1.3415,0.039994,0.023482,0.002970,0.206603
30063000,1.3415,0.039994,0.023482,0.002970,0.206854
30064000,1.3415,0.039994,0.023482,0.002970,0.206777
30065000,1.3415,0.039994,0.023482,0.002970,0.206747
30066000,1.3415,0.039994,0.023482,0.002970,0.206603
30067000,1.3415,0.039994,0.023482,0.002970,0.206724
30068000,1.3415,0.039994,0.023482,0.002970,0.206733
30069000,1.3415,0.039994,0.023482,0.002970,0.207082
30070000,1.3415,0.039994,0.023482,0.002970,0.206670
30071000,1.3415,0.039994,0.023482,0.002970,0.206633
30072000,1.3415,0.039994,0.023482,0.002970,0.206877
30073000,1.3415,0.039994,0.023482,0.002970,0.206670
30074000,1.3415,0.039994,0.023482,0.002970,0.206854
30075000,1.3415,0.039994,0.023482,0.002970,0.206656
30076000,1.3415,0.039994,0.023482,0.002970,0.206854
30077000,1.3415,0.039994,0.023482,0.002970,0.207126
30078000,1.3415,0.039994,0.023482,0.002970,0.206854
30079000,1.3415,0.039994,0.023482,0.002970,0.206656
30080000,1.3415,0.039994,0.023482,0.002970,0.206854
30081000,1.3415,0.039994,0.023482,0.002970,0.207028
30082000,1.3415,0.039994,0.023482,0.002970,0.206724
30083000,1.3415,0.039994,0.023482,0.002970,0.206656
30084000,1.3415,0.039994,0.023482,0.002970,0.206975
30085000,1.3415,0.039994,0.023482,0.002970,0.206656
30086000,1.3415,0.039994,0.023482,0.002970,0.206854
30087000,1.3415,0.039994,0.023482,0.002970,0.206670
30088000,1.3415,0.039994,0.023482,0.002970,0.206854
30089000,1.3415,0.039994,0.023482,0.002970,0.206656
30090000,1.3415,0.039994,0.023482,0.002970,0.206854
30091000,1.3415,0.039994,0.023482,0.002970,0.206724
30092000,1.3415,0.039994,0.023482,0.002970,0.206907
30093000,1.3415,0.039994,0.023482,0.002970,0.206824
30094000,1.3415,0.039994,0.023482,0.002970,0.206929
30095000,1.3415,0.039994,0.023482,0.002970,0.206656
30096000,1.3415,0.039994,0.023482,0.002970,0.207082
30097000,1.3415,0.039994,0.023482,0.002970,0.206898
30098000,1.3415,0.039994,0.023482,0.002970,0.206854
30099000,1.3415,0.039994,0.023482,0.002970,0.206549
30100000,1.3415,0.039994,0.023482,0.002970,0.206854
30101000,1.3415,0.039994,0.023482,0.002970,0.206831
30102000,1.3415,0.039994,0.023482,0.002970,0.206800
30103000,1.3415,0.039994,0.023482,0.002970,0.206603
30104000,1.3415,0.039994,0.023482,0.002970,0.206724
30105000,1.3415,0.039994,0.023482,0.002970,0.206854
30106000,1.3415,0.039994,0.023482,0.002970,0.206938
30107000,1.3415,0.039994,0.023482,0.002970,0.206975
30108000,1.3415,0.039994,0.023482,0.002970,0.206907
30109000,1.3415,0.039994,0.023482,0.002970,0.207082
30110000,1.3415,0.039994,0.023482,0.002970,0.206724
30111000,1.3415,0.039994,0.023482,0.002970,0.206907
30112000,1.3415,0.039994,0.023482,0.002970,0.206670
30113000,1.3415,0.039994,0.023482,0.002970,0.206961
30114000,1.3415,0.039994,0.023482,0.002970,0.206670
30115000,1.3415,0.039994,0.023482,0.002970,0.206656
30116000,1.3415,0.039994,0.023482,0.002970,0.206854
30117000,1.3415,0.039994,0.023482,0.002970,0.206898
30118000,1.3415,0.039994,0.023482,0.002970,0.206854
30119000,1.3415,0.039994,0.023482,0.002970,0.206549
30120000,1.3415,0.039994,0.023482,0.002970,0.206854
30121000,1.3415,0.039994,0.023482,0.002970,0.206777
30122000,1.3415,0.039994,0.023482,0.002970,0.206733
30123000,1.3415,0.039994,0.023482,0.002970,0.206724
30124000,1.3415,0.039994,0.023482,0.002970,0.206724
30125000,1.3415,0.039994,0.023482,0.002970,0.206907
30126000,1.3415,0.039994,0.023482,0.002970,0.206884
30127000,1.3415,0.039994,0.023482,0.002970,0.206694
30128000,1.3415,0.039994,0.023482,0.002970,0.206596
30129000,1.3415,0.039994,0.023482,0.002970,0.206861
30130000,1.3415,0.039994,0.023482,0.002970,0.206952
30131000,1.3415,0.039994,0.023482,0.002970,0.206786
30132000,1.3415,0.039994,0.023482,0.002970,0.206694
30133000,1.3415,0.039994,0.023482,0.002970,0.206884
30134000,1.3415,0.039994,0.023482,0.002970,0.206670
30135000,1.3415,0.039994,0.023482,0.002970,0.206816
30136000,1.3415,0.039994,0.023482,0.002970,0.206640
30137000,1.3415,0.039994,0.023482,0.002970,0.206907
30138000,1.3415,0.039994,0.023482,0.002970,0.206891
30139000,1.3415,0.039994,0.023482,0.002970,0.206861
30140000,1.3415,0.039994,0.023482,0.002970,0.206656
30141000,1.3415,0.039994,0.023482,0.002970,0.206670
30142000,1.3415,0.039994,0.023482,0.002970,0.206854
