Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
6000000,8.6440,0.261844,0.058609,0.079322,5.529136
6001000,8.6440,0.261844,0.058609,0.079322,6.096176
6002000,8.6440,0.261844,0.058609,0.079322,6.115551
6003000,8.6440,0.261844,0.058609,0.079322,5.787204
6004000,8.6440,0.261844,0.058609,0.079322,5.778751
6005000,8.6440,0.261844,0.058609,0.079322,5.730217
6006000,8.6440,0.261844,0.058609,0.079322,5.740354
6007000,8.6440,0.261844,0.058609,0.079322,5.635970
6008000,8.6440,0.261844,0.058609,0.079322,5.734415
6009000,8.6440,0.261844,0.058609,0.079322,5.637889
6010000,8.6440,0.261844,0.058609,0.079322,5.644756
6011000,8.6440,0.261844,0.058609,0.079322,5.268031
6012000,8.6440,0.261844,0.058609,0.079322,5.273002
6013000,8.6440,0.261844,0.058609,0.079322,5.342727
6014000,8.6440,0.261844,0.058609,0.079322,5.210798
6015000,8.6440,0.261844,0.058609,0.079322,5.140295
6016000,8.6440,0.261844,0.058609,0.079322,5.161756
6017000,8.6440,0.261844,0.058609,0.079322,4.956732
6018000,8.6440,0.261844,0.058609,0.079322,4.898730
6019000,8.6440,0.261844,0.058609,0.079322,4.834887
6020000,8.6440,0.261844,0.058609,0.079322,4.590780
6021000,8.6440,0.261844,0.058609,0.079322,4.429893
6022000,8.6440,0.261844,0.058609,0.079322,4.332136
6023000,8.6440,0.261844,0.058609,0.079322,4.349172
6024000,8.6440,0.261844,0.058609,0.079322,4.367403
6025000,8.6440,0.261844,0.058609,0.079322,4.250985
6026000,8.6440,0.261844,0.058609,0.079322,4.268846
6027000,8.6440,0.261844,0.058609,0.079322,4.290055
6028000,8.6440,0.261844,0.058609,0.079322,4.399137
6029000,8.6440,0.261844,0.058609,0.079322,4.458787
6030000,8.6440,0.261844,0.058609,0.079322,4.424757
6031000,8.6440,0.261844,0.058609,0.079322,4.555750
6032000,8.6440,0.261844,0.058609,0.079322,4.498075
6033000,8.6440,0.261844,0.058609,0.079322,4.730754
6034000,8.6440,0.261844,0.058609,0.079322,4.918478
6035000,8.6440,0.261844,0.058609,0.079322,4.968311
6036000,8.6440,0.261844,0.058609,0.079322,4.671204
6037000,8.6440,0.261844,0.058609,0.079322,4.728431
6038000,8.6440,0.261844,0.058609,0.079322,4.638055
6039000,8.6440,0.261844,0.058609,0.079322,4.480889
6040000,8.6440,0.261844,0.058609,0.079322,4.257401
6041000,8.6440,0.261844,0.058609,0.079322,4.233598
6042000,8.6440,0.261844,0.058609,0.079322,4.082563
6043000,8.6440,0.261844,0.058609,0.079322,4.203029
6044000,8.6440,0.261844,0.058609,0.079322,4.039505
6045000,8.6440,0.261844,0.058609,0.079322,4.009120
6046000,8.6440,0.261844,0.058609,0.079322,4.202897
6047000,8.6440,0.261844,0.058609,0.079322,4.161492
6048000,8.6440,0.261844,0.058609,0.079322,4.101590
6049000,8.6440,0.261844,0.058609,0.079322,4.223031
6050000,8.6440,0.261844,0.058609,0.079322,4.523456
6051000,8.6440,0.261844,0.058609,0.079322,4.857890
6052000,8.6440,0.261844,0.058609,0.079322,4.824702
6053000,8.6440,0.261844,0.058609,0.079322,5.040065
6054000,8.6440,0.261844,0.058609,0.079322,4.837182
6055000,8.6440,0.261844,0.058609,0.079322,5.388297
6056000,8.6440,0.261844,0.058609,0.079322,5.353692
6057000,8.6440,0.261844,0.058609,0.079322,5.031176
6058000,8.6440,0.261844,0.058609,0.079322,5.190478
6059000,8.6440,0.261844,0.058609,0.079322,5.561515
6060000,8.6440,0.261844,0.058609,0.079322,5.331043
6061000,8.6440,0.261844,0.058609,0.079322,5.435943
6062000,8.6440,0.261844,0.058609,0.079322,5.509381
6063000,8.6440,0.261844,0.058609,0.079322,5.708797
6064000,8.6440,0.261844,0.058609,0.079322,5.528639
6065000,8.6440,0.261844,0.058609,0.079322,5.702148
6066000,8.6440,0.261844,0.058609,0.079322,5.760581
6067000,8.6440,0.261844,0.058609,0.079322,5.581277
6068000,8.6440,0.261844,0.058609,0.079322,5.481180
6069000,8.6440,0.261844,0.058609,0.079322,5.659617
6070000,8.6440,0.261844,0.058609,0.079322,5.528471
6071000,8.6440,0.261844,0.058609,0.079322,5.489735
6072000,8.6440,0.261844,0.058609,0.079322,5.507227
6073000,8.6440,0.261844,0.058609,0.079322,5.417134
6074000,8.6440,0.261844,0.058609,0.079322,5.132479
6075000,8.6440,0.261844,0.058609,0.079322,5.302609
6076000,8.6440,0.261844,0.058609,0.079322,5.478730
6077000,8.6440,0.261844,0.058609,0.079322,5.492757
6078000,8.6440,0.261844,0.058609,0.079322,5.533695
6079000,8.6440,0.261844,0.058609,0.079322,5.707395
6080000,8.6440,0.261844,0.058609,0.079322,5.821556
6081000,8.6440,0.261844,0.058609,0.079322,5.724304
6082000,8.6440,0.261844,0.058609,0.079322,5.631019
6083000,8.6440,0.261844,0.058609,0.079322,5.532768
6084000,8.6440,0.261844,0.058609,0.079322,5.488648
6085000,8.6440,0.261844,0.058609,0.079322,5.629590
6086000,8.6440,0.261844,0.058609,0.079322,5.857759
6087000,8.6440,0.261844,0.058609,0.079322,5.941272
6088000,8.6440,0.261844,0.058609,0.079322,6.018501
6089000,8.6440,0.261844,0.058609,0.079322,6.055749
6090000,8.6440,0.261844,0.058609,0.079322,6.206042
6091000,8.6440,0.261844,0.058609,0.079322,6.024505
6092000,8.6440,0.261844,0.058609,0.079322,6.024592
6093000,8.6440,0.261844,0.058609,0.079322,6.016304
6094000,8.6440,0.261844,0.058609,0.079322,6.244755
6095000,8.6440,0.261844,0.058609,0.079322,5.900424
6096000,8.6440,0.261844,0.058609,0.079322,6.094248
6097000,8.6440,0.261844,0.058609,0.079322,6.262457
6098000,8.6440,0.261844,0.058609,0.079322,6.471405
6099000,8.6440,0.261844,0.058609,0.079322,6.234100
6100000,8.6440,0.261844,0.058609,0.079322,6.507171
6101000,8.6440,0.261844,0.058609,0.079322,6.289016
6102000,8.6440,0.261844,0.058609,0.079322,5.563372
6103000,8.6440,0.261844,0.058609,0.079322,6.166733
6104000,8.6440,0.261844,0.058609,0.079322,6.256392
6105000,8.6440,0.261844,0.058609,0.079322,6.313202
6106000,8.6440,0.261844,0.058609,0.079322,6.248437
6107000,8.6440,0.261844,0.058609,0.079322,6.696555
6108000,8.6440,0.261844,0.058609,0.079322,6.347890
6109000,8.6440,0.261844,0.058609,0.079322,6.219560
6110000,8.6440,0.261844,0.058609,0.079322,6.707421
6111000,8.6440,0.261844,0.058609,0.079322,6.044022
6112000,8.6440,0.261844,0.058609,0.079322,6.601620
6113000,8.6440,0.261844,0.058609,0.079322,6.534411
6114000,8.6440,0.261844,0.058609,0.079322,6.420587
6115000,8.6440,0.261844,0.058609,0.079322,6.210125
6116000,8.6440,0.261844,0.058609,0.079322,6.185705
6117000,8.6440,0.261844,0.058609,0.079322,6.251958
6118000,8.6440,0.261844,0.058609,0.079322,6.390484
6119000,8.6440,0.261844,0.058609,0.079322,6.068364
6120000,8.6440,0.261844,0.058609,0.079322,6.120932
6121000,8.6440,0.261844,0.058609,0.079322,5.859745
6122000,8.6440,0.261844,0.058609,0.079322,5.755726
6123000,8.6440,0.261844,0.058609,0.079322,5.772001
6124000,8.6440,0.261844,0.058609,0.079322,5.870965
6125000,8.6440,0.261844,0.058609,0.079322,5.894973
