Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
21000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224847
21001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.218644
21002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224847
21003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.217932
21004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.223828
21005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224847
21006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.214630
21007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224847
21008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.217586
21012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.223097
21013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.219721
21015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.218644
21016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.217932
21017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224941
21018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224754
21019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.219721
21020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.222039
21021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.217531
21022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224847
21023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.214630
21025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.223789
21026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.218990
21027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.223828
21028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.214630
21030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.222039
21031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.223735
21032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.214630
21033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.221946
21035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220926
21036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224252
21037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.218127
21038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224754
21039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.217932
21040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224941
21041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.223735
21042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.214630
21043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.221946
21045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220494
21046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.228088
21047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.218644
21049000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.217932
21050000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.231763
21051000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21052000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224165
21053000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.222628
21054000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.219721
21055000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.218644
21056000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
21057000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220833
