Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
7000000,0.2191,0.065854,0.000377,0.000034,0.057553
7001000,0.2191,0.065854,0.000377,0.000034,0.058509
7002000,0.2191,0.065854,0.000377,0.000034,0.057595
7003000,0.2191,0.065854,0.000377,0.000034,0.057408
7004000,0.2191,0.065854,0.000377,0.000034,0.058333
7005000,0.2191,0.065854,0.000377,0.000034,0.057579
7006000,0.2191,0.065854,0.000377,0.000034,0.056820
7007000,0.2191,0.065854,0.000377,0.000034,0.057217
7008000,0.2191,0.065854,0.000377,0.000034,0.060493
7009000,0.2191,0.065854,0.000377,0.000034,0.057030
7010000,0.2191,0.065854,0.000377,0.000034,0.056780
7011000,0.2191,0.065854,0.000377,0.000034,0.058754
7012000,0.2191,0.065854,0.000377,0.000034,0.057306
7013000,0.2191,0.065854,0.000377,0.000034,0.057208
7014000,0.2191,0.065854,0.000377,0.000034,0.056771
7015000,0.2191,0.065854,0.000377,0.000034,0.056813
7016000,0.2191,0.065854,0.000377,0.000034,0.058128
7017000,0.2191,0.065854,0.000377,0.000034,0.057723
7018000,0.2191,0.065854,0.000377,0.000034,0.058335
7019000,0.2191,0.065854,0.000377,0.000034,0.056942
7020000,0.2191,0.065854,0.000377,0.000034,0.057301
7021000,0.2191,0.065854,0.000377,0.000034,0.057158
7022000,0.2191,0.065854,0.000377,0.000034,0.057884
7023000,0.2191,0.065854,0.000377,0.000034,0.057343
7024000,0.2191,0.065854,0.000377,0.000034,0.056802
7025000,0.2191,0.065854,0.000377,0.000034,0.058136
7026000,0.2191,0.065854,0.000377,0.000034,0.058559
7027000,0.2191,0.065854,0.000377,0.000034,0.057452
7028000,0.2191,0.065854,0.000377,0.000034,0.057827
7029000,0.2191,0.065854,0.000377,0.000034,0.057051
7030000,0.2191,0.065854,0.000377,0.000034,0.059058
7031000,0.2191,0.065854,0.000377,0.000034,0.056770
7032000,0.2191,0.065854,0.000377,0.000034,0.058816
7033000,0.2191,0.065854,0.000377,0.000034,0.056169
7034000,0.2191,0.065854,0.000377,0.000034,0.058918
7035000,0.2191,0.065854,0.000377,0.000034,0.056028
7036000,0.2191,0.065854,0.000377,0.000034,0.058253
7037000,0.2191,0.065854,0.000377,0.000034,0.058330
7038000,0.2191,0.065854,0.000377,0.000034,0.057568
7039000,0.2191,0.065854,0.000377,0.000034,0.056879
7040000,0.2191,0.065854,0.000377,0.000034,0.057319
7041000,0.2191,0.065854,0.000377,0.000034,0.057757
7042000,0.2191,0.065854,0.000377,0.000034,0.058076
7043000,0.2191,0.065854,0.000377,0.000034,0.058012
7044000,0.2191,0.065854,0.000377,0.000034,0.056440
7045000,0.2191,0.065854,0.000377,0.000034,0.059117
7046000,0.2191,0.065854,0.000377,0.000034,0.058064
7047000,0.2191,0.065854,0.000377,0.000034,0.056676
7048000,0.2191,0.065854,0.000377,0.000034,0.057680
7049000,0.2191,0.065854,0.000377,0.000034,0.058028
7050000,0.2191,0.065854,0.000377,0.000034,0.055974
7051000,0.2191,0.065854,0.000377,0.000034,0.057433
7052000,0.2191,0.065854,0.000377,0.000034,0.058089
7053000,0.2191,0.065854,0.000377,0.000034,0.057780
7054000,0.2191,0.065854,0.000377,0.000034,0.057631
7055000,0.2191,0.065854,0.000377,0.000034,0.056901
7056000,0.2191,0.065854,0.000377,0.000034,0.057727
7057000,0.2191,0.065854,0.000377,0.000034,0.058272
7058000,0.2191,0.065854,0.000377,0.000034,0.057560
7059000,0.2191,0.065854,0.000377,0.000034,0.057513
7060000,0.2191,0.065854,0.000377,0.000034,0.057270
7061000,0.2191,0.065854,0.000377,0.000034,0.057837
7062000,0.2191,0.065854,0.000377,0.000034,0.056274
7063000,0.2191,0.065854,0.000377,0.000034,0.058933
7064000,0.2191,0.065854,0.000377,0.000034,0.055370
7065000,0.2191,0.065854,0.000377,0.000034,0.057639
7066000,0.2191,0.065854,0.000377,0.000034,0.057458
7067000,0.2191,0.065854,0.000377,0.000034,0.057044
7068000,0.2191,0.065854,0.000377,0.000034,0.056265
7069000,0.2191,0.065854,0.000377,0.000034,0.057342
7070000,0.2191,0.065854,0.000377,0.000034,0.058111
7071000,0.2191,0.065854,0.000377,0.000034,0.058650
