Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
13000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.652023
13001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.674276
13002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.645101
13003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.687460
13004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.682210
13005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.663730
13006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.672957
13007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.662731
13008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.663931
13009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.668498
13010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.689086
13011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.630245
13012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.680131
13013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.667395
13014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.674570
13015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.673411
13016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.669794
13017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.654469
13018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.642778
13019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.663576
13020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.658563
13021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.684030
13022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.655744
13023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.665704
13024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.651358
13025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.681884
13026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.654194
13027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.675678
13028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.665850
13029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.647843
13030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.664289
13031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.669874
13032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.662665
13033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.688794
13034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.636505
13035000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.631504
13036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.674939
13037000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.690471
13038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.654906
13039000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.670583
13040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.670819
13041000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.638776
13042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.678079
13043000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.672217
13044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.676191
13045000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.642215
13046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.690758
13047000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.659863
13048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.657574
13049000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.666859
13050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.666029
