Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.7779,0.306348,0.002724,0.000334,0.201630
1001000,0.7779,0.306348,0.002724,0.000334,0.200808
1002000,0.7779,0.306348,0.002724,0.000334,0.200832
1003000,0.7779,0.306348,0.002724,0.000334,0.200198
1004000,0.7779,0.306348,0.002724,0.000334,0.200761
1005000,0.7779,0.306348,0.002724,0.000334,0.201137
1006000,0.7779,0.306348,0.002724,0.000334,0.199611
1007000,0.7779,0.306348,0.002724,0.000334,0.199845
1008000,0.7779,0.306348,0.002724,0.000334,0.199751
1009000,0.7779,0.306348,0.002724,0.000334,0.200221
1010000,0.7779,0.306348,0.002724,0.000334,0.200010
1011000,0.7779,0.306348,0.002724,0.000334,0.198977
1012000,0.7779,0.306348,0.002724,0.000334,0.199493
1013000,0.7779,0.306348,0.002724,0.000334,0.200010
1014000,0.7779,0.306348,0.002724,0.000334,0.199188
1015000,0.7779,0.306348,0.002724,0.000334,0.198977
1016000,0.7779,0.306348,0.002724,0.000334,0.199540
1017000,0.7779,0.306348,0.002724,0.000334,0.199258
1018000,0.7779,0.306348,0.002724,0.000334,0.199000
1019000,0.7779,0.306348,0.002724,0.000334,0.198883
1020000,0.7779,0.306348,0.002724,0.000334,0.198930
1021000,0.7779,0.306348,0.002724,0.000334,0.199164
1022000,0.7779,0.306348,0.002724,0.000334,0.199024
1023000,0.7779,0.306348,0.002724,0.000334,0.198930
1024000,0.7779,0.306348,0.002724,0.000334,0.198272
1025000,0.7779,0.306348,0.002724,0.000334,0.198624
1026000,0.7779,0.306348,0.002724,0.000334,0.200597
1027000,0.7779,0.306348,0.002724,0.000334,0.203039
1028000,0.7779,0.306348,0.002724,0.000334,0.199118
1029000,0.7779,0.306348,0.002724,0.000334,0.200198
1030000,0.7779,0.306348,0.002724,0.000334,0.198812
1031000,0.7779,0.306348,0.002724,0.000334,0.200456
1032000,0.7779,0.306348,0.002724,0.000334,0.199235
1033000,0.7779,0.306348,0.002724,0.000334,0.198859
1034000,0.7779,0.306348,0.002724,0.000334,0.199235
1035000,0.7779,0.306348,0.002724,0.000334,0.198343
1036000,0.7779,0.306348,0.002724,0.000334,0.200057
1037000,0.7779,0.306348,0.002724,0.000334,0.199047
1038000,0.7779,0.306348,0.002724,0.000334,0.198014
1039000,0.7779,0.306348,0.002724,0.000334,0.198695
1040000,0.7779,0.306348,0.002724,0.000334,0.200151
1041000,0.7779,0.306348,0.002724,0.000334,0.203226
1042000,0.7779,0.306348,0.002724,0.000334,0.201160
1043000,0.7779,0.306348,0.002724,0.000334,0.204025
