Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,15.7031,5.502199,0.052647,0.006391,3.794918
1001000,15.7031,5.502199,0.052647,0.006391,3.673068
1002000,15.7031,5.502199,0.052647,0.006391,3.681221
1003000,15.7031,5.502199,0.052647,0.006391,3.602787
1004000,15.7031,5.502199,0.052647,0.006391,3.659048
1005000,15.7031,5.502199,0.052647,0.006391,3.691650
1006000,15.7031,5.502199,0.052647,0.006391,3.504884
1007000,15.7031,5.502199,0.052647,0.006391,3.532105
1008000,15.7031,5.502199,0.052647,0.006391,3.513016
1009000,15.7031,5.502199,0.052647,0.006391,3.552772
1010000,15.7031,5.502199,0.052647,0.006391,3.530063
1011000,15.7031,5.502199,0.052647,0.006391,3.408333
1012000,15.7031,5.502199,0.052647,0.006391,3.449498
1013000,15.7031,5.502199,0.052647,0.006391,3.516276
1014000,15.7031,5.502199,0.052647,0.006391,3.413304
1015000,15.7031,5.502199,0.052647,0.006391,3.381054
1016000,15.7031,5.502199,0.052647,0.006391,3.444734
1017000,15.7031,5.502199,0.052647,0.006391,3.411821
1018000,15.7031,5.502199,0.052647,0.006391,3.364734
1019000,15.7031,5.502199,0.052647,0.006391,3.353411
1020000,15.7031,5.502199,0.052647,0.006391,3.362511
1021000,15.7031,5.502199,0.052647,0.006391,3.382385
1022000,15.7031,5.502199,0.052647,0.006391,3.355458
1023000,15.7031,5.502199,0.052647,0.006391,3.344744
1024000,15.7031,5.502199,0.052647,0.006391,3.259256
1025000,15.7031,5.502199,0.052647,0.006391,3.297425
1026000,15.7031,5.502199,0.052647,0.006391,3.550880
1027000,15.7031,5.502199,0.052647,0.006391,3.871196
1028000,15.7031,5.502199,0.052647,0.006391,3.384173
1029000,15.7031,5.502199,0.052647,0.006391,3.533482
1030000,15.7031,5.502199,0.052647,0.006391,3.363573
1031000,15.7031,5.502199,0.052647,0.006391,3.568106
1032000,15.7031,5.502199,0.052647,0.006391,3.414738
1033000,15.7031,5.502199,0.052647,0.006391,3.357465
1034000,15.7031,5.502199,0.052647,0.006391,3.415194
1035000,15.7031,5.502199,0.052647,0.006391,3.288303
1036000,15.7031,5.502199,0.052647,0.006391,3.497925
1037000,15.7031,5.502199,0.052647,0.006391,3.352584
1038000,15.7031,5.502199,0.052647,0.006391,3.237946
1039000,15.7031,5.502199,0.052647,0.006391,3.315090
1040000,15.7031,5.502199,0.052647,0.006391,3.502644
1041000,15.7031,5.502199,0.052647,0.006391,3.886314
1042000,15.7031,5.502199,0.052647,0.006391,3.654175
1043000,15.7031,5.502199,0.052647,0.006391,4.054532
1044000,15.7031,5.502199,0.052647,0.006391,3.561687
1045000,15.7031,5.502199,0.052647,0.006391,3.795520
1046000,15.7031,5.502199,0.052647,0.006391,3.512866
1047000,15.7031,5.502199,0.052647,0.006391,3.708043
1048000,15.7031,5.502199,0.052647,0.006391,3.464473
1049000,15.7031,5.502199,0.052647,0.006391,3.542914
1050000,15.7031,5.502199,0.052647,0.006391,3.523837
1051000,15.7031,5.502199,0.052647,0.006391,3.555212
1052000,15.7031,5.502199,0.052647,0.006391,3.490095
1053000,15.7031,5.502199,0.052647,0.006391,3.515399
1054000,15.7031,5.502199,0.052647,0.006391,3.444638
1055000,15.7031,5.502199,0.052647,0.006391,3.407291
1056000,15.7031,5.502199,0.052647,0.006391,3.480155
1057000,15.7031,5.502199,0.052647,0.006391,3.386357
1058000,15.7031,5.502199,0.052647,0.006391,3.344907
1059000,15.7031,5.502199,0.052647,0.006391,3.466684
1060000,15.7031,5.502199,0.052647,0.006391,3.358454
1061000,15.7031,5.502199,0.052647,0.006391,3.578764
1062000,15.7031,5.502199,0.052647,0.006391,3.830469
1063000,15.7031,5.502199,0.052647,0.006391,3.482849
1064000,15.7031,5.502199,0.052647,0.006391,3.744133
1065000,15.7031,5.502199,0.052647,0.006391,3.444084
1066000,15.7031,5.502199,0.052647,0.006391,3.502316
1067000,15.7031,5.502199,0.052647,0.006391,3.447077
1068000,15.7031,5.502199,0.052647,0.006391,3.576794
1069000,15.7031,5.502199,0.052647,0.006391,3.370767
1070000,15.7031,5.502199,0.052647,0.006391,3.399740
1071000,15.7031,5.502199,0.052647,0.006391,3.344896
1072000,15.7031,5.502199,0.052647,0.006391,3.433020
1073000,15.7031,5.502199,0.052647,0.006391,3.452649
1074000,15.7031,5.502199,0.052647,0.006391,3.284656
1075000,15.7031,5.502199,0.052647,0.006391,3.376509
1076000,15.7031,5.502199,0.052647,0.006391,3.343151
1077000,15.7031,5.502199,0.052647,0.006391,3.365814
1078000,15.7031,5.502199,0.052647,0.006391,3.330092
1079000,15.7031,5.502199,0.052647,0.006391,3.299761
1080000,15.7031,5.502199,0.052647,0.006391,3.370669
1081000,15.7031,5.502199,0.052647,0.006391,3.285614
1082000,15.7031,5.502199,0.052647,0.006391,3.288652
1083000,15.7031,5.502199,0.052647,0.006391,3.476772
1084000,15.7031,5.502199,0.052647,0.006391,3.792921
1085000,15.7031,5.502199,0.052647,0.006391,3.397153
1086000,15.7031,5.502199,0.052647,0.006391,3.478025
1087000,15.7031,5.502199,0.052647,0.006391,3.391770
1088000,15.7031,5.502199,0.052647,0.006391,3.332358
1089000,15.7031,5.502199,0.052647,0.006391,3.335102
1090000,15.7031,5.502199,0.052647,0.006391,3.423048
1091000,15.7031,5.502199,0.052647,0.006391,3.254168
1092000,15.7031,5.502199,0.052647,0.006391,3.269417
1093000,15.7031,5.502199,0.052647,0.006391,3.276055
1094000,15.7031,5.502199,0.052647,0.006391,3.230792
1095000,15.7031,5.502199,0.052647,0.006391,3.255789
1096000,15.7031,5.502199,0.052647,0.006391,3.247094
1097000,15.7031,5.502199,0.052647,0.006391,3.133434
1098000,15.7031,5.502199,0.052647,0.006391,3.165123
1099000,15.7031,5.502199,0.052647,0.006391,3.195278
1100000,15.7031,5.502199,0.052647,0.006391,3.147756
1101000,15.7031,5.502199,0.052647,0.006391,3.090765
1102000,15.7031,5.502199,0.052647,0.006391,3.177740
1103000,15.7031,5.502199,0.052647,0.006391,3.166506
1104000,15.7031,5.502199,0.052647,0.006391,3.047215
1105000,15.7031,5.502199,0.052647,0.006391,3.106557
1106000,15.7031,5.502199,0.052647,0.006391,3.120627
1107000,15.7031,5.502199,0.052647,0.006391,3.045744
1108000,15.7031,5.502199,0.052647,0.006391,2.985065
1109000,15.7031,5.502199,0.052647,0.006391,3.148996
1110000,15.7031,5.502199,0.052647,0.006391,3.023871
1111000,15.7031,5.502199,0.052647,0.006391,2.970180
1112000,15.7031,5.502199,0.052647,0.006391,2.991072
1113000,15.7031,5.502199,0.052647,0.006391,3.039695
1114000,15.7031,5.502199,0.052647,0.006391,2.967029
1115000,15.7031,5.502199,0.052647,0.006391,3.080046
1116000,15.7031,5.502199,0.052647,0.006391,2.992429
1117000,15.7031,5.502199,0.052647,0.006391,2.805738
1118000,15.7031,5.502199,0.052647,0.006391,2.987137
1119000,15.7031,5.502199,0.052647,0.006391,3.570408
1120000,15.7031,5.502199,0.052647,0.006391,3.091290
1121000,15.7031,5.502199,0.052647,0.006391,3.151471
1122000,15.7031,5.502199,0.052647,0.006391,3.151077
1123000,15.7031,5.502199,0.052647,0.006391,3.198756
1124000,15.7031,5.502199,0.052647,0.006391,3.106949
1125000,15.7031,5.502199,0.052647,0.006391,3.467801
1126000,15.7031,5.502199,0.052647,0.006391,4.329317
1127000,15.7031,5.502199,0.052647,0.006391,3.259538
1128000,15.7031,5.502199,0.052647,0.006391,3.650376
1129000,15.7031,5.502199,0.052647,0.006391,3.408847
1130000,15.7031,5.502199,0.052647,0.006391,3.295162
1131000,15.7031,5.502199,0.052647,0.006391,4.135451
1132000,15.7031,5.502199,0.052647,0.006391,3.414081
1133000,15.7031,5.502199,0.052647,0.006391,3.662141
1134000,15.7031,5.502199,0.052647,0.006391,4.076816
1135000,15.7031,5.502199,0.052647,0.006391,3.726989
1136000,15.7031,5.502199,0.052647,0.006391,3.685089
1137000,15.7031,5.502199,0.052647,0.006391,3.858452
1138000,15.7031,5.502199,0.052647,0.006391,3.546525
1139000,15.7031,5.502199,0.052647,0.006391,4.024434
1140000,15.7031,5.502199,0.052647,0.006391,4.002235
1141000,15.7031,5.502199,0.052647,0.006391,3.874509
