Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.0324,0.013523,0.002678,0.000431,1.430906
2000,0.0324,0.013523,0.002678,0.000431,0.000000
3000,0.0324,0.013523,0.002678,0.000431,0.000000
4000,0.0324,0.013523,0.002678,0.000431,0.000000
5000,0.0324,0.013523,0.002678,0.000431,0.000000
6000,0.0324,0.013523,0.002678,0.000431,2.236561
7000,0.0324,0.013523,0.002678,0.000431,1.708860
8000,0.0324,0.013523,0.002678,0.000431,0.746657
9000,0.0324,0.013523,0.002678,0.000431,0.733023
10000,0.0324,0.013523,0.002678,0.000431,0.777096
11000,0.0324,0.013523,0.002678,0.000431,0.810944
12000,0.0324,0.013523,0.002678,0.000431,0.912724
13000,0.0324,0.013523,0.002678,0.000431,1.372259
14000,0.0324,0.013523,0.002678,0.000431,1.827916
15000,0.0324,0.013523,0.002678,0.000431,1.606258
16000,0.0324,0.013523,0.002678,0.000431,2.744871
17000,0.0324,0.013523,0.002678,0.000431,1.814047
18000,0.0324,0.013523,0.002678,0.000431,1.777261
19000,0.0324,0.013523,0.002678,0.000431,1.627883
20000,0.0324,0.013523,0.002678,0.000431,1.496369
21000,0.0324,0.013523,0.002678,0.000431,1.317608
22000,0.0324,0.013523,0.002678,0.000431,1.317491
23000,0.0324,0.013523,0.002678,0.000431,1.257552
24000,0.0324,0.013523,0.002678,0.000431,1.244623
25000,0.0324,0.013523,0.002678,0.000431,1.207485
26000,0.0324,0.013523,0.002678,0.000431,1.190678
27000,0.0324,0.013523,0.002678,0.000431,1.177867
28000,0.0324,0.013523,0.002678,0.000431,1.215241
29000,0.0324,0.013523,0.002678,0.000431,1.241215
30000,0.0324,0.013523,0.002678,0.000431,1.198435
31000,0.0324,0.013523,0.002678,0.000431,1.214654
32000,0.0324,0.013523,0.002678,0.000431,1.206544
33000,0.0324,0.013523,0.002678,0.000431,1.220648
34000,0.0324,0.013523,0.002678,0.000431,1.196789
35000,0.0324,0.013523,0.002678,0.000431,1.255906
36000,0.0324,0.013523,0.002678,0.000431,1.152011
37000,0.0324,0.013523,0.002678,0.000431,1.213831
38000,0.0324,0.013523,0.002678,0.000431,1.256141
39000,0.0324,0.013523,0.002678,0.000431,1.193616
40000,0.0324,0.013523,0.002678,0.000431,1.243448
41000,0.0324,0.013523,0.002678,0.000431,1.096891
42000,0.0324,0.013523,0.002678,0.000431,1.237102
43000,0.0324,0.013523,0.002678,0.000431,1.273535
44000,0.0324,0.013523,0.002678,0.000431,1.348401
45000,0.0324,0.013523,0.002678,0.000431,1.245329
46000,0.0324,0.013523,0.002678,0.000431,1.290107
47000,0.0324,0.013523,0.002678,0.000431,1.166115
48000,0.0324,0.013523,0.002678,0.000431,1.113109
49000,0.0324,0.013523,0.002678,0.000431,1.303858
50000,0.0324,0.013523,0.002678,0.000431,1.394707
51000,0.0324,0.013523,0.002678,0.000431,1.271655
52000,0.0324,0.013523,0.002678,0.000431,1.319254
53000,0.0324,0.013523,0.002678,0.000431,1.352749
54000,0.0324,0.013523,0.002678,0.000431,1.296336
55000,0.0324,0.013523,0.002678,0.000431,1.390006
56000,0.0324,0.013523,0.002678,0.000431,1.302447
57000,0.0324,0.013523,0.002678,0.000431,1.048586
58000,0.0324,0.013523,0.002678,0.000431,1.333710
59000,0.0324,0.013523,0.002678,0.000431,1.415392
60000,0.0324,0.013523,0.002678,0.000431,1.295748
61000,0.0324,0.013523,0.002678,0.000431,1.423266
62000,0.0324,0.013523,0.002678,0.000431,1.435959
63000,0.0324,0.013523,0.002678,0.000431,1.394707
64000,0.0324,0.013523,0.002678,0.000431,1.409045
65000,0.0324,0.013523,0.002678,0.000431,1.415157
66000,0.0324,0.013523,0.002678,0.000431,1.393062
67000,0.0324,0.013523,0.002678,0.000431,1.279647
68000,0.0324,0.013523,0.002678,0.000431,0.965729
69000,0.0324,0.013523,0.002678,0.000431,1.503421
70000,0.0324,0.013523,0.002678,0.000431,1.396705
71000,0.0324,0.013523,0.002678,0.000431,1.371554
72000,0.0324,0.013523,0.002678,0.000431,1.409986
73000,0.0324,0.013523,0.002678,0.000431,1.501775
74000,0.0324,0.013523,0.002678,0.000431,1.376137
75000,0.0324,0.013523,0.002678,0.000431,1.037539
76000,0.0324,0.013523,0.002678,0.000431,1.232871
77000,0.0324,0.013523,0.002678,0.000431,1.432433
78000,0.0324,0.013523,0.002678,0.000431,1.400231
79000,0.0324,0.013523,0.002678,0.000431,1.415744
80000,0.0324,0.013523,0.002678,0.000431,1.451238
81000,0.0324,0.013523,0.002678,0.000431,1.355453
82000,0.0324,0.013523,0.002678,0.000431,1.350164
83000,0.0324,0.013523,0.002678,0.000431,1.352162
84000,0.0324,0.013523,0.002678,0.000431,1.334650
85000,0.0324,0.013523,0.002678,0.000431,1.271420
86000,0.0324,0.013523,0.002678,0.000431,1.417272
87000,0.0324,0.013523,0.002678,0.000431,1.437017
88000,0.0324,0.013523,0.002678,0.000431,1.485556
89000,0.0324,0.013523,0.002678,0.000431,1.447830
90000,0.0324,0.013523,0.002678,0.000431,1.499777
91000,0.0324,0.013523,0.002678,0.000431,1.472158
92000,0.0324,0.013523,0.002678,0.000431,1.283408
93000,0.0324,0.013523,0.002678,0.000431,1.234634
94000,0.0324,0.013523,0.002678,0.000431,1.179630
95000,0.0324,0.013523,0.002678,0.000431,1.466987
96000,0.0324,0.013523,0.002678,0.000431,1.545378
97000,0.0324,0.013523,0.002678,0.000431,1.447360
98000,0.0324,0.013523,0.002678,0.000431,1.465106
99000,0.0324,0.013523,0.002678,0.000431,1.439603
100000,0.0324,0.013523,0.002678,0.000431,1.411278
101000,0.0324,0.013523,0.002678,0.000431,1.447947
102000,0.0324,0.013523,0.002678,0.000431,1.299509
103000,0.0324,0.013523,0.002678,0.000431,1.283878
104000,0.0324,0.013523,0.002678,0.000431,1.375315
105000,0.0324,0.013523,0.002678,0.000431,1.450768
106000,0.0324,0.013523,0.002678,0.000431,1.513881
107000,0.0324,0.013523,0.002678,0.000431,1.533860
108000,0.0324,0.013523,0.002678,0.000431,1.492608
109000,0.0324,0.013523,0.002678,0.000431,1.416097
110000,0.0324,0.013523,0.002678,0.000431,1.176692
111000,0.0324,0.013523,0.002678,0.000431,1.034013
112000,0.0324,0.013523,0.002678,0.000431,1.474861
113000,0.0324,0.013523,0.002678,0.000431,1.490727
114000,0.0324,0.013523,0.002678,0.000431,1.460405
115000,0.0324,0.013523,0.002678,0.000431,1.352867
116000,0.0324,0.013523,0.002678,0.000431,1.378958
117000,0.0324,0.013523,0.002678,0.000431,1.388125
118000,0.0324,0.013523,0.002678,0.000431,1.441131
119000,0.0324,0.013523,0.002678,0.000431,1.485086
120000,0.0324,0.013523,0.002678,0.000431,1.237807
121000,0.0324,0.013523,0.002678,0.000431,1.285993
122000,0.0324,0.013523,0.002678,0.000431,1.231225
123000,0.0324,0.013523,0.002678,0.000431,1.465811
124000,0.0324,0.013523,0.002678,0.000431,1.365560
125000,0.0324,0.013523,0.002678,0.000431,1.430200
126000,0.0324,0.013523,0.002678,0.000431,1.348636
127000,0.0324,0.013523,0.002678,0.000431,1.340526
128000,0.0324,0.013523,0.002678,0.000431,1.539032
129000,0.0324,0.013523,0.002678,0.000431,1.362622
130000,0.0324,0.013523,0.002678,0.000431,1.251088
131000,0.0324,0.013523,0.002678,0.000431,1.148250
132000,0.0324,0.013523,0.002678,0.000431,1.411749
133000,0.0324,0.013523,0.002678,0.000431,1.443716
134000,0.0324,0.013523,0.002678,0.000431,1.366970
135000,0.0324,0.013523,0.002678,0.000431,1.508239
136000,0.0324,0.013523,0.002678,0.000431,1.460640
137000,0.0324,0.013523,0.002678,0.000431,1.316198
138000,0.0324,0.013523,0.002678,0.000431,1.354042
139000,0.0324,0.013523,0.002678,0.000431,1.426675
140000,0.0324,0.013523,0.002678,0.000431,1.352162
141000,0.0324,0.013523,0.002678,0.000431,1.357921
142000,0.0324,0.013523,0.002678,0.000431,1.197847
143000,0.0324,0.013523,0.002678,0.000431,1.423971
144000,0.0324,0.013523,0.002678,0.000431,1.354865
145000,0.0324,0.013523,0.002678,0.000431,1.365677
146000,0.0324,0.013523,0.002678,0.000431,1.380604
147000,0.0324,0.013523,0.002678,0.000431,1.568179
148000,0.0324,0.013523,0.002678,0.000431,1.377665
149000,0.0324,0.013523,0.002678,0.000431,1.531510
150000,0.0324,0.013523,0.002678,0.000431,1.384952
151000,0.0324,0.013523,0.002678,0.000431,1.369673
152000,0.0324,0.013523,0.002678,0.000431,1.511412
153000,0.0324,0.013523,0.002678,0.000431,1.312790
154000,0.0324,0.013523,0.002678,0.000431,1.457349
155000,0.0324,0.013523,0.002678,0.000431,1.331594
156000,0.0324,0.013523,0.002678,0.000431,1.388243
157000,0.0324,0.013523,0.002678,0.000431,1.453941
158000,0.0324,0.013523,0.002678,0.000431,1.306443
159000,0.0324,0.013523,0.002678,0.000431,1.418565
160000,0.0324,0.013523,0.002678,0.000431,1.280470
161000,0.0324,0.013523,0.002678,0.000431,1.261312
162000,0.0324,0.013523,0.002678,0.000431,1.580401
163000,0.0324,0.013523,0.002678,0.000431,1.496604
164000,0.0324,0.013523,0.002678,0.000431,1.530805
165000,0.0324,0.013523,0.002678,0.000431,1.475919
166000,0.0324,0.013523,0.002678,0.000431,1.304915
167000,0.0324,0.013523,0.002678,0.000431,1.474156
168000,0.0324,0.013523,0.002678,0.000431,1.415509
169000,0.0324,0.013523,0.002678,0.000431,1.428790
170000,0.0324,0.013523,0.002678,0.000431,1.615895
171000,0.0324,0.013523,0.002678,0.000431,1.512470
172000,0.0324,0.013523,0.002678,0.000431,1.465694
173000,0.0324,0.013523,0.002678,0.000431,1.495429
174000,0.0324,0.013523,0.002678,0.000431,1.476154
175000,0.0324,0.013523,0.002678,0.000431,1.179043
176000,0.0324,0.013523,0.002678,0.000431,1.453941
177000,0.0324,0.013523,0.002678,0.000431,1.418683
178000,0.0324,0.013523,0.002678,0.000431,1.293515
179000,0.0324,0.013523,0.002678,0.000431,1.298921
180000,0.0324,0.013523,0.002678,0.000431,1.606023
181000,0.0324,0.013523,0.002678,0.000431,1.438192
182000,0.0324,0.013523,0.002678,0.000431,1.368381
183000,0.0324,0.013523,0.002678,0.000431,1.398585
184000,0.0324,0.013523,0.002678,0.000431,1.579931
185000,0.0324,0.013523,0.002678,0.000431,1.462051
186000,0.0324,0.013523,0.002678,0.000431,1.456409
187000,0.0324,0.013523,0.002678,0.000431,1.515878
188000,0.0324,0.013523,0.002678,0.000431,1.277884
189000,0.0324,0.013523,0.002678,0.000431,1.302212
190000,0.0324,0.013523,0.002678,0.000431,1.337588
191000,0.0324,0.013523,0.002678,0.000431,1.375785
192000,0.0324,0.013523,0.002678,0.000431,1.619186
193000,0.0324,0.013523,0.002678,0.000431,1.349106
194000,0.0324,0.013523,0.002678,0.000431,1.564183
195000,0.0324,0.013523,0.002678,0.000431,1.441248
196000,0.0324,0.013523,0.002678,0.000431,1.511412
197000,0.0324,0.013523,0.002678,0.000431,1.158945
198000,0.0324,0.013523,0.002678,0.000431,1.425499
199000,0.0324,0.013523,0.002678,0.000431,1.506476
200000,0.0324,0.013523,0.002678,0.000431,1.686647
201000,0.0324,0.013523,0.002678,0.000431,1.488259
202000,0.0324,0.013523,0.002678,0.000431,1.447712
203000,0.0324,0.013523,0.002678,0.000431,1.449475
204000,0.0324,0.013523,0.002678,0.000431,1.451943
205000,0.0324,0.013523,0.002678,0.000431,1.266249
