Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.350208
2000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.163633
3000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.163633
4000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.163633
5000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.163633
6000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.300870
7000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,24.312013
8000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.372577
9000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.501924
10000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.091672
11000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.168154
12000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.436523
13000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.497607
14000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.814089
15000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.654162
16000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.355821
17000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.474768
18000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.254334
19000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.954980
20000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.582179
21000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.026733
22000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.935982
23000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.161394
24000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.137720
25000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,24.901564
26000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.124368
27000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.142849
28000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,24.706658
29000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.313576
30000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,24.048126
