Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.7779,0.306348,0.002724,0.000334,0.184405
2000,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.253882
7000,0.7779,0.306348,0.002724,0.000334,0.362514
8000,0.7779,0.306348,0.002724,0.000334,0.363659
9000,0.7779,0.306348,0.002724,0.000334,0.362391
10000,0.7779,0.306348,0.002724,0.000334,0.342933
11000,0.7779,0.306348,0.002724,0.000334,0.305769
12000,0.7779,0.306348,0.002724,0.000334,0.364695
13000,0.7779,0.306348,0.002724,0.000334,0.362337
14000,0.7779,0.306348,0.002724,0.000334,0.357217
15000,0.7779,0.306348,0.002724,0.000334,0.334838
16000,0.7779,0.306348,0.002724,0.000334,0.352659
17000,0.7779,0.306348,0.002724,0.000334,0.359735
18000,0.7779,0.306348,0.002724,0.000334,0.354844
19000,0.7779,0.306348,0.002724,0.000334,0.343358
20000,0.7779,0.306348,0.002724,0.000334,0.357626
21000,0.7779,0.306348,0.002724,0.000334,0.345536
22000,0.7779,0.306348,0.002724,0.000334,0.319521
23000,0.7779,0.306348,0.002724,0.000334,0.331842
24000,0.7779,0.306348,0.002724,0.000334,0.359001
25000,0.7779,0.306348,0.002724,0.000334,0.357079
26000,0.7779,0.306348,0.002724,0.000334,0.341902
27000,0.7779,0.306348,0.002724,0.000334,0.333597
28000,0.7779,0.306348,0.002724,0.000334,0.351142
29000,0.7779,0.306348,0.002724,0.000334,0.339604
30000,0.7779,0.306348,0.002724,0.000334,0.327661
31000,0.7779,0.306348,0.002724,0.000334,0.343222
32000,0.7779,0.306348,0.002724,0.000334,0.336520
33000,0.7779,0.306348,0.002724,0.000334,0.338152
34000,0.7779,0.306348,0.002724,0.000334,0.263727
35000,0.7779,0.306348,0.002724,0.000334,0.305504
36000,0.7779,0.306348,0.002724,0.000334,0.345625
37000,0.7779,0.306348,0.002724,0.000334,0.336982
38000,0.7779,0.306348,0.002724,0.000334,0.314111
39000,0.7779,0.306348,0.002724,0.000334,0.351525
40000,0.7779,0.306348,0.002724,0.000334,0.340225
41000,0.7779,0.306348,0.002724,0.000334,0.316199
42000,0.7779,0.306348,0.002724,0.000334,0.318197
43000,0.7779,0.306348,0.002724,0.000334,0.353493
44000,0.7779,0.306348,0.002724,0.000334,0.340604
45000,0.7779,0.306348,0.002724,0.000334,0.326993
46000,0.7779,0.306348,0.002724,0.000334,0.328023
47000,0.7779,0.306348,0.002724,0.000334,0.346063
48000,0.7779,0.306348,0.002724,0.000334,0.321754
49000,0.7779,0.306348,0.002724,0.000334,0.328461
50000,0.7779,0.306348,0.002724,0.000334,0.336859
51000,0.7779,0.306348,0.002724,0.000334,0.337813
52000,0.7779,0.306348,0.002724,0.000334,0.323033
53000,0.7779,0.306348,0.002724,0.000334,0.358443
54000,0.7779,0.306348,0.002724,0.000334,0.321487
55000,0.7779,0.306348,0.002724,0.000334,0.345060
56000,0.7779,0.306348,0.002724,0.000334,0.350476
57000,0.7779,0.306348,0.002724,0.000334,0.342552
58000,0.7779,0.306348,0.002724,0.000334,0.334547
59000,0.7779,0.306348,0.002724,0.000334,0.319387
60000,0.7779,0.306348,0.002724,0.000334,0.352578
61000,0.7779,0.306348,0.002724,0.000334,0.330607
62000,0.7779,0.306348,0.002724,0.000334,0.319653
63000,0.7779,0.306348,0.002724,0.000334,0.324841
64000,0.7779,0.306348,0.002724,0.000334,0.356113
65000,0.7779,0.306348,0.002724,0.000334,0.326591
66000,0.7779,0.306348,0.002724,0.000334,0.326657
67000,0.7779,0.306348,0.002724,0.000334,0.315635
68000,0.7779,0.306348,0.002724,0.000334,0.336492
