Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,23.8212,1.028147,0.538949,0.086720,8.894667
2000,23.8212,1.028147,0.538949,0.086720,8.953308
3000,23.8212,1.028147,0.538949,0.086720,8.953308
4000,23.8212,1.028147,0.538949,0.086720,8.953308
5000,23.8212,1.028147,0.538949,0.086720,8.953308
6000,23.8212,1.028147,0.538949,0.086720,17.394653
7000,23.8212,1.028147,0.538949,0.086720,21.886294
8000,23.8212,1.028147,0.538949,0.086720,22.524055
9000,23.8212,1.028147,0.538949,0.086720,23.078660
10000,23.8212,1.028147,0.538949,0.086720,23.834118
11000,23.8212,1.028147,0.538949,0.086720,22.713269
12000,23.8212,1.028147,0.538949,0.086720,23.590252
13000,23.8212,1.028147,0.538949,0.086720,24.502678
14000,23.8212,1.028147,0.538949,0.086720,24.239756
15000,23.8212,1.028147,0.538949,0.086720,23.612431
16000,23.8212,1.028147,0.538949,0.086720,24.393333
17000,23.8212,1.028147,0.538949,0.086720,23.937261
18000,23.8212,1.028147,0.538949,0.086720,24.549820
19000,23.8212,1.028147,0.538949,0.086720,24.123010
20000,23.8212,1.028147,0.538949,0.086720,23.759101
21000,23.8212,1.028147,0.538949,0.086720,23.816747
22000,23.8212,1.028147,0.538949,0.086720,24.162413
23000,23.8212,1.028147,0.538949,0.086720,24.325827
24000,23.8212,1.028147,0.538949,0.086720,24.274906
25000,23.8212,1.028147,0.538949,0.086720,24.404001
26000,23.8212,1.028147,0.538949,0.086720,24.227441
27000,23.8212,1.028147,0.538949,0.086720,24.787622
28000,23.8212,1.028147,0.538949,0.086720,24.705065
29000,23.8212,1.028147,0.538949,0.086720,24.266949
30000,23.8212,1.028147,0.538949,0.086720,23.189394
31000,23.8212,1.028147,0.538949,0.086720,24.119411
32000,23.8212,1.028147,0.538949,0.086720,22.229905
33000,23.8212,1.028147,0.538949,0.086720,22.440609
34000,23.8212,1.028147,0.538949,0.086720,21.815104
35000,23.8212,1.028147,0.538949,0.086720,21.889503
36000,23.8212,1.028147,0.538949,0.086720,21.326794
37000,23.8212,1.028147,0.538949,0.086720,21.970344
38000,23.8212,1.028147,0.538949,0.086720,21.977171
39000,23.8212,1.028147,0.538949,0.086720,22.847227
40000,23.8212,1.028147,0.538949,0.086720,22.342641
41000,23.8212,1.028147,0.538949,0.086720,21.938597
42000,23.8212,1.028147,0.538949,0.086720,21.237431
43000,23.8212,1.028147,0.538949,0.086720,21.949233
44000,23.8212,1.028147,0.538949,0.086720,22.103150
45000,23.8212,1.028147,0.538949,0.086720,21.314349
46000,23.8212,1.028147,0.538949,0.086720,22.228762
47000,23.8212,1.028147,0.538949,0.086720,20.597412
48000,23.8212,1.028147,0.538949,0.086720,22.055985
49000,23.8212,1.028147,0.538949,0.086720,21.782476
50000,23.8212,1.028147,0.538949,0.086720,22.259576
51000,23.8212,1.028147,0.538949,0.086720,21.897463
52000,23.8212,1.028147,0.538949,0.086720,21.971295
53000,23.8212,1.028147,0.538949,0.086720,22.286154
54000,23.8212,1.028147,0.538949,0.086720,22.659578
55000,23.8212,1.028147,0.538949,0.086720,22.137410
56000,23.8212,1.028147,0.538949,0.086720,22.026651
57000,23.8212,1.028147,0.538949,0.086720,22.175552
58000,23.8212,1.028147,0.538949,0.086720,21.898026
59000,23.8212,1.028147,0.538949,0.086720,21.896422
60000,23.8212,1.028147,0.538949,0.086720,23.342504
61000,23.8212,1.028147,0.538949,0.086720,21.397454
62000,23.8212,1.028147,0.538949,0.086720,22.955887
63000,23.8212,1.028147,0.538949,0.086720,21.240547
64000,23.8212,1.028147,0.538949,0.086720,22.367644
65000,23.8212,1.028147,0.538949,0.086720,21.900486
66000,23.8212,1.028147,0.538949,0.086720,21.697516
67000,23.8212,1.028147,0.538949,0.086720,21.758269
68000,23.8212,1.028147,0.538949,0.086720,20.986756
69000,23.8212,1.028147,0.538949,0.086720,21.709738
70000,23.8212,1.028147,0.538949,0.086720,21.550242
71000,23.8212,1.028147,0.538949,0.086720,21.510047
72000,23.8212,1.028147,0.538949,0.086720,22.754299
73000,23.8212,1.028147,0.538949,0.086720,21.217536
74000,23.8212,1.028147,0.538949,0.086720,21.773741
75000,23.8212,1.028147,0.538949,0.086720,21.466515
76000,23.8212,1.028147,0.538949,0.086720,21.871272
77000,23.8212,1.028147,0.538949,0.086720,22.423887
78000,23.8212,1.028147,0.538949,0.086720,21.830706
79000,23.8212,1.028147,0.538949,0.086720,22.791689
80000,23.8212,1.028147,0.538949,0.086720,21.846500
81000,23.8212,1.028147,0.538949,0.086720,21.514506
82000,23.8212,1.028147,0.538949,0.086720,21.393722
83000,23.8212,1.028147,0.538949,0.086720,22.509769
84000,23.8212,1.028147,0.538949,0.086720,22.369865
85000,23.8212,1.028147,0.538949,0.086720,21.828028
86000,23.8212,1.028147,0.538949,0.086720,22.271058
87000,23.8212,1.028147,0.538949,0.086720,20.903235
88000,23.8212,1.028147,0.538949,0.086720,22.778310
89000,23.8212,1.028147,0.538949,0.086720,22.567536
90000,23.8212,1.028147,0.538949,0.086720,20.698590
91000,23.8212,1.028147,0.538949,0.086720,22.508009
92000,23.8212,1.028147,0.538949,0.086720,20.706166
93000,23.8212,1.028147,0.538949,0.086720,22.147272
94000,23.8212,1.028147,0.538949,0.086720,21.708141
95000,23.8212,1.028147,0.538949,0.086720,20.646617
96000,23.8212,1.028147,0.538949,0.086720,21.714108
97000,23.8212,1.028147,0.538949,0.086720,22.618510
98000,23.8212,1.028147,0.538949,0.086720,21.607066
99000,23.8212,1.028147,0.538949,0.086720,20.387895
100000,23.8212,1.028147,0.538949,0.086720,22.707157
101000,23.8212,1.028147,0.538949,0.086720,22.592054
102000,23.8212,1.028147,0.538949,0.086720,21.465849
103000,23.8212,1.028147,0.538949,0.086720,21.961569
104000,23.8212,1.028147,0.538949,0.086720,23.014298
105000,23.8212,1.028147,0.538949,0.086720,22.128442
106000,23.8212,1.028147,0.538949,0.086720,21.978382
107000,23.8212,1.028147,0.538949,0.086720,22.902743
108000,23.8212,1.028147,0.538949,0.086720,22.175425
109000,23.8212,1.028147,0.538949,0.086720,22.690959
110000,23.8212,1.028147,0.538949,0.086720,21.631081
111000,23.8212,1.028147,0.538949,0.086720,22.925371
112000,23.8212,1.028147,0.538949,0.086720,21.571903
113000,23.8212,1.028147,0.538949,0.086720,21.839158
114000,23.8212,1.028147,0.538949,0.086720,22.908906
115000,23.8212,1.028147,0.538949,0.086720,22.384655
116000,23.8212,1.028147,0.538949,0.086720,22.329855
117000,23.8212,1.028147,0.538949,0.086720,22.466597
118000,23.8212,1.028147,0.538949,0.086720,23.009285
119000,23.8212,1.028147,0.538949,0.086720,21.428535
120000,23.8212,1.028147,0.538949,0.086720,22.605892
121000,23.8212,1.028147,0.538949,0.086720,21.798577
122000,23.8212,1.028147,0.538949,0.086720,22.462383
123000,23.8212,1.028147,0.538949,0.086720,21.905339
124000,23.8212,1.028147,0.538949,0.086720,22.966728
125000,23.8212,1.028147,0.538949,0.086720,22.549423
126000,23.8212,1.028147,0.538949,0.086720,23.015438
127000,23.8212,1.028147,0.538949,0.086720,22.652231
128000,23.8212,1.028147,0.538949,0.086720,22.677367
129000,23.8212,1.028147,0.538949,0.086720,21.848644
130000,23.8212,1.028147,0.538949,0.086720,21.550110
