Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.234032
2000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
3000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
4000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
5000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
6000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,18.527330
7000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,6.493706
8000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.115989
9000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.140548
10000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.163325
11000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.323731
12000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.979337
13000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.202892
14000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,8.471552
15000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.683806
16000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.534487
17000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.723286
18000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.157109
19000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.776026
20000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.746338
21000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.356502
22000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.442733
23000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.277454
24000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.133605
25000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.116991
26000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.144981
27000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.189148
28000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.163845
29000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.224220
30000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.206520
31000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.224791
32000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.236795
33000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.110076
