Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.0570,0.187474,0.005507,0.000525,1.289545
2000,1.0570,0.187474,0.005507,0.000525,0.000000
3000,1.0570,0.187474,0.005507,0.000525,0.000000
4000,1.0570,0.187474,0.005507,0.000525,0.000000
5000,1.0570,0.187474,0.005507,0.000525,0.000000
6000,1.0570,0.187474,0.005507,0.000525,0.390030
7000,1.0570,0.187474,0.005507,0.000525,0.064015
8000,1.0570,0.187474,0.005507,0.000525,0.030287
9000,1.0570,0.187474,0.005507,0.000525,0.024521
10000,1.0570,0.187474,0.005507,0.000525,0.022140
11000,1.0570,0.187474,0.005507,0.000525,0.023007
12000,1.0570,0.187474,0.005507,0.000525,0.029127
13000,1.0570,0.187474,0.005507,0.000525,0.030520
14000,1.0570,0.187474,0.005507,0.000525,0.058532
15000,1.0570,0.187474,0.005507,0.000525,0.136626
16000,1.0570,0.187474,0.005507,0.000525,0.175459
17000,1.0570,0.187474,0.005507,0.000525,0.199292
18000,1.0570,0.187474,0.005507,0.000525,0.152911
19000,1.0570,0.187474,0.005507,0.000525,0.157872
20000,1.0570,0.187474,0.005507,0.000525,0.243229
21000,1.0570,0.187474,0.005507,0.000525,0.362913
22000,1.0570,0.187474,0.005507,0.000525,0.356268
23000,1.0570,0.187474,0.005507,0.000525,0.306057
24000,1.0570,0.187474,0.005507,0.000525,0.267108
25000,1.0570,0.187474,0.005507,0.000525,0.238316
26000,1.0570,0.187474,0.005507,0.000525,0.210026
27000,1.0570,0.187474,0.005507,0.000525,0.175532
28000,1.0570,0.187474,0.005507,0.000525,0.165302
29000,1.0570,0.187474,0.005507,0.000525,0.159222
30000,1.0570,0.187474,0.005507,0.000525,0.151424
31000,1.0570,0.187474,0.005507,0.000525,0.154451
32000,1.0570,0.187474,0.005507,0.000525,0.146615
33000,1.0570,0.187474,0.005507,0.000525,0.157330
34000,1.0570,0.187474,0.005507,0.000525,0.165088
35000,1.0570,0.187474,0.005507,0.000525,0.141614
36000,1.0570,0.187474,0.005507,0.000525,0.146674
37000,1.0570,0.187474,0.005507,0.000525,0.144520
38000,1.0570,0.187474,0.005507,0.000525,0.160100
39000,1.0570,0.187474,0.005507,0.000525,0.161940
40000,1.0570,0.187474,0.005507,0.000525,0.167049
41000,1.0570,0.187474,0.005507,0.000525,0.151586
42000,1.0570,0.187474,0.005507,0.000525,0.148642
43000,1.0570,0.187474,0.005507,0.000525,0.150537
44000,1.0570,0.187474,0.005507,0.000525,0.146386
45000,1.0570,0.187474,0.005507,0.000525,0.166552
46000,1.0570,0.187474,0.005507,0.000525,0.191609
47000,1.0570,0.187474,0.005507,0.000525,0.170249
48000,1.0570,0.187474,0.005507,0.000525,0.163069
49000,1.0570,0.187474,0.005507,0.000525,0.142611
50000,1.0570,0.187474,0.005507,0.000525,0.066540
51000,1.0570,0.187474,0.005507,0.000525,0.183126
52000,1.0570,0.187474,0.005507,0.000525,0.182318
53000,1.0570,0.187474,0.005507,0.000525,0.194029
54000,1.0570,0.187474,0.005507,0.000525,0.151858
55000,1.0570,0.187474,0.005507,0.000525,0.120115
56000,1.0570,0.187474,0.005507,0.000525,0.181710
57000,1.0570,0.187474,0.005507,0.000525,0.180716
58000,1.0570,0.187474,0.005507,0.000525,0.204067
59000,1.0570,0.187474,0.005507,0.000525,0.177850
60000,1.0570,0.187474,0.005507,0.000525,0.149014
61000,1.0570,0.187474,0.005507,0.000525,0.129177
62000,1.0570,0.187474,0.005507,0.000525,0.203801
63000,1.0570,0.187474,0.005507,0.000525,0.217912
64000,1.0570,0.187474,0.005507,0.000525,0.187007
65000,1.0570,0.187474,0.005507,0.000525,0.151377
66000,1.0570,0.187474,0.005507,0.000525,0.101217
67000,1.0570,0.187474,0.005507,0.000525,0.220775
68000,1.0570,0.187474,0.005507,0.000525,0.203221
69000,1.0570,0.187474,0.005507,0.000525,0.185719
70000,1.0570,0.187474,0.005507,0.000525,0.193769
71000,1.0570,0.187474,0.005507,0.000525,0.141850
72000,1.0570,0.187474,0.005507,0.000525,0.125831
73000,1.0570,0.187474,0.005507,0.000525,0.225952
74000,1.0570,0.187474,0.005507,0.000525,0.194102
75000,1.0570,0.187474,0.005507,0.000525,0.198886
76000,1.0570,0.187474,0.005507,0.000525,0.155628
77000,1.0570,0.187474,0.005507,0.000525,0.191682
78000,1.0570,0.187474,0.005507,0.000525,0.158445
79000,1.0570,0.187474,0.005507,0.000525,0.107784
80000,1.0570,0.187474,0.005507,0.000525,0.171087
81000,1.0570,0.187474,0.005507,0.000525,0.185325
82000,1.0570,0.187474,0.005507,0.000525,0.217989
83000,1.0570,0.187474,0.005507,0.000525,0.222916
84000,1.0570,0.187474,0.005507,0.000525,0.187382
85000,1.0570,0.187474,0.005507,0.000525,0.200474
86000,1.0570,0.187474,0.005507,0.000525,0.187021
87000,1.0570,0.187474,0.005507,0.000525,0.164491
88000,1.0570,0.187474,0.005507,0.000525,0.107939
89000,1.0570,0.187474,0.005507,0.000525,0.186268
90000,1.0570,0.187474,0.005507,0.000525,0.229125
91000,1.0570,0.187474,0.005507,0.000525,0.221235
92000,1.0570,0.187474,0.005507,0.000525,0.180409
93000,1.0570,0.187474,0.005507,0.000525,0.186690
94000,1.0570,0.187474,0.005507,0.000525,0.187552
95000,1.0570,0.187474,0.005507,0.000525,0.158504
96000,1.0570,0.187474,0.005507,0.000525,0.139511
97000,1.0570,0.187474,0.005507,0.000525,0.173965
98000,1.0570,0.187474,0.005507,0.000525,0.187362
99000,1.0570,0.187474,0.005507,0.000525,0.208536
100000,1.0570,0.187474,0.005507,0.000525,0.172090
101000,1.0570,0.187474,0.005507,0.000525,0.183626
102000,1.0570,0.187474,0.005507,0.000525,0.143139
103000,1.0570,0.187474,0.005507,0.000525,0.126117
104000,1.0570,0.187474,0.005507,0.000525,0.169501
105000,1.0570,0.187474,0.005507,0.000525,0.173264
106000,1.0570,0.187474,0.005507,0.000525,0.177927
107000,1.0570,0.187474,0.005507,0.000525,0.178549
108000,1.0570,0.187474,0.005507,0.000525,0.165391
109000,1.0570,0.187474,0.005507,0.000525,0.161683
110000,1.0570,0.187474,0.005507,0.000525,0.129159
111000,1.0570,0.187474,0.005507,0.000525,0.201948
112000,1.0570,0.187474,0.005507,0.000525,0.183591
113000,1.0570,0.187474,0.005507,0.000525,0.162748
114000,1.0570,0.187474,0.005507,0.000525,0.143729
115000,1.0570,0.187474,0.005507,0.000525,0.170688
116000,1.0570,0.187474,0.005507,0.000525,0.132864
117000,1.0570,0.187474,0.005507,0.000525,0.174758
118000,1.0570,0.187474,0.005507,0.000525,0.203240
119000,1.0570,0.187474,0.005507,0.000525,0.179161
120000,1.0570,0.187474,0.005507,0.000525,0.162997
121000,1.0570,0.187474,0.005507,0.000525,0.159107
122000,1.0570,0.187474,0.005507,0.000525,0.154711
123000,1.0570,0.187474,0.005507,0.000525,0.135058
124000,1.0570,0.187474,0.005507,0.000525,0.176920
125000,1.0570,0.187474,0.005507,0.000525,0.204921
126000,1.0570,0.187474,0.005507,0.000525,0.210852
127000,1.0570,0.187474,0.005507,0.000525,0.189239
