Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.236072
1001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.242233
1002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.227290
1003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.235146
1004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.228943
1005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.240179
1006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224216
1007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.241385
1008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.228137
1009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.243174
1010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.232151
1011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.236659
1012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.231751
1013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.246383
1014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.233435
1015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.229884
1016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.240179
1017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.229319
1018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.237885
1019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.240673
1020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.235672
1021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.242462
1022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.233976
1023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.232151
1024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.233357
1025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.226661
1026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.241655
1027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.229015
1028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.235567
1029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.233435
1030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.246924
1031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.224928
1032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.236165
1033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220931
1034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.225528
1035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.220153
1036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.228768
1037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.221946
