Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.0570,0.187474,0.005507,0.000525,0.000000
2000,1.0570,0.187474,0.005507,0.000525,0.000000
3000,1.0570,0.187474,0.005507,0.000525,0.000000
4000,1.0570,0.187474,0.005507,0.000525,0.000000
5000,1.0570,0.187474,0.005507,0.000525,0.000000
6000,1.0570,0.187474,0.005507,0.000525,0.027736
7000,1.0570,0.187474,0.005507,0.000525,0.067007
8000,1.0570,0.187474,0.005507,0.000525,0.049167
9000,1.0570,0.187474,0.005507,0.000525,0.216087
10000,1.0570,0.187474,0.005507,0.000525,0.617586
11000,1.0570,0.187474,0.005507,0.000525,1.352272
12000,1.0570,0.187474,0.005507,0.000525,3.267461
13000,1.0570,0.187474,0.005507,0.000525,3.416624
14000,1.0570,0.187474,0.005507,0.000525,3.090839
15000,1.0570,0.187474,0.005507,0.000525,2.207258
16000,1.0570,0.187474,0.005507,0.000525,2.887197
17000,1.0570,0.187474,0.005507,0.000525,2.414857
18000,1.0570,0.187474,0.005507,0.000525,1.733390
19000,1.0570,0.187474,0.005507,0.000525,1.783674
20000,1.0570,0.187474,0.005507,0.000525,1.980606
21000,1.0570,0.187474,0.005507,0.000525,2.285971
22000,1.0570,0.187474,0.005507,0.000525,2.452193
23000,1.0570,0.187474,0.005507,0.000525,2.435012
24000,1.0570,0.187474,0.005507,0.000525,2.432173
25000,1.0570,0.187474,0.005507,0.000525,2.312644
26000,1.0570,0.187474,0.005507,0.000525,2.325209
27000,1.0570,0.187474,0.005507,0.000525,2.402461
28000,1.0570,0.187474,0.005507,0.000525,2.299780
29000,1.0570,0.187474,0.005507,0.000525,2.216516
30000,1.0570,0.187474,0.005507,0.000525,2.191126
31000,1.0570,0.187474,0.005507,0.000525,1.886881
32000,1.0570,0.187474,0.005507,0.000525,1.582610
33000,1.0570,0.187474,0.005507,0.000525,1.704909
34000,1.0570,0.187474,0.005507,0.000525,1.919511
35000,1.0570,0.187474,0.005507,0.000525,2.133455
36000,1.0570,0.187474,0.005507,0.000525,2.139845
37000,1.0570,0.187474,0.005507,0.000525,2.062115
38000,1.0570,0.187474,0.005507,0.000525,1.815948
39000,1.0570,0.187474,0.005507,0.000525,1.988785
40000,1.0570,0.187474,0.005507,0.000525,2.022375
41000,1.0570,0.187474,0.005507,0.000525,1.900422
42000,1.0570,0.187474,0.005507,0.000525,2.009423
43000,1.0570,0.187474,0.005507,0.000525,1.808111
44000,1.0570,0.187474,0.005507,0.000525,1.974016
45000,1.0570,0.187474,0.005507,0.000525,1.913733
46000,1.0570,0.187474,0.005507,0.000525,1.886402
47000,1.0570,0.187474,0.005507,0.000525,1.814259
48000,1.0570,0.187474,0.005507,0.000525,1.693024
49000,1.0570,0.187474,0.005507,0.000525,1.689950
50000,1.0570,0.187474,0.005507,0.000525,1.620164
51000,1.0570,0.187474,0.005507,0.000525,1.634406
52000,1.0570,0.187474,0.005507,0.000525,1.516527
53000,1.0570,0.187474,0.005507,0.000525,1.547554
54000,1.0570,0.187474,0.005507,0.000525,1.464452
55000,1.0570,0.187474,0.005507,0.000525,1.358870
56000,1.0570,0.187474,0.005507,0.000525,1.356132
57000,1.0570,0.187474,0.005507,0.000525,1.345888
58000,1.0570,0.187474,0.005507,0.000525,1.280072
59000,1.0570,0.187474,0.005507,0.000525,1.212161
60000,1.0570,0.187474,0.005507,0.000525,1.150420
61000,1.0570,0.187474,0.005507,0.000525,1.148389
62000,1.0570,0.187474,0.005507,0.000525,1.076639
63000,1.0570,0.187474,0.005507,0.000525,1.035540
64000,1.0570,0.187474,0.005507,0.000525,0.992216
65000,1.0570,0.187474,0.005507,0.000525,0.948850
66000,1.0570,0.187474,0.005507,0.000525,0.900644
67000,1.0570,0.187474,0.005507,0.000525,0.819021
68000,1.0570,0.187474,0.005507,0.000525,0.769847
69000,1.0570,0.187474,0.005507,0.000525,0.735698
70000,1.0570,0.187474,0.005507,0.000525,0.693987
71000,1.0570,0.187474,0.005507,0.000525,0.636227
72000,1.0570,0.187474,0.005507,0.000525,0.601203
73000,1.0570,0.187474,0.005507,0.000525,0.568121
74000,1.0570,0.187474,0.005507,0.000525,0.627593
75000,1.0570,0.187474,0.005507,0.000525,0.584096
76000,1.0570,0.187474,0.005507,0.000525,0.565858
77000,1.0570,0.187474,0.005507,0.000525,0.605309
78000,1.0570,0.187474,0.005507,0.000525,0.655795
79000,1.0570,0.187474,0.005507,0.000525,0.711636
80000,1.0570,0.187474,0.005507,0.000525,0.687993
81000,1.0570,0.187474,0.005507,0.000525,0.687034
82000,1.0570,0.187474,0.005507,0.000525,0.710809
83000,1.0570,0.187474,0.005507,0.000525,0.695064
84000,1.0570,0.187474,0.005507,0.000525,0.769421
85000,1.0570,0.187474,0.005507,0.000525,0.813819
86000,1.0570,0.187474,0.005507,0.000525,0.732147
87000,1.0570,0.187474,0.005507,0.000525,0.754447
88000,1.0570,0.187474,0.005507,0.000525,0.885430
89000,1.0570,0.187474,0.005507,0.000525,0.807673
90000,1.0570,0.187474,0.005507,0.000525,0.759930
91000,1.0570,0.187474,0.005507,0.000525,0.817891
92000,1.0570,0.187474,0.005507,0.000525,0.900323
93000,1.0570,0.187474,0.005507,0.000525,0.868059
94000,1.0570,0.187474,0.005507,0.000525,0.808194
95000,1.0570,0.187474,0.005507,0.000525,0.751243
96000,1.0570,0.187474,0.005507,0.000525,0.846530
97000,1.0570,0.187474,0.005507,0.000525,0.808217
98000,1.0570,0.187474,0.005507,0.000525,0.734332
99000,1.0570,0.187474,0.005507,0.000525,0.669492
100000,1.0570,0.187474,0.005507,0.000525,0.791703
101000,1.0570,0.187474,0.005507,0.000525,0.820333
102000,1.0570,0.187474,0.005507,0.000525,0.833380
103000,1.0570,0.187474,0.005507,0.000525,0.813475
104000,1.0570,0.187474,0.005507,0.000525,0.921789
105000,1.0570,0.187474,0.005507,0.000525,0.871435
106000,1.0570,0.187474,0.005507,0.000525,0.880124
