Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,1.0570,0.187474,0.005507,0.000525,0.171869
4001000,1.0570,0.187474,0.005507,0.000525,0.186019
4002000,1.0570,0.187474,0.005507,0.000525,0.172239
4003000,1.0570,0.187474,0.005507,0.000525,0.183454
4004000,1.0570,0.187474,0.005507,0.000525,0.187196
4005000,1.0570,0.187474,0.005507,0.000525,0.218228
4006000,1.0570,0.187474,0.005507,0.000525,0.239052
4007000,1.0570,0.187474,0.005507,0.000525,0.238503
4008000,1.0570,0.187474,0.005507,0.000525,0.240519
4009000,1.0570,0.187474,0.005507,0.000525,0.246308
4010000,1.0570,0.187474,0.005507,0.000525,0.251387
4011000,1.0570,0.187474,0.005507,0.000525,0.320148
4012000,1.0570,0.187474,0.005507,0.000525,0.307661
4013000,1.0570,0.187474,0.005507,0.000525,0.259350
4014000,1.0570,0.187474,0.005507,0.000525,0.258845
4015000,1.0570,0.187474,0.005507,0.000525,0.246606
4016000,1.0570,0.187474,0.005507,0.000525,0.262011
4017000,1.0570,0.187474,0.005507,0.000525,0.261260
4018000,1.0570,0.187474,0.005507,0.000525,0.219104
4019000,1.0570,0.187474,0.005507,0.000525,0.191762
4020000,1.0570,0.187474,0.005507,0.000525,0.180613
4021000,1.0570,0.187474,0.005507,0.000525,0.177214
4022000,1.0570,0.187474,0.005507,0.000525,0.183171
4023000,1.0570,0.187474,0.005507,0.000525,0.186704
4024000,1.0570,0.187474,0.005507,0.000525,0.168547
4025000,1.0570,0.187474,0.005507,0.000525,0.171288
4026000,1.0570,0.187474,0.005507,0.000525,0.193194
4027000,1.0570,0.187474,0.005507,0.000525,0.200536
4028000,1.0570,0.187474,0.005507,0.000525,0.175660
4029000,1.0570,0.187474,0.005507,0.000525,0.178330
4030000,1.0570,0.187474,0.005507,0.000525,0.159289
4031000,1.0570,0.187474,0.005507,0.000525,0.155742
4032000,1.0570,0.187474,0.005507,0.000525,0.194950
4033000,1.0570,0.187474,0.005507,0.000525,0.163464
4034000,1.0570,0.187474,0.005507,0.000525,0.140060
4035000,1.0570,0.187474,0.005507,0.000525,0.148607
4036000,1.0570,0.187474,0.005507,0.000525,0.153044
4037000,1.0570,0.187474,0.005507,0.000525,0.144943
4038000,1.0570,0.187474,0.005507,0.000525,0.137966
4039000,1.0570,0.187474,0.005507,0.000525,0.133974
4040000,1.0570,0.187474,0.005507,0.000525,0.115574
4041000,1.0570,0.187474,0.005507,0.000525,0.106550
4042000,1.0570,0.187474,0.005507,0.000525,0.108441
4043000,1.0570,0.187474,0.005507,0.000525,0.102046
4044000,1.0570,0.187474,0.005507,0.000525,0.113624
4045000,1.0570,0.187474,0.005507,0.000525,0.100136
4046000,1.0570,0.187474,0.005507,0.000525,0.084483
4047000,1.0570,0.187474,0.005507,0.000525,0.094208
4048000,1.0570,0.187474,0.005507,0.000525,0.093457
4049000,1.0570,0.187474,0.005507,0.000525,0.083918
4050000,1.0570,0.187474,0.005507,0.000525,0.084557
4051000,1.0570,0.187474,0.005507,0.000525,0.074053
4052000,1.0570,0.187474,0.005507,0.000525,0.062244
4053000,1.0570,0.187474,0.005507,0.000525,0.066747
4054000,1.0570,0.187474,0.005507,0.000525,0.065739
4055000,1.0570,0.187474,0.005507,0.000525,0.070292
