Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,8.6440,0.261844,0.058609,0.079322,0.373273
2000,8.6440,0.261844,0.058609,0.079322,0.213435
3000,8.6440,0.261844,0.058609,0.079322,0.213435
4000,8.6440,0.261844,0.058609,0.079322,0.213435
5000,8.6440,0.261844,0.058609,0.079322,0.213435
6000,8.6440,0.261844,0.058609,0.079322,8.262386
7000,8.6440,0.261844,0.058609,0.079322,12.735834
8000,8.6440,0.261844,0.058609,0.079322,10.087162
9000,8.6440,0.261844,0.058609,0.079322,12.976408
10000,8.6440,0.261844,0.058609,0.079322,12.571794
11000,8.6440,0.261844,0.058609,0.079322,7.880222
12000,8.6440,0.261844,0.058609,0.079322,11.686883
13000,8.6440,0.261844,0.058609,0.079322,10.226454
14000,8.6440,0.261844,0.058609,0.079322,8.549884
15000,8.6440,0.261844,0.058609,0.079322,10.400364
16000,8.6440,0.261844,0.058609,0.079322,9.856675
17000,8.6440,0.261844,0.058609,0.079322,8.615387
18000,8.6440,0.261844,0.058609,0.079322,10.378630
19000,8.6440,0.261844,0.058609,0.079322,9.611324
20000,8.6440,0.261844,0.058609,0.079322,8.354556
21000,8.6440,0.261844,0.058609,0.079322,9.587090
22000,8.6440,0.261844,0.058609,0.079322,9.789221
23000,8.6440,0.261844,0.058609,0.079322,8.998876
24000,8.6440,0.261844,0.058609,0.079322,9.619087
25000,8.6440,0.261844,0.058609,0.079322,8.632530
26000,8.6440,0.261844,0.058609,0.079322,9.513380
27000,8.6440,0.261844,0.058609,0.079322,9.846944
28000,8.6440,0.261844,0.058609,0.079322,9.051160
29000,8.6440,0.261844,0.058609,0.079322,9.134747
30000,8.6440,0.261844,0.058609,0.079322,9.528635
31000,8.6440,0.261844,0.058609,0.079322,9.483359
32000,8.6440,0.261844,0.058609,0.079322,9.281045
33000,8.6440,0.261844,0.058609,0.079322,9.319565
34000,8.6440,0.261844,0.058609,0.079322,9.095065
35000,8.6440,0.261844,0.058609,0.079322,9.292059
36000,8.6440,0.261844,0.058609,0.079322,9.425198
37000,8.6440,0.261844,0.058609,0.079322,9.552883
38000,8.6440,0.261844,0.058609,0.079322,9.688261
39000,8.6440,0.261844,0.058609,0.079322,8.976116
40000,8.6440,0.261844,0.058609,0.079322,9.454349
41000,8.6440,0.261844,0.058609,0.079322,9.559096
42000,8.6440,0.261844,0.058609,0.079322,9.376183
43000,8.6440,0.261844,0.058609,0.079322,9.622829
44000,8.6440,0.261844,0.058609,0.079322,9.608633
45000,8.6440,0.261844,0.058609,0.079322,9.208316
46000,8.6440,0.261844,0.058609,0.079322,9.383382
47000,8.6440,0.261844,0.058609,0.079322,9.420136
48000,8.6440,0.261844,0.058609,0.079322,9.700316
49000,8.6440,0.261844,0.058609,0.079322,9.222486
50000,8.6440,0.261844,0.058609,0.079322,9.433971
51000,8.6440,0.261844,0.058609,0.079322,9.604294
52000,8.6440,0.261844,0.058609,0.079322,9.383776
53000,8.6440,0.261844,0.058609,0.079322,9.523944
54000,8.6440,0.261844,0.058609,0.079322,9.665515
55000,8.6440,0.261844,0.058609,0.079322,9.052064
56000,8.6440,0.261844,0.058609,0.079322,9.160125
57000,8.6440,0.261844,0.058609,0.079322,9.294341
58000,8.6440,0.261844,0.058609,0.079322,9.433282
59000,8.6440,0.261844,0.058609,0.079322,9.311777
60000,8.6440,0.261844,0.058609,0.079322,9.148241
61000,8.6440,0.261844,0.058609,0.079322,8.982002
62000,8.6440,0.261844,0.058609,0.079322,9.329084
63000,8.6440,0.261844,0.058609,0.079322,9.175978
64000,8.6440,0.261844,0.058609,0.079322,9.277875
65000,8.6440,0.261844,0.058609,0.079322,9.155222
66000,8.6440,0.261844,0.058609,0.079322,9.246316
67000,8.6440,0.261844,0.058609,0.079322,9.155087
68000,8.6440,0.261844,0.058609,0.079322,9.091516
69000,8.6440,0.261844,0.058609,0.079322,8.815452
70000,8.6440,0.261844,0.058609,0.079322,9.575647
71000,8.6440,0.261844,0.058609,0.079322,9.318621
72000,8.6440,0.261844,0.058609,0.079322,8.615993
73000,8.6440,0.261844,0.058609,0.079322,9.662722
74000,8.6440,0.261844,0.058609,0.079322,8.642600
75000,8.6440,0.261844,0.058609,0.079322,8.886000
76000,8.6440,0.261844,0.058609,0.079322,9.561533
77000,8.6440,0.261844,0.058609,0.079322,9.237321
78000,8.6440,0.261844,0.058609,0.079322,8.773175
79000,8.6440,0.261844,0.058609,0.079322,8.827005
80000,8.6440,0.261844,0.058609,0.079322,8.994046
81000,8.6440,0.261844,0.058609,0.079322,9.307674
82000,8.6440,0.261844,0.058609,0.079322,9.014452
83000,8.6440,0.261844,0.058609,0.079322,8.584123
84000,8.6440,0.261844,0.058609,0.079322,8.428527
