Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.550524
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,5.173593
7000,15.7031,5.502199,0.052647,0.006391,2.315612
8000,15.7031,5.502199,0.052647,0.006391,1.885112
9000,15.7031,5.502199,0.052647,0.006391,6.359239
10000,15.7031,5.502199,0.052647,0.006391,2.687574
11000,15.7031,5.502199,0.052647,0.006391,4.389753
12000,15.7031,5.502199,0.052647,0.006391,5.836913
13000,15.7031,5.502199,0.052647,0.006391,3.385789
14000,15.7031,5.502199,0.052647,0.006391,5.892245
15000,15.7031,5.502199,0.052647,0.006391,5.444738
16000,15.7031,5.502199,0.052647,0.006391,4.800767
17000,15.7031,5.502199,0.052647,0.006391,5.357596
18000,15.7031,5.502199,0.052647,0.006391,5.996945
19000,15.7031,5.502199,0.052647,0.006391,4.802786
20000,15.7031,5.502199,0.052647,0.006391,5.546221
21000,15.7031,5.502199,0.052647,0.006391,5.973394
22000,15.7031,5.502199,0.052647,0.006391,4.458473
23000,15.7031,5.502199,0.052647,0.006391,6.575136
24000,15.7031,5.502199,0.052647,0.006391,5.426751
25000,15.7031,5.502199,0.052647,0.006391,4.710444
26000,15.7031,5.502199,0.052647,0.006391,5.981812
27000,15.7031,5.502199,0.052647,0.006391,5.399994
28000,15.7031,5.502199,0.052647,0.006391,4.979124
29000,15.7031,5.502199,0.052647,0.006391,6.039671
30000,15.7031,5.502199,0.052647,0.006391,5.109051
31000,15.7031,5.502199,0.052647,0.006391,5.638233
32000,15.7031,5.502199,0.052647,0.006391,6.093174
33000,15.7031,5.502199,0.052647,0.006391,4.696338
34000,15.7031,5.502199,0.052647,0.006391,5.690285
35000,15.7031,5.502199,0.052647,0.006391,5.171889
36000,15.7031,5.502199,0.052647,0.006391,5.232909
37000,15.7031,5.502199,0.052647,0.006391,5.734840
38000,15.7031,5.502199,0.052647,0.006391,5.435551
39000,15.7031,5.502199,0.052647,0.006391,4.755853
40000,15.7031,5.502199,0.052647,0.006391,5.951358
41000,15.7031,5.502199,0.052647,0.006391,4.983071
42000,15.7031,5.502199,0.052647,0.006391,5.289685
43000,15.7031,5.502199,0.052647,0.006391,5.170863
44000,15.7031,5.502199,0.052647,0.006391,5.345747
45000,15.7031,5.502199,0.052647,0.006391,5.446579
46000,15.7031,5.502199,0.052647,0.006391,4.482193
47000,15.7031,5.502199,0.052647,0.006391,6.300788
48000,15.7031,5.502199,0.052647,0.006391,4.937288
49000,15.7031,5.502199,0.052647,0.006391,5.136459
50000,15.7031,5.502199,0.052647,0.006391,5.742907
51000,15.7031,5.502199,0.052647,0.006391,5.074016
52000,15.7031,5.502199,0.052647,0.006391,5.130304
53000,15.7031,5.502199,0.052647,0.006391,5.663307
54000,15.7031,5.502199,0.052647,0.006391,5.000374
55000,15.7031,5.502199,0.052647,0.006391,5.202005
56000,15.7031,5.502199,0.052647,0.006391,5.426903
57000,15.7031,5.502199,0.052647,0.006391,5.410117
58000,15.7031,5.502199,0.052647,0.006391,5.063952
59000,15.7031,5.502199,0.052647,0.006391,5.488837
60000,15.7031,5.502199,0.052647,0.006391,5.003644
61000,15.7031,5.502199,0.052647,0.006391,5.338526
62000,15.7031,5.502199,0.052647,0.006391,5.173574
63000,15.7031,5.502199,0.052647,0.006391,5.124817
64000,15.7031,5.502199,0.052647,0.006391,5.668927
65000,15.7031,5.502199,0.052647,0.006391,4.799502
66000,15.7031,5.502199,0.052647,0.006391,5.461824
67000,15.7031,5.502199,0.052647,0.006391,6.620502
68000,15.7031,5.502199,0.052647,0.006391,4.220497
69000,15.7031,5.502199,0.052647,0.006391,5.772327
70000,15.7031,5.502199,0.052647,0.006391,6.003697
71000,15.7031,5.502199,0.052647,0.006391,5.298554
72000,15.7031,5.502199,0.052647,0.006391,8.249353
73000,15.7031,5.502199,0.052647,0.006391,6.849344
74000,15.7031,5.502199,0.052647,0.006391,8.657156
75000,15.7031,5.502199,0.052647,0.006391,9.640836
76000,15.7031,5.502199,0.052647,0.006391,8.555482
77000,15.7031,5.502199,0.052647,0.006391,8.832219
78000,15.7031,5.502199,0.052647,0.006391,10.348428
79000,15.7031,5.502199,0.052647,0.006391,7.855313
80000,15.7031,5.502199,0.052647,0.006391,9.235319
81000,15.7031,5.502199,0.052647,0.006391,9.619675
82000,15.7031,5.502199,0.052647,0.006391,8.458613
83000,15.7031,5.502199,0.052647,0.006391,10.182939
84000,15.7031,5.502199,0.052647,0.006391,4.005194
