Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.812730
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.695614
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.695614
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.695614
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.695614
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,30.710487
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,33.694472
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.291632
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.150352
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,37.117651
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,36.235127
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,36.726977
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.847418
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.366792
15000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.463547
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.477609
17000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.082621
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,33.988868
19000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.481432
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.469220
21000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,33.800325
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.038547
23000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.696634
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.228853
25000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.513707
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.610133
27000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,36.712356
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,37.363187
29000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,36.428537
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,36.769713
31000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.582407
