Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.0324,0.013523,0.002678,0.000431,0.914722
1001000,0.0324,0.013523,0.002678,0.000431,0.863832
1002000,0.0324,0.013523,0.002678,0.000431,0.834098
1003000,0.0324,0.013523,0.002678,0.000431,0.794373
1004000,0.0324,0.013523,0.002678,0.000431,0.806596
1005000,0.0324,0.013523,0.002678,0.000431,0.699410
1006000,0.0324,0.013523,0.002678,0.000431,0.651929
1007000,0.0324,0.013523,0.002678,0.000431,0.702583
1008000,0.0324,0.013523,0.002678,0.000431,0.660038
1009000,0.0324,0.013523,0.002678,0.000431,0.617963
1010000,0.0324,0.013523,0.002678,0.000431,0.686952
1011000,0.0324,0.013523,0.002678,0.000431,0.642056
1012000,0.0324,0.013523,0.002678,0.000431,0.622312
1013000,0.0324,0.013523,0.002678,0.000431,0.682369
1014000,0.0324,0.013523,0.002678,0.000431,0.662741
1015000,0.0324,0.013523,0.002678,0.000431,0.555791
1016000,0.0324,0.013523,0.002678,0.000431,0.592812
1017000,0.0324,0.013523,0.002678,0.000431,0.569777
1018000,0.0324,0.013523,0.002678,0.000431,0.546506
1019000,0.0324,0.013523,0.002678,0.000431,0.543333
1020000,0.0324,0.013523,0.002678,0.000431,0.640411
1021000,0.0324,0.013523,0.002678,0.000431,0.647815
1022000,0.0324,0.013523,0.002678,0.000431,0.611029
1023000,0.0324,0.013523,0.002678,0.000431,0.673789
1024000,0.0324,0.013523,0.002678,0.000431,0.646052
1025000,0.0324,0.013523,0.002678,0.000431,0.560962
1026000,0.0324,0.013523,0.002678,0.000431,0.550972
1027000,0.0324,0.013523,0.002678,0.000431,0.529112
1028000,0.0324,0.013523,0.002678,0.000431,0.456244
1029000,0.0324,0.013523,0.002678,0.000431,0.522648
1030000,0.0324,0.013523,0.002678,0.000431,0.676845
1031000,0.0324,0.013523,0.002678,0.000431,0.646758
1032000,0.0324,0.013523,0.002678,0.000431,0.684014
1033000,0.0324,0.013523,0.002678,0.000431,0.724679
1034000,0.0324,0.013523,0.002678,0.000431,0.788614
1035000,0.0324,0.013523,0.002678,0.000431,0.868886
1036000,0.0324,0.013523,0.002678,0.000431,0.880991
1037000,0.0324,0.013523,0.002678,0.000431,0.880286
1038000,0.0324,0.013523,0.002678,0.000431,0.913899
1039000,0.0324,0.013523,0.002678,0.000431,1.015679
1040000,0.0324,0.013523,0.002678,0.000431,1.001928
1041000,0.0324,0.013523,0.002678,0.000431,0.878993
1042000,0.0324,0.013523,0.002678,0.000431,0.916837
1043000,0.0324,0.013523,0.002678,0.000431,0.877818
1044000,0.0324,0.013523,0.002678,0.000431,0.836448
1045000,0.0324,0.013523,0.002678,0.000431,0.710105
1046000,0.0324,0.013523,0.002678,0.000431,0.679430
1047000,0.0324,0.013523,0.002678,0.000431,0.658981
1048000,0.0324,0.013523,0.002678,0.000431,0.595163
1049000,0.0324,0.013523,0.002678,0.000431,0.682604
1050000,0.0324,0.013523,0.002678,0.000431,0.576828
1051000,0.0324,0.013523,0.002678,0.000431,0.578239
1052000,0.0324,0.013523,0.002678,0.000431,0.669676
1053000,0.0324,0.013523,0.002678,0.000431,0.613145
1054000,0.0324,0.013523,0.002678,0.000431,0.671674
1055000,0.0324,0.013523,0.002678,0.000431,0.625838
1056000,0.0324,0.013523,0.002678,0.000431,0.561432
1057000,0.0324,0.013523,0.002678,0.000431,0.610911
1058000,0.0324,0.013523,0.002678,0.000431,0.561902
1059000,0.0324,0.013523,0.002678,0.000431,0.529700
1060000,0.0324,0.013523,0.002678,0.000431,0.470113
1061000,0.0324,0.013523,0.002678,0.000431,0.441318
1062000,0.0324,0.013523,0.002678,0.000431,0.454481
1063000,0.0324,0.013523,0.002678,0.000431,0.531110
1064000,0.0324,0.013523,0.002678,0.000431,0.435324
1065000,0.0324,0.013523,0.002678,0.000431,0.576006
1066000,0.0324,0.013523,0.002678,0.000431,0.734669
1067000,0.0324,0.013523,0.002678,0.000431,0.644054
1068000,0.0324,0.013523,0.002678,0.000431,0.820817
1069000,0.0324,0.013523,0.002678,0.000431,0.843617
1070000,0.0324,0.013523,0.002678,0.000431,0.901206
1071000,0.0324,0.013523,0.002678,0.000431,0.887103
1072000,0.0324,0.013523,0.002678,0.000431,0.905555
1073000,0.0324,0.013523,0.002678,0.000431,0.914252
1074000,0.0324,0.013523,0.002678,0.000431,0.861834
1075000,0.0324,0.013523,0.002678,0.000431,0.859484
1076000,0.0324,0.013523,0.002678,0.000431,0.847731
1077000,0.0324,0.013523,0.002678,0.000431,0.872764
1078000,0.0324,0.013523,0.002678,0.000431,0.840444
1079000,0.0324,0.013523,0.002678,0.000431,0.932351
1080000,0.0324,0.013523,0.002678,0.000431,0.812472
1081000,0.0324,0.013523,0.002678,0.000431,0.761700
