Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,1.6202,0.544831,0.005673,0.000697,0.366957
4001000,1.6202,0.544831,0.005673,0.000697,0.366169
4002000,1.6202,0.544831,0.005673,0.000697,0.377195
4003000,1.6202,0.544831,0.005673,0.000697,0.369807
4004000,1.6202,0.544831,0.005673,0.000697,0.363680
4005000,1.6202,0.544831,0.005673,0.000697,0.369919
4006000,1.6202,0.544831,0.005673,0.000697,0.366248
4007000,1.6202,0.544831,0.005673,0.000697,0.367230
4008000,1.6202,0.544831,0.005673,0.000697,0.369004
4009000,1.6202,0.544831,0.005673,0.000697,0.370712
4010000,1.6202,0.544831,0.005673,0.000697,0.367946
4011000,1.6202,0.544831,0.005673,0.000697,0.367654
4012000,1.6202,0.544831,0.005673,0.000697,0.368311
4013000,1.6202,0.544831,0.005673,0.000697,0.362168
4014000,1.6202,0.544831,0.005673,0.000697,0.367281
4015000,1.6202,0.544831,0.005673,0.000697,0.368581
4016000,1.6202,0.544831,0.005673,0.000697,0.370107
4017000,1.6202,0.544831,0.005673,0.000697,0.367529
4018000,1.6202,0.544831,0.005673,0.000697,0.367471
4019000,1.6202,0.544831,0.005673,0.000697,0.367775
4020000,1.6202,0.544831,0.005673,0.000697,0.370089
4021000,1.6202,0.544831,0.005673,0.000697,0.364377
4022000,1.6202,0.544831,0.005673,0.000697,0.373643
4023000,1.6202,0.544831,0.005673,0.000697,0.368967
4024000,1.6202,0.544831,0.005673,0.000697,0.368083
4025000,1.6202,0.544831,0.005673,0.000697,0.367313
4026000,1.6202,0.544831,0.005673,0.000697,0.369699
4027000,1.6202,0.544831,0.005673,0.000697,0.368622
4028000,1.6202,0.544831,0.005673,0.000697,0.370538
4029000,1.6202,0.544831,0.005673,0.000697,0.363254
4030000,1.6202,0.544831,0.005673,0.000697,0.365348
4031000,1.6202,0.544831,0.005673,0.000697,0.371356
4032000,1.6202,0.544831,0.005673,0.000697,0.365614
4033000,1.6202,0.544831,0.005673,0.000697,0.369711
4034000,1.6202,0.544831,0.005673,0.000697,0.373598
4035000,1.6202,0.544831,0.005673,0.000697,0.375662
4036000,1.6202,0.544831,0.005673,0.000697,0.371096
4037000,1.6202,0.544831,0.005673,0.000697,0.369687
4038000,1.6202,0.544831,0.005673,0.000697,0.370766
4039000,1.6202,0.544831,0.005673,0.000697,0.366289
4040000,1.6202,0.544831,0.005673,0.000697,0.362833
4041000,1.6202,0.544831,0.005673,0.000697,0.366379
4042000,1.6202,0.544831,0.005673,0.000697,0.374013
4043000,1.6202,0.544831,0.005673,0.000697,0.367327
4044000,1.6202,0.544831,0.005673,0.000697,0.364344
4045000,1.6202,0.544831,0.005673,0.000697,0.361980
4046000,1.6202,0.544831,0.005673,0.000697,0.374627
4047000,1.6202,0.544831,0.005673,0.000697,0.368123
4048000,1.6202,0.544831,0.005673,0.000697,0.367274
4049000,1.6202,0.544831,0.005673,0.000697,0.369711
4050000,1.6202,0.544831,0.005673,0.000697,0.371441
4051000,1.6202,0.544831,0.005673,0.000697,0.372183
4052000,1.6202,0.544831,0.005673,0.000697,0.373885
4053000,1.6202,0.544831,0.005673,0.000697,0.368780
4054000,1.6202,0.544831,0.005673,0.000697,0.366728
4055000,1.6202,0.544831,0.005673,0.000697,0.362312
4056000,1.6202,0.544831,0.005673,0.000697,0.372363
4057000,1.6202,0.544831,0.005673,0.000697,0.367751
4058000,1.6202,0.544831,0.005673,0.000697,0.364293
4059000,1.6202,0.544831,0.005673,0.000697,0.365671
4060000,1.6202,0.544831,0.005673,0.000697,0.369587
4061000,1.6202,0.544831,0.005673,0.000697,0.366619
4062000,1.6202,0.544831,0.005673,0.000697,0.371593
4063000,1.6202,0.544831,0.005673,0.000697,0.369972
