Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,36.400133
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,27.426659
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,20.424167
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.852040
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,32.655339
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,31.562979
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.001169
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.315699
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.774436
15000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.196550
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.269389
17000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.461111
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.054447
19000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.138620
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.466754
21000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.234196
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.521336
23000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.712415
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.390301
25000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.855855
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.909835
27000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.892557
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.977523
29000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.762469
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.739219
31000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.350664
32000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.413224
33000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.735166
34000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.036359
35000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.673206
36000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.722553
37000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.626294
38000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.632804
39000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.099716
40000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.328270
