Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.7779,0.306348,0.002724,0.000334,0.183832
2000,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.274262
7000,0.7779,0.306348,0.002724,0.000334,0.197378
8000,0.7779,0.306348,0.002724,0.000334,0.245399
9000,0.7779,0.306348,0.002724,0.000334,0.227780
10000,0.7779,0.306348,0.002724,0.000334,0.231966
11000,0.7779,0.306348,0.002724,0.000334,0.246393
12000,0.7779,0.306348,0.002724,0.000334,0.241975
13000,0.7779,0.306348,0.002724,0.000334,0.239885
14000,0.7779,0.306348,0.002724,0.000334,0.243120
15000,0.7779,0.306348,0.002724,0.000334,0.231663
16000,0.7779,0.306348,0.002724,0.000334,0.247442
17000,0.7779,0.306348,0.002724,0.000334,0.227047
18000,0.7779,0.306348,0.002724,0.000334,0.238798
19000,0.7779,0.306348,0.002724,0.000334,0.241111
20000,0.7779,0.306348,0.002724,0.000334,0.231374
21000,0.7779,0.306348,0.002724,0.000334,0.238552
22000,0.7779,0.306348,0.002724,0.000334,0.234669
23000,0.7779,0.306348,0.002724,0.000334,0.235448
24000,0.7779,0.306348,0.002724,0.000334,0.235951
25000,0.7779,0.306348,0.002724,0.000334,0.231589
26000,0.7779,0.306348,0.002724,0.000334,0.232489
27000,0.7779,0.306348,0.002724,0.000334,0.233705
28000,0.7779,0.306348,0.002724,0.000334,0.242694
29000,0.7779,0.306348,0.002724,0.000334,0.226150
30000,0.7779,0.306348,0.002724,0.000334,0.244865
31000,0.7779,0.306348,0.002724,0.000334,0.219371
32000,0.7779,0.306348,0.002724,0.000334,0.242862
33000,0.7779,0.306348,0.002724,0.000334,0.233608
34000,0.7779,0.306348,0.002724,0.000334,0.250284
35000,0.7779,0.306348,0.002724,0.000334,0.237475
36000,0.7779,0.306348,0.002724,0.000334,0.245079
37000,0.7779,0.306348,0.002724,0.000334,0.232391
38000,0.7779,0.306348,0.002724,0.000334,0.242544
39000,0.7779,0.306348,0.002724,0.000334,0.234139
40000,0.7779,0.306348,0.002724,0.000334,0.240805
41000,0.7779,0.306348,0.002724,0.000334,0.233128
42000,0.7779,0.306348,0.002724,0.000334,0.244877
43000,0.7779,0.306348,0.002724,0.000334,0.232031
44000,0.7779,0.306348,0.002724,0.000334,0.237165
45000,0.7779,0.306348,0.002724,0.000334,0.235164
46000,0.7779,0.306348,0.002724,0.000334,0.249778
47000,0.7779,0.306348,0.002724,0.000334,0.225277
48000,0.7779,0.306348,0.002724,0.000334,0.235162
49000,0.7779,0.306348,0.002724,0.000334,0.242201
50000,0.7779,0.306348,0.002724,0.000334,0.231414
51000,0.7779,0.306348,0.002724,0.000334,0.224264
52000,0.7779,0.306348,0.002724,0.000334,0.237160
53000,0.7779,0.306348,0.002724,0.000334,0.237885
54000,0.7779,0.306348,0.002724,0.000334,0.263426
55000,0.7779,0.306348,0.002724,0.000334,0.265855
56000,0.7779,0.306348,0.002724,0.000334,0.239294
57000,0.7779,0.306348,0.002724,0.000334,0.300965
58000,0.7779,0.306348,0.002724,0.000334,0.252164
59000,0.7779,0.306348,0.002724,0.000334,0.306970
60000,0.7779,0.306348,0.002724,0.000334,0.259310
61000,0.7779,0.306348,0.002724,0.000334,0.299643
62000,0.7779,0.306348,0.002724,0.000334,0.282066
63000,0.7779,0.306348,0.002724,0.000334,0.286838
64000,0.7779,0.306348,0.002724,0.000334,0.283770
65000,0.7779,0.306348,0.002724,0.000334,0.298734
66000,0.7779,0.306348,0.002724,0.000334,0.287343
67000,0.7779,0.306348,0.002724,0.000334,0.292172
68000,0.7779,0.306348,0.002724,0.000334,0.296729
69000,0.7779,0.306348,0.002724,0.000334,0.283115
70000,0.7779,0.306348,0.002724,0.000334,0.296376
71000,0.7779,0.306348,0.002724,0.000334,0.279478
72000,0.7779,0.306348,0.002724,0.000334,0.300004
73000,0.7779,0.306348,0.002724,0.000334,0.284498
74000,0.7779,0.306348,0.002724,0.000334,0.287094
75000,0.7779,0.306348,0.002724,0.000334,0.295785
76000,0.7779,0.306348,0.002724,0.000334,0.279948
77000,0.7779,0.306348,0.002724,0.000334,0.310848
78000,0.7779,0.306348,0.002724,0.000334,0.280962
79000,0.7779,0.306348,0.002724,0.000334,0.298179
80000,0.7779,0.306348,0.002724,0.000334,0.279437
81000,0.7779,0.306348,0.002724,0.000334,0.306058
82000,0.7779,0.306348,0.002724,0.000334,0.283862
83000,0.7779,0.306348,0.002724,0.000334,0.299267
84000,0.7779,0.306348,0.002724,0.000334,0.295758
85000,0.7779,0.306348,0.002724,0.000334,0.280805
86000,0.7779,0.306348,0.002724,0.000334,0.305745
87000,0.7779,0.306348,0.002724,0.000334,0.281837
88000,0.7779,0.306348,0.002724,0.000334,0.294619
89000,0.7779,0.306348,0.002724,0.000334,0.293804
90000,0.7779,0.306348,0.002724,0.000334,0.283573
91000,0.7779,0.306348,0.002724,0.000334,0.325325
92000,0.7779,0.306348,0.002724,0.000334,0.305978
93000,0.7779,0.306348,0.002724,0.000334,0.325190
94000,0.7779,0.306348,0.002724,0.000334,0.310088
95000,0.7779,0.306348,0.002724,0.000334,0.320111
96000,0.7779,0.306348,0.002724,0.000334,0.307390
97000,0.7779,0.306348,0.002724,0.000334,0.328506
98000,0.7779,0.306348,0.002724,0.000334,0.310032
99000,0.7779,0.306348,0.002724,0.000334,0.328198
100000,0.7779,0.306348,0.002724,0.000334,0.315750
101000,0.7779,0.306348,0.002724,0.000334,0.322038
102000,0.7779,0.306348,0.002724,0.000334,0.319752
103000,0.7779,0.306348,0.002724,0.000334,0.309868
104000,0.7779,0.306348,0.002724,0.000334,0.315492
105000,0.7779,0.306348,0.002724,0.000334,0.296250
106000,0.7779,0.306348,0.002724,0.000334,0.325273
107000,0.7779,0.306348,0.002724,0.000334,0.317473
108000,0.7779,0.306348,0.002724,0.000334,0.312138
109000,0.7779,0.306348,0.002724,0.000334,0.321675
110000,0.7779,0.306348,0.002724,0.000334,0.301814
111000,0.7779,0.306348,0.002724,0.000334,0.329917
112000,0.7779,0.306348,0.002724,0.000334,0.313037
113000,0.7779,0.306348,0.002724,0.000334,0.321470
114000,0.7779,0.306348,0.002724,0.000334,0.306784
115000,0.7779,0.306348,0.002724,0.000334,0.312451
116000,0.7779,0.306348,0.002724,0.000334,0.304437
117000,0.7779,0.306348,0.002724,0.000334,0.292694
118000,0.7779,0.306348,0.002724,0.000334,0.309647
119000,0.7779,0.306348,0.002724,0.000334,0.293768
120000,0.7779,0.306348,0.002724,0.000334,0.313975
121000,0.7779,0.306348,0.002724,0.000334,0.301820
122000,0.7779,0.306348,0.002724,0.000334,0.322780
123000,0.7779,0.306348,0.002724,0.000334,0.312671
124000,0.7779,0.306348,0.002724,0.000334,0.311390
125000,0.7779,0.306348,0.002724,0.000334,0.314590
126000,0.7779,0.306348,0.002724,0.000334,0.303472
127000,0.7779,0.306348,0.002724,0.000334,0.335702
128000,0.7779,0.306348,0.002724,0.000334,0.300610
129000,0.7779,0.306348,0.002724,0.000334,0.324739
130000,0.7779,0.306348,0.002724,0.000334,0.309055
131000,0.7779,0.306348,0.002724,0.000334,0.308805
132000,0.7779,0.306348,0.002724,0.000334,0.328473
133000,0.7779,0.306348,0.002724,0.000334,0.302075
134000,0.7779,0.306348,0.002724,0.000334,0.335689
135000,0.7779,0.306348,0.002724,0.000334,0.297740
136000,0.7779,0.306348,0.002724,0.000334,0.330924
137000,0.7779,0.306348,0.002724,0.000334,0.315316
138000,0.7779,0.306348,0.002724,0.000334,0.308795
139000,0.7779,0.306348,0.002724,0.000334,0.320953
140000,0.7779,0.306348,0.002724,0.000334,0.279457
141000,0.7779,0.306348,0.002724,0.000334,0.314129
142000,0.7779,0.306348,0.002724,0.000334,0.283969
143000,0.7779,0.306348,0.002724,0.000334,0.310134
144000,0.7779,0.306348,0.002724,0.000334,0.285197
145000,0.7779,0.306348,0.002724,0.000334,0.318750
146000,0.7779,0.306348,0.002724,0.000334,0.277224
147000,0.7779,0.306348,0.002724,0.000334,0.329457
148000,0.7779,0.306348,0.002724,0.000334,0.266982
149000,0.7779,0.306348,0.002724,0.000334,0.325865
150000,0.7779,0.306348,0.002724,0.000334,0.265663
151000,0.7779,0.306348,0.002724,0.000334,0.323684
152000,0.7779,0.306348,0.002724,0.000334,0.266107
153000,0.7779,0.306348,0.002724,0.000334,0.329902
154000,0.7779,0.306348,0.002724,0.000334,0.274485
155000,0.7779,0.306348,0.002724,0.000334,0.326556
156000,0.7779,0.306348,0.002724,0.000334,0.279192
157000,0.7779,0.306348,0.002724,0.000334,0.336252
