Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,0.2191,0.065854,0.000377,0.000034,0.212643
5001000,0.2191,0.065854,0.000377,0.000034,0.216094
5002000,0.2191,0.065854,0.000377,0.000034,0.209967
5003000,0.2191,0.065854,0.000377,0.000034,0.208997
5004000,0.2191,0.065854,0.000377,0.000034,0.212321
5005000,0.2191,0.065854,0.000377,0.000034,0.229695
5006000,0.2191,0.065854,0.000377,0.000034,0.222062
5007000,0.2191,0.065854,0.000377,0.000034,0.209844
5008000,0.2191,0.065854,0.000377,0.000034,0.211504
5009000,0.2191,0.065854,0.000377,0.000034,0.208187
5010000,0.2191,0.065854,0.000377,0.000034,0.208062
5011000,0.2191,0.065854,0.000377,0.000034,0.209512
5012000,0.2191,0.065854,0.000377,0.000034,0.204979
5013000,0.2191,0.065854,0.000377,0.000034,0.201572
5014000,0.2191,0.065854,0.000377,0.000034,0.205224
5015000,0.2191,0.065854,0.000377,0.000034,0.206570
5016000,0.2191,0.065854,0.000377,0.000034,0.203256
5017000,0.2191,0.065854,0.000377,0.000034,0.205326
5018000,0.2191,0.065854,0.000377,0.000034,0.203985
5019000,0.2191,0.065854,0.000377,0.000034,0.205148
5020000,0.2191,0.065854,0.000377,0.000034,0.208575
5021000,0.2191,0.065854,0.000377,0.000034,0.211492
5022000,0.2191,0.065854,0.000377,0.000034,0.201123
5023000,0.2191,0.065854,0.000377,0.000034,0.201683
5024000,0.2191,0.065854,0.000377,0.000034,0.201855
5025000,0.2191,0.065854,0.000377,0.000034,0.211467
5026000,0.2191,0.065854,0.000377,0.000034,0.211208
5027000,0.2191,0.065854,0.000377,0.000034,0.213264
5028000,0.2191,0.065854,0.000377,0.000034,0.210728
5029000,0.2191,0.065854,0.000377,0.000034,0.205112
5030000,0.2191,0.065854,0.000377,0.000034,0.211828
5031000,0.2191,0.065854,0.000377,0.000034,0.206385
5032000,0.2191,0.065854,0.000377,0.000034,0.202352
5033000,0.2191,0.065854,0.000377,0.000034,0.210616
5034000,0.2191,0.065854,0.000377,0.000034,0.207802
5035000,0.2191,0.065854,0.000377,0.000034,0.206176
5036000,0.2191,0.065854,0.000377,0.000034,0.203611
5037000,0.2191,0.065854,0.000377,0.000034,0.200697
5038000,0.2191,0.065854,0.000377,0.000034,0.202665
5039000,0.2191,0.065854,0.000377,0.000034,0.210031
5040000,0.2191,0.065854,0.000377,0.000034,0.203257
5041000,0.2191,0.065854,0.000377,0.000034,0.206540
5042000,0.2191,0.065854,0.000377,0.000034,0.197853
5043000,0.2191,0.065854,0.000377,0.000034,0.207728
5044000,0.2191,0.065854,0.000377,0.000034,0.207990
5045000,0.2191,0.065854,0.000377,0.000034,0.203790
5046000,0.2191,0.065854,0.000377,0.000034,0.200917
5047000,0.2191,0.065854,0.000377,0.000034,0.206897
5048000,0.2191,0.065854,0.000377,0.000034,0.202698
5049000,0.2191,0.065854,0.000377,0.000034,0.203720
5050000,0.2191,0.065854,0.000377,0.000034,0.206540
5051000,0.2191,0.065854,0.000377,0.000034,0.201534
5052000,0.2191,0.065854,0.000377,0.000034,0.203772
5053000,0.2191,0.065854,0.000377,0.000034,0.212422
5054000,0.2191,0.065854,0.000377,0.000034,0.203058
5055000,0.2191,0.065854,0.000377,0.000034,0.207928
5056000,0.2191,0.065854,0.000377,0.000034,0.215117
5057000,0.2191,0.065854,0.000377,0.000034,0.205955
5058000,0.2191,0.065854,0.000377,0.000034,0.212119
5059000,0.2191,0.065854,0.000377,0.000034,0.205467
