Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.847941
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.674274
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.674274
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.674274
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.674274
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,31.580388
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.495412
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,37.757579
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.747648
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,43.226954
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.723325
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.743663
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,46.279013
