Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.7779,0.306348,0.002724,0.000334,0.186762
2000,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.269325
7000,0.7779,0.306348,0.002724,0.000334,0.199648
8000,0.7779,0.306348,0.002724,0.000334,0.223563
9000,0.7779,0.306348,0.002724,0.000334,0.244578
10000,0.7779,0.306348,0.002724,0.000334,0.213780
11000,0.7779,0.306348,0.002724,0.000334,0.257352
12000,0.7779,0.306348,0.002724,0.000334,0.210001
13000,0.7779,0.306348,0.002724,0.000334,0.251150
14000,0.7779,0.306348,0.002724,0.000334,0.226307
15000,0.7779,0.306348,0.002724,0.000334,0.252255
16000,0.7779,0.306348,0.002724,0.000334,0.228060
17000,0.7779,0.306348,0.002724,0.000334,0.241296
18000,0.7779,0.306348,0.002724,0.000334,0.232319
19000,0.7779,0.306348,0.002724,0.000334,0.240088
20000,0.7779,0.306348,0.002724,0.000334,0.235374
21000,0.7779,0.306348,0.002724,0.000334,0.245726
22000,0.7779,0.306348,0.002724,0.000334,0.232961
23000,0.7779,0.306348,0.002724,0.000334,0.222033
24000,0.7779,0.306348,0.002724,0.000334,0.235398
25000,0.7779,0.306348,0.002724,0.000334,0.228277
26000,0.7779,0.306348,0.002724,0.000334,0.222137
27000,0.7779,0.306348,0.002724,0.000334,0.233775
28000,0.7779,0.306348,0.002724,0.000334,0.217929
29000,0.7779,0.306348,0.002724,0.000334,0.239219
30000,0.7779,0.306348,0.002724,0.000334,0.220099
31000,0.7779,0.306348,0.002724,0.000334,0.229032
32000,0.7779,0.306348,0.002724,0.000334,0.221700
33000,0.7779,0.306348,0.002724,0.000334,0.232824
34000,0.7779,0.306348,0.002724,0.000334,0.209824
35000,0.7779,0.306348,0.002724,0.000334,0.221993
36000,0.7779,0.306348,0.002724,0.000334,0.233099
37000,0.7779,0.306348,0.002724,0.000334,0.212431
38000,0.7779,0.306348,0.002724,0.000334,0.240868
