Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.906971
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,10.896646
7000,15.7031,5.502199,0.052647,0.006391,3.846011
8000,15.7031,5.502199,0.052647,0.006391,5.709599
9000,15.7031,5.502199,0.052647,0.006391,9.059784
10000,15.7031,5.502199,0.052647,0.006391,4.866440
11000,15.7031,5.502199,0.052647,0.006391,10.098488
12000,15.7031,5.502199,0.052647,0.006391,4.709197
13000,15.7031,5.502199,0.052647,0.006391,9.422668
14000,15.7031,5.502199,0.052647,0.006391,6.909371
15000,15.7031,5.502199,0.052647,0.006391,9.702679
16000,15.7031,5.502199,0.052647,0.006391,6.592550
17000,15.7031,5.502199,0.052647,0.006391,8.108371
18000,15.7031,5.502199,0.052647,0.006391,7.231985
19000,15.7031,5.502199,0.052647,0.006391,8.179211
20000,15.7031,5.502199,0.052647,0.006391,7.785655
21000,15.7031,5.502199,0.052647,0.006391,8.833004
22000,15.7031,5.502199,0.052647,0.006391,7.579167
23000,15.7031,5.502199,0.052647,0.006391,5.793505
24000,15.7031,5.502199,0.052647,0.006391,7.442361
25000,15.7031,5.502199,0.052647,0.006391,6.668919
26000,15.7031,5.502199,0.052647,0.006391,5.963293
27000,15.7031,5.502199,0.052647,0.006391,7.417322
28000,15.7031,5.502199,0.052647,0.006391,5.528538
29000,15.7031,5.502199,0.052647,0.006391,7.776529
30000,15.7031,5.502199,0.052647,0.006391,5.859834
31000,15.7031,5.502199,0.052647,0.006391,6.872098
32000,15.7031,5.502199,0.052647,0.006391,6.009078
33000,15.7031,5.502199,0.052647,0.006391,7.316672
34000,15.7031,5.502199,0.052647,0.006391,4.490723
35000,15.7031,5.502199,0.052647,0.006391,5.831150
36000,15.7031,5.502199,0.052647,0.006391,7.763144
37000,15.7031,5.502199,0.052647,0.006391,4.758300
38000,15.7031,5.502199,0.052647,0.006391,8.108501
39000,15.7031,5.502199,0.052647,0.006391,5.867156
40000,15.7031,5.502199,0.052647,0.006391,5.662344
41000,15.7031,5.502199,0.052647,0.006391,7.717112
42000,15.7031,5.502199,0.052647,0.006391,6.145715
43000,15.7031,5.502199,0.052647,0.006391,5.654095
44000,15.7031,5.502199,0.052647,0.006391,5.965747
45000,15.7031,5.502199,0.052647,0.006391,6.365747
46000,15.7031,5.502199,0.052647,0.006391,6.147981
47000,15.7031,5.502199,0.052647,0.006391,8.376483
48000,15.7031,5.502199,0.052647,0.006391,5.494453
49000,15.7031,5.502199,0.052647,0.006391,6.458530
50000,15.7031,5.502199,0.052647,0.006391,7.009995
