Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,1.3415,0.039994,0.023482,0.002970,0.620647
4001000,1.3415,0.039994,0.023482,0.002970,0.618591
4002000,1.3415,0.039994,0.023482,0.002970,0.605844
4003000,1.3415,0.039994,0.023482,0.002970,0.593861
4004000,1.3415,0.039994,0.023482,0.002970,0.615616
4005000,1.3415,0.039994,0.023482,0.002970,0.615951
4006000,1.3415,0.039994,0.023482,0.002970,0.616398
4007000,1.3415,0.039994,0.023482,0.002970,0.621446
4008000,1.3415,0.039994,0.023482,0.002970,0.609719
4009000,1.3415,0.039994,0.023482,0.002970,0.605617
4010000,1.3415,0.039994,0.023482,0.002970,0.616079
4011000,1.3415,0.039994,0.023482,0.002970,0.597012
4012000,1.3415,0.039994,0.023482,0.002970,0.624104
4013000,1.3415,0.039994,0.023482,0.002970,0.618271
4014000,1.3415,0.039994,0.023482,0.002970,0.626263
4015000,1.3415,0.039994,0.023482,0.002970,0.615445
4016000,1.3415,0.039994,0.023482,0.002970,0.615462
4017000,1.3415,0.039994,0.023482,0.002970,0.606853
4018000,1.3415,0.039994,0.023482,0.002970,0.642265
4019000,1.3415,0.039994,0.023482,0.002970,0.634150
4020000,1.3415,0.039994,0.023482,0.002970,0.617543
4021000,1.3415,0.039994,0.023482,0.002970,0.620119
4022000,1.3415,0.039994,0.023482,0.002970,0.625584
4023000,1.3415,0.039994,0.023482,0.002970,0.628987
4024000,1.3415,0.039994,0.023482,0.002970,0.616111
4025000,1.3415,0.039994,0.023482,0.002970,0.637473
4026000,1.3415,0.039994,0.023482,0.002970,0.611938
4027000,1.3415,0.039994,0.023482,0.002970,0.624999
4028000,1.3415,0.039994,0.023482,0.002970,0.629846
4029000,1.3415,0.039994,0.023482,0.002970,0.605513
4030000,1.3415,0.039994,0.023482,0.002970,0.611912
4031000,1.3415,0.039994,0.023482,0.002970,0.626852
4032000,1.3415,0.039994,0.023482,0.002970,0.615429
4033000,1.3415,0.039994,0.023482,0.002970,0.609351
4034000,1.3415,0.039994,0.023482,0.002970,0.611333
4035000,1.3415,0.039994,0.023482,0.002970,0.615158
4036000,1.3415,0.039994,0.023482,0.002970,0.614938
4037000,1.3415,0.039994,0.023482,0.002970,0.626638
4038000,1.3415,0.039994,0.023482,0.002970,0.608219
4039000,1.3415,0.039994,0.023482,0.002970,0.611614
4040000,1.3415,0.039994,0.023482,0.002970,0.616315
4041000,1.3415,0.039994,0.023482,0.002970,0.607246
4042000,1.3415,0.039994,0.023482,0.002970,0.624467
4043000,1.3415,0.039994,0.023482,0.002970,0.629210
4044000,1.3415,0.039994,0.023482,0.002970,0.621492
4045000,1.3415,0.039994,0.023482,0.002970,0.635018
4046000,1.3415,0.039994,0.023482,0.002970,0.609483
4047000,1.3415,0.039994,0.023482,0.002970,0.638128
4048000,1.3415,0.039994,0.023482,0.002970,0.603667
4049000,1.3415,0.039994,0.023482,0.002970,0.615914
4050000,1.3415,0.039994,0.023482,0.002970,0.629578
4051000,1.3415,0.039994,0.023482,0.002970,0.625563
4052000,1.3415,0.039994,0.023482,0.002970,0.620456
4053000,1.3415,0.039994,0.023482,0.002970,0.629274
4054000,1.3415,0.039994,0.023482,0.002970,0.602727
4055000,1.3415,0.039994,0.023482,0.002970,0.625362
4056000,1.3415,0.039994,0.023482,0.002970,0.622985
4057000,1.3415,0.039994,0.023482,0.002970,0.613660
4058000,1.3415,0.039994,0.023482,0.002970,0.605620
4059000,1.3415,0.039994,0.023482,0.002970,0.622798
4060000,1.3415,0.039994,0.023482,0.002970,0.628642
4061000,1.3415,0.039994,0.023482,0.002970,0.625110
4062000,1.3415,0.039994,0.023482,0.002970,0.617872
4063000,1.3415,0.039994,0.023482,0.002970,0.623867
4064000,1.3415,0.039994,0.023482,0.002970,0.636647
4065000,1.3415,0.039994,0.023482,0.002970,0.608328
4066000,1.3415,0.039994,0.023482,0.002970,0.622990
