Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.6202,0.544831,0.005673,0.000697,0.326899
2000,1.6202,0.544831,0.005673,0.000697,0.326899
3000,1.6202,0.544831,0.005673,0.000697,0.326899
4000,1.6202,0.544831,0.005673,0.000697,0.326899
5000,1.6202,0.544831,0.005673,0.000697,0.326899
6000,1.6202,0.544831,0.005673,0.000697,0.345054
7000,1.6202,0.544831,0.005673,0.000697,0.386551
8000,1.6202,0.544831,0.005673,0.000697,0.385806
9000,1.6202,0.544831,0.005673,0.000697,0.371778
10000,1.6202,0.544831,0.005673,0.000697,0.377040
11000,1.6202,0.544831,0.005673,0.000697,0.379413
12000,1.6202,0.544831,0.005673,0.000697,0.381769
13000,1.6202,0.544831,0.005673,0.000697,0.381268
14000,1.6202,0.544831,0.005673,0.000697,0.382521
15000,1.6202,0.544831,0.005673,0.000697,0.379561
16000,1.6202,0.544831,0.005673,0.000697,0.379869
17000,1.6202,0.544831,0.005673,0.000697,0.379373
18000,1.6202,0.544831,0.005673,0.000697,0.374384
19000,1.6202,0.544831,0.005673,0.000697,0.377333
20000,1.6202,0.544831,0.005673,0.000697,0.377885
21000,1.6202,0.544831,0.005673,0.000697,0.373729
22000,1.6202,0.544831,0.005673,0.000697,0.381625
23000,1.6202,0.544831,0.005673,0.000697,0.375211
24000,1.6202,0.544831,0.005673,0.000697,0.378562
25000,1.6202,0.544831,0.005673,0.000697,0.374298
26000,1.6202,0.544831,0.005673,0.000697,0.374483
27000,1.6202,0.544831,0.005673,0.000697,0.375490
28000,1.6202,0.544831,0.005673,0.000697,0.374554
29000,1.6202,0.544831,0.005673,0.000697,0.371750
30000,1.6202,0.544831,0.005673,0.000697,0.373776
31000,1.6202,0.544831,0.005673,0.000697,0.375107
32000,1.6202,0.544831,0.005673,0.000697,0.368158
33000,1.6202,0.544831,0.005673,0.000697,0.374563
34000,1.6202,0.544831,0.005673,0.000697,0.373322
35000,1.6202,0.544831,0.005673,0.000697,0.369986
36000,1.6202,0.544831,0.005673,0.000697,0.372580
37000,1.6202,0.544831,0.005673,0.000697,0.370070
38000,1.6202,0.544831,0.005673,0.000697,0.372866
39000,1.6202,0.544831,0.005673,0.000697,0.374203
40000,1.6202,0.544831,0.005673,0.000697,0.372519
41000,1.6202,0.544831,0.005673,0.000697,0.374954
42000,1.6202,0.544831,0.005673,0.000697,0.365566
