Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,1.0570,0.187474,0.005507,0.000525,0.079025
4001000,1.0570,0.187474,0.005507,0.000525,0.061350
4002000,1.0570,0.187474,0.005507,0.000525,0.069638
4003000,1.0570,0.187474,0.005507,0.000525,0.099755
4004000,1.0570,0.187474,0.005507,0.000525,0.058088
4005000,1.0570,0.187474,0.005507,0.000525,0.062732
4006000,1.0570,0.187474,0.005507,0.000525,0.058353
4007000,1.0570,0.187474,0.005507,0.000525,0.066648
4008000,1.0570,0.187474,0.005507,0.000525,0.068020
4009000,1.0570,0.187474,0.005507,0.000525,0.085603
4010000,1.0570,0.187474,0.005507,0.000525,0.072528
4011000,1.0570,0.187474,0.005507,0.000525,0.067471
4012000,1.0570,0.187474,0.005507,0.000525,0.063212
4013000,1.0570,0.187474,0.005507,0.000525,0.064264
4014000,1.0570,0.187474,0.005507,0.000525,0.071281
4015000,1.0570,0.187474,0.005507,0.000525,0.074874
4016000,1.0570,0.187474,0.005507,0.000525,0.069944
4017000,1.0570,0.187474,0.005507,0.000525,0.054806
4018000,1.0570,0.187474,0.005507,0.000525,0.081178
4019000,1.0570,0.187474,0.005507,0.000525,0.067617
4020000,1.0570,0.187474,0.005507,0.000525,0.061422
4021000,1.0570,0.187474,0.005507,0.000525,0.075643
4022000,1.0570,0.187474,0.005507,0.000525,0.085354
4023000,1.0570,0.187474,0.005507,0.000525,0.057554
4024000,1.0570,0.187474,0.005507,0.000525,0.061632
4025000,1.0570,0.187474,0.005507,0.000525,0.062791
4026000,1.0570,0.187474,0.005507,0.000525,0.069425
4027000,1.0570,0.187474,0.005507,0.000525,0.067599
4028000,1.0570,0.187474,0.005507,0.000525,0.060673
4029000,1.0570,0.187474,0.005507,0.000525,0.062147
4030000,1.0570,0.187474,0.005507,0.000525,0.067240
4031000,1.0570,0.187474,0.005507,0.000525,0.072503
4032000,1.0570,0.187474,0.005507,0.000525,0.067930
4033000,1.0570,0.187474,0.005507,0.000525,0.087475
4034000,1.0570,0.187474,0.005507,0.000525,0.061852
4035000,1.0570,0.187474,0.005507,0.000525,0.064420
4036000,1.0570,0.187474,0.005507,0.000525,0.068544
4037000,1.0570,0.187474,0.005507,0.000525,0.061920
4038000,1.0570,0.187474,0.005507,0.000525,0.062932
4039000,1.0570,0.187474,0.005507,0.000525,0.057350
4040000,1.0570,0.187474,0.005507,0.000525,0.069083
4041000,1.0570,0.187474,0.005507,0.000525,0.088710
4042000,1.0570,0.187474,0.005507,0.000525,0.058137
4043000,1.0570,0.187474,0.005507,0.000525,0.069691
4044000,1.0570,0.187474,0.005507,0.000525,0.059126
4045000,1.0570,0.187474,0.005507,0.000525,0.068812
4046000,1.0570,0.187474,0.005507,0.000525,0.066380
4047000,1.0570,0.187474,0.005507,0.000525,0.056978
4048000,1.0570,0.187474,0.005507,0.000525,0.065598
4049000,1.0570,0.187474,0.005507,0.000525,0.067537
4050000,1.0570,0.187474,0.005507,0.000525,0.066425
4051000,1.0570,0.187474,0.005507,0.000525,0.063956
4052000,1.0570,0.187474,0.005507,0.000525,0.061290
4053000,1.0570,0.187474,0.005507,0.000525,0.061954
4054000,1.0570,0.187474,0.005507,0.000525,0.072225
4055000,1.0570,0.187474,0.005507,0.000525,0.070065
4056000,1.0570,0.187474,0.005507,0.000525,0.079209
4057000,1.0570,0.187474,0.005507,0.000525,0.065025
4058000,1.0570,0.187474,0.005507,0.000525,0.066351
4059000,1.0570,0.187474,0.005507,0.000525,0.076505
4060000,1.0570,0.187474,0.005507,0.000525,0.066552
4061000,1.0570,0.187474,0.005507,0.000525,0.066938
4062000,1.0570,0.187474,0.005507,0.000525,0.071372
4063000,1.0570,0.187474,0.005507,0.000525,0.081494
4064000,1.0570,0.187474,0.005507,0.000525,0.075033
4065000,1.0570,0.187474,0.005507,0.000525,0.073776
4066000,1.0570,0.187474,0.005507,0.000525,0.076193
4067000,1.0570,0.187474,0.005507,0.000525,0.090505
4068000,1.0570,0.187474,0.005507,0.000525,0.083218
4069000,1.0570,0.187474,0.005507,0.000525,0.061799
4070000,1.0570,0.187474,0.005507,0.000525,0.073487
4071000,1.0570,0.187474,0.005507,0.000525,0.064762
4072000,1.0570,0.187474,0.005507,0.000525,0.065839
4073000,1.0570,0.187474,0.005507,0.000525,0.067314
4074000,1.0570,0.187474,0.005507,0.000525,0.059286
4075000,1.0570,0.187474,0.005507,0.000525,0.061513
4076000,1.0570,0.187474,0.005507,0.000525,0.059957
4077000,1.0570,0.187474,0.005507,0.000525,0.067694
4078000,1.0570,0.187474,0.005507,0.000525,0.059309
4079000,1.0570,0.187474,0.005507,0.000525,0.075307
4080000,1.0570,0.187474,0.005507,0.000525,0.078360
4081000,1.0570,0.187474,0.005507,0.000525,0.053093
4082000,1.0570,0.187474,0.005507,0.000525,0.068628
4083000,1.0570,0.187474,0.005507,0.000525,0.060577
4084000,1.0570,0.187474,0.005507,0.000525,0.056474
4085000,1.0570,0.187474,0.005507,0.000525,0.065509
4086000,1.0570,0.187474,0.005507,0.000525,0.059868
4087000,1.0570,0.187474,0.005507,0.000525,0.056439
4088000,1.0570,0.187474,0.005507,0.000525,0.063050
4089000,1.0570,0.187474,0.005507,0.000525,0.056640
4090000,1.0570,0.187474,0.005507,0.000525,0.063963
4091000,1.0570,0.187474,0.005507,0.000525,0.060632
4092000,1.0570,0.187474,0.005507,0.000525,0.060470
4093000,1.0570,0.187474,0.005507,0.000525,0.055126
4094000,1.0570,0.187474,0.005507,0.000525,0.052603
4095000,1.0570,0.187474,0.005507,0.000525,0.059753
4096000,1.0570,0.187474,0.005507,0.000525,0.057813
4097000,1.0570,0.187474,0.005507,0.000525,0.056765
4098000,1.0570,0.187474,0.005507,0.000525,0.063329
4099000,1.0570,0.187474,0.005507,0.000525,0.063960
4100000,1.0570,0.187474,0.005507,0.000525,0.065703
4101000,1.0570,0.187474,0.005507,0.000525,0.061456
4102000,1.0570,0.187474,0.005507,0.000525,0.062195
4103000,1.0570,0.187474,0.005507,0.000525,0.068254
4104000,1.0570,0.187474,0.005507,0.000525,0.077263
4105000,1.0570,0.187474,0.005507,0.000525,0.064637
4106000,1.0570,0.187474,0.005507,0.000525,0.073076
4107000,1.0570,0.187474,0.005507,0.000525,0.077769
4108000,1.0570,0.187474,0.005507,0.000525,0.072007
4109000,1.0570,0.187474,0.005507,0.000525,0.069476
4110000,1.0570,0.187474,0.005507,0.000525,0.063404
4111000,1.0570,0.187474,0.005507,0.000525,0.055495
4112000,1.0570,0.187474,0.005507,0.000525,0.059301
4113000,1.0570,0.187474,0.005507,0.000525,0.069729
4114000,1.0570,0.187474,0.005507,0.000525,0.068520
4115000,1.0570,0.187474,0.005507,0.000525,0.066691
4116000,1.0570,0.187474,0.005507,0.000525,0.062795
4117000,1.0570,0.187474,0.005507,0.000525,0.077305
4118000,1.0570,0.187474,0.005507,0.000525,0.067970
4119000,1.0570,0.187474,0.005507,0.000525,0.062933
4120000,1.0570,0.187474,0.005507,0.000525,0.064055
4121000,1.0570,0.187474,0.005507,0.000525,0.070698
4122000,1.0570,0.187474,0.005507,0.000525,0.073397
4123000,1.0570,0.187474,0.005507,0.000525,0.062830
4124000,1.0570,0.187474,0.005507,0.000525,0.071819
4125000,1.0570,0.187474,0.005507,0.000525,0.076262
4126000,1.0570,0.187474,0.005507,0.000525,0.080239
4127000,1.0570,0.187474,0.005507,0.000525,0.066124
4128000,1.0570,0.187474,0.005507,0.000525,0.065289
4129000,1.0570,0.187474,0.005507,0.000525,0.072814
4130000,1.0570,0.187474,0.005507,0.000525,0.074123
4131000,1.0570,0.187474,0.005507,0.000525,0.068085
4132000,1.0570,0.187474,0.005507,0.000525,0.062760
4133000,1.0570,0.187474,0.005507,0.000525,0.066935
4134000,1.0570,0.187474,0.005507,0.000525,0.080318
4135000,1.0570,0.187474,0.005507,0.000525,0.068401
4136000,1.0570,0.187474,0.005507,0.000525,0.073244
4137000,1.0570,0.187474,0.005507,0.000525,0.064059
4138000,1.0570,0.187474,0.005507,0.000525,0.069824
4139000,1.0570,0.187474,0.005507,0.000525,0.067410
4140000,1.0570,0.187474,0.005507,0.000525,0.061563
4141000,1.0570,0.187474,0.005507,0.000525,0.061407
4142000,1.0570,0.187474,0.005507,0.000525,0.065952
4143000,1.0570,0.187474,0.005507,0.000525,0.061267
4144000,1.0570,0.187474,0.005507,0.000525,0.065871
4145000,1.0570,0.187474,0.005507,0.000525,0.074967
4146000,1.0570,0.187474,0.005507,0.000525,0.069471
4147000,1.0570,0.187474,0.005507,0.000525,0.067788
4148000,1.0570,0.187474,0.005507,0.000525,0.066871
4149000,1.0570,0.187474,0.005507,0.000525,0.069421
4150000,1.0570,0.187474,0.005507,0.000525,0.074129
4151000,1.0570,0.187474,0.005507,0.000525,0.069901
4152000,1.0570,0.187474,0.005507,0.000525,0.066687
4153000,1.0570,0.187474,0.005507,0.000525,0.061382
4154000,1.0570,0.187474,0.005507,0.000525,0.079628
4155000,1.0570,0.187474,0.005507,0.000525,0.060863
4156000,1.0570,0.187474,0.005507,0.000525,0.058704
4157000,1.0570,0.187474,0.005507,0.000525,0.058786
4158000,1.0570,0.187474,0.005507,0.000525,0.057496
4159000,1.0570,0.187474,0.005507,0.000525,0.057232
4160000,1.0570,0.187474,0.005507,0.000525,0.060981
4161000,1.0570,0.187474,0.005507,0.000525,0.057066
4162000,1.0570,0.187474,0.005507,0.000525,0.055440
4163000,1.0570,0.187474,0.005507,0.000525,0.057442
4164000,1.0570,0.187474,0.005507,0.000525,0.053761
4165000,1.0570,0.187474,0.005507,0.000525,0.056690
4166000,1.0570,0.187474,0.005507,0.000525,0.065510
4167000,1.0570,0.187474,0.005507,0.000525,0.059232
4168000,1.0570,0.187474,0.005507,0.000525,0.054566
4169000,1.0570,0.187474,0.005507,0.000525,0.054383
4170000,1.0570,0.187474,0.005507,0.000525,0.061468
4171000,1.0570,0.187474,0.005507,0.000525,0.057288
4172000,1.0570,0.187474,0.005507,0.000525,0.069783
4173000,1.0570,0.187474,0.005507,0.000525,0.067790
4174000,1.0570,0.187474,0.005507,0.000525,0.056541
4175000,1.0570,0.187474,0.005507,0.000525,0.060582
4176000,1.0570,0.187474,0.005507,0.000525,0.063403
