Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,0.2191,0.065854,0.000377,0.000034,0.203478
5001000,0.2191,0.065854,0.000377,0.000034,0.198153
5002000,0.2191,0.065854,0.000377,0.000034,0.196401
5003000,0.2191,0.065854,0.000377,0.000034,0.196631
5004000,0.2191,0.065854,0.000377,0.000034,0.193370
5005000,0.2191,0.065854,0.000377,0.000034,0.202851
5006000,0.2191,0.065854,0.000377,0.000034,0.201797
5007000,0.2191,0.065854,0.000377,0.000034,0.201177
5008000,0.2191,0.065854,0.000377,0.000034,0.200219
5009000,0.2191,0.065854,0.000377,0.000034,0.203049
5010000,0.2191,0.065854,0.000377,0.000034,0.208398
5011000,0.2191,0.065854,0.000377,0.000034,0.199786
5012000,0.2191,0.065854,0.000377,0.000034,0.196980
5013000,0.2191,0.065854,0.000377,0.000034,0.200619
5014000,0.2191,0.065854,0.000377,0.000034,0.202206
5015000,0.2191,0.065854,0.000377,0.000034,0.203593
5016000,0.2191,0.065854,0.000377,0.000034,0.199675
5017000,0.2191,0.065854,0.000377,0.000034,0.198015
5018000,0.2191,0.065854,0.000377,0.000034,0.189750
5019000,0.2191,0.065854,0.000377,0.000034,0.180997
5020000,0.2191,0.065854,0.000377,0.000034,0.188663
5021000,0.2191,0.065854,0.000377,0.000034,0.200519
5022000,0.2191,0.065854,0.000377,0.000034,0.203858
5023000,0.2191,0.065854,0.000377,0.000034,0.190153
5024000,0.2191,0.065854,0.000377,0.000034,0.195655
5025000,0.2191,0.065854,0.000377,0.000034,0.196597
5026000,0.2191,0.065854,0.000377,0.000034,0.205134
5027000,0.2191,0.065854,0.000377,0.000034,0.195000
5028000,0.2191,0.065854,0.000377,0.000034,0.196513
5029000,0.2191,0.065854,0.000377,0.000034,0.200809
5030000,0.2191,0.065854,0.000377,0.000034,0.201695
5031000,0.2191,0.065854,0.000377,0.000034,0.202596
5032000,0.2191,0.065854,0.000377,0.000034,0.194211
5033000,0.2191,0.065854,0.000377,0.000034,0.201156
5034000,0.2191,0.065854,0.000377,0.000034,0.199661
5035000,0.2191,0.065854,0.000377,0.000034,0.198479
5036000,0.2191,0.065854,0.000377,0.000034,0.199649
5037000,0.2191,0.065854,0.000377,0.000034,0.207738
5038000,0.2191,0.065854,0.000377,0.000034,0.198359
5039000,0.2191,0.065854,0.000377,0.000034,0.199916
5040000,0.2191,0.065854,0.000377,0.000034,0.199659
5041000,0.2191,0.065854,0.000377,0.000034,0.199996
5042000,0.2191,0.065854,0.000377,0.000034,0.190822
5043000,0.2191,0.065854,0.000377,0.000034,0.196459
5044000,0.2191,0.065854,0.000377,0.000034,0.197075
5045000,0.2191,0.065854,0.000377,0.000034,0.196764
5046000,0.2191,0.065854,0.000377,0.000034,0.200399
5047000,0.2191,0.065854,0.000377,0.000034,0.194748
5048000,0.2191,0.065854,0.000377,0.000034,0.203738
5049000,0.2191,0.065854,0.000377,0.000034,0.201383
5050000,0.2191,0.065854,0.000377,0.000034,0.200571
5051000,0.2191,0.065854,0.000377,0.000034,0.198736
5052000,0.2191,0.065854,0.000377,0.000034,0.204023
5053000,0.2191,0.065854,0.000377,0.000034,0.207200
5054000,0.2191,0.065854,0.000377,0.000034,0.197818
5055000,0.2191,0.065854,0.000377,0.000034,0.204605
5056000,0.2191,0.065854,0.000377,0.000034,0.197805
5057000,0.2191,0.065854,0.000377,0.000034,0.197440
5058000,0.2191,0.065854,0.000377,0.000034,0.197131
5059000,0.2191,0.065854,0.000377,0.000034,0.195976
5060000,0.2191,0.065854,0.000377,0.000034,0.187925
5061000,0.2191,0.065854,0.000377,0.000034,0.191202
5062000,0.2191,0.065854,0.000377,0.000034,0.193967
5063000,0.2191,0.065854,0.000377,0.000034,0.193342
5064000,0.2191,0.065854,0.000377,0.000034,0.191696
5065000,0.2191,0.065854,0.000377,0.000034,0.190814
5066000,0.2191,0.065854,0.000377,0.000034,0.193578
5067000,0.2191,0.065854,0.000377,0.000034,0.196610
5068000,0.2191,0.065854,0.000377,0.000034,0.195991
5069000,0.2191,0.065854,0.000377,0.000034,0.197904
5070000,0.2191,0.065854,0.000377,0.000034,0.194253
5071000,0.2191,0.065854,0.000377,0.000034,0.195391
5072000,0.2191,0.065854,0.000377,0.000034,0.195915
5073000,0.2191,0.065854,0.000377,0.000034,0.190920
5074000,0.2191,0.065854,0.000377,0.000034,0.201274
5075000,0.2191,0.065854,0.000377,0.000034,0.197131
5076000,0.2191,0.065854,0.000377,0.000034,0.195883
5077000,0.2191,0.065854,0.000377,0.000034,0.200016
5078000,0.2191,0.065854,0.000377,0.000034,0.200345
5079000,0.2191,0.065854,0.000377,0.000034,0.199044
5080000,0.2191,0.065854,0.000377,0.000034,0.202354
5081000,0.2191,0.065854,0.000377,0.000034,0.198052
5082000,0.2191,0.065854,0.000377,0.000034,0.197447
5083000,0.2191,0.065854,0.000377,0.000034,0.193300
5084000,0.2191,0.065854,0.000377,0.000034,0.205735
5085000,0.2191,0.065854,0.000377,0.000034,0.197415
5086000,0.2191,0.065854,0.000377,0.000034,0.192928
5087000,0.2191,0.065854,0.000377,0.000034,0.194586
5088000,0.2191,0.065854,0.000377,0.000034,0.191094
5089000,0.2191,0.065854,0.000377,0.000034,0.190059
5090000,0.2191,0.065854,0.000377,0.000034,0.186427
5091000,0.2191,0.065854,0.000377,0.000034,0.195001
5092000,0.2191,0.065854,0.000377,0.000034,0.196456
5093000,0.2191,0.065854,0.000377,0.000034,0.197228
5094000,0.2191,0.065854,0.000377,0.000034,0.195803
5095000,0.2191,0.065854,0.000377,0.000034,0.200406
5096000,0.2191,0.065854,0.000377,0.000034,0.193962
5097000,0.2191,0.065854,0.000377,0.000034,0.192688
5098000,0.2191,0.065854,0.000377,0.000034,0.193024
5099000,0.2191,0.065854,0.000377,0.000034,0.191725
5100000,0.2191,0.065854,0.000377,0.000034,0.188724
5101000,0.2191,0.065854,0.000377,0.000034,0.201550
5102000,0.2191,0.065854,0.000377,0.000034,0.201282
5103000,0.2191,0.065854,0.000377,0.000034,0.200570
5104000,0.2191,0.065854,0.000377,0.000034,0.198063
5105000,0.2191,0.065854,0.000377,0.000034,0.199573
5106000,0.2191,0.065854,0.000377,0.000034,0.192554
5107000,0.2191,0.065854,0.000377,0.000034,0.202419
5108000,0.2191,0.065854,0.000377,0.000034,0.192829
5109000,0.2191,0.065854,0.000377,0.000034,0.192197
5110000,0.2191,0.065854,0.000377,0.000034,0.197284
5111000,0.2191,0.065854,0.000377,0.000034,0.202507
5112000,0.2191,0.065854,0.000377,0.000034,0.203434
5113000,0.2191,0.065854,0.000377,0.000034,0.202339
5114000,0.2191,0.065854,0.000377,0.000034,0.196716
5115000,0.2191,0.065854,0.000377,0.000034,0.194729
5116000,0.2191,0.065854,0.000377,0.000034,0.193221
5117000,0.2191,0.065854,0.000377,0.000034,0.192849
5118000,0.2191,0.065854,0.000377,0.000034,0.197138
5119000,0.2191,0.065854,0.000377,0.000034,0.193864
5120000,0.2191,0.065854,0.000377,0.000034,0.194979
5121000,0.2191,0.065854,0.000377,0.000034,0.197967
5122000,0.2191,0.065854,0.000377,0.000034,0.197905
5123000,0.2191,0.065854,0.000377,0.000034,0.191425
5124000,0.2191,0.065854,0.000377,0.000034,0.194658
5125000,0.2191,0.065854,0.000377,0.000034,0.195486
5126000,0.2191,0.065854,0.000377,0.000034,0.189813
5127000,0.2191,0.065854,0.000377,0.000034,0.191793
5128000,0.2191,0.065854,0.000377,0.000034,0.192888
5129000,0.2191,0.065854,0.000377,0.000034,0.195192
5130000,0.2191,0.065854,0.000377,0.000034,0.204857
5131000,0.2191,0.065854,0.000377,0.000034,0.206818
5132000,0.2191,0.065854,0.000377,0.000034,0.203471
5133000,0.2191,0.065854,0.000377,0.000034,0.192532
5134000,0.2191,0.065854,0.000377,0.000034,0.202549
5135000,0.2191,0.065854,0.000377,0.000034,0.199017
5136000,0.2191,0.065854,0.000377,0.000034,0.201855
5137000,0.2191,0.065854,0.000377,0.000034,0.209401
5138000,0.2191,0.065854,0.000377,0.000034,0.200185
5139000,0.2191,0.065854,0.000377,0.000034,0.198596
5140000,0.2191,0.065854,0.000377,0.000034,0.203200
5141000,0.2191,0.065854,0.000377,0.000034,0.196695
5142000,0.2191,0.065854,0.000377,0.000034,0.192411
5143000,0.2191,0.065854,0.000377,0.000034,0.198238
5144000,0.2191,0.065854,0.000377,0.000034,0.190542
5145000,0.2191,0.065854,0.000377,0.000034,0.195871
5146000,0.2191,0.065854,0.000377,0.000034,0.199943
5147000,0.2191,0.065854,0.000377,0.000034,0.200974
5148000,0.2191,0.065854,0.000377,0.000034,0.195802
5149000,0.2191,0.065854,0.000377,0.000034,0.204255
5150000,0.2191,0.065854,0.000377,0.000034,0.195311
5151000,0.2191,0.065854,0.000377,0.000034,0.198291
5152000,0.2191,0.065854,0.000377,0.000034,0.201381
5153000,0.2191,0.065854,0.000377,0.000034,0.193047
5154000,0.2191,0.065854,0.000377,0.000034,0.211553
5155000,0.2191,0.065854,0.000377,0.000034,0.206461
5156000,0.2191,0.065854,0.000377,0.000034,0.196811
5157000,0.2191,0.065854,0.000377,0.000034,0.191285
5158000,0.2191,0.065854,0.000377,0.000034,0.191814
5159000,0.2191,0.065854,0.000377,0.000034,0.188033
5160000,0.2191,0.065854,0.000377,0.000034,0.191421
5161000,0.2191,0.065854,0.000377,0.000034,0.188921
5162000,0.2191,0.065854,0.000377,0.000034,0.194158
5163000,0.2191,0.065854,0.000377,0.000034,0.199673
5164000,0.2191,0.065854,0.000377,0.000034,0.190983
5165000,0.2191,0.065854,0.000377,0.000034,0.190466
5166000,0.2191,0.065854,0.000377,0.000034,0.193184
5167000,0.2191,0.065854,0.000377,0.000034,0.198073
5168000,0.2191,0.065854,0.000377,0.000034,0.208975
5169000,0.2191,0.065854,0.000377,0.000034,0.205689
5170000,0.2191,0.065854,0.000377,0.000034,0.192560
5171000,0.2191,0.065854,0.000377,0.000034,0.195307
5172000,0.2191,0.065854,0.000377,0.000034,0.197684
5173000,0.2191,0.065854,0.000377,0.000034,0.204481
5174000,0.2191,0.065854,0.000377,0.000034,0.190173
5175000,0.2191,0.065854,0.000377,0.000034,0.193357
5176000,0.2191,0.065854,0.000377,0.000034,0.202462
5177000,0.2191,0.065854,0.000377,0.000034,0.196029
5178000,0.2191,0.065854,0.000377,0.000034,0.190464
5179000,0.2191,0.065854,0.000377,0.000034,0.202346
5180000,0.2191,0.065854,0.000377,0.000034,0.189315
5181000,0.2191,0.065854,0.000377,0.000034,0.192318
5182000,0.2191,0.065854,0.000377,0.000034,0.190530
5183000,0.2191,0.065854,0.000377,0.000034,0.191040
5184000,0.2191,0.065854,0.000377,0.000034,0.196122
5185000,0.2191,0.065854,0.000377,0.000034,0.200695
5186000,0.2191,0.065854,0.000377,0.000034,0.200506
5187000,0.2191,0.065854,0.000377,0.000034,0.202746
5188000,0.2191,0.065854,0.000377,0.000034,0.188919
5189000,0.2191,0.065854,0.000377,0.000034,0.197649
5190000,0.2191,0.065854,0.000377,0.000034,0.200235
5191000,0.2191,0.065854,0.000377,0.000034,0.194300
5192000,0.2191,0.065854,0.000377,0.000034,0.190753
5193000,0.2191,0.065854,0.000377,0.000034,0.197137
5194000,0.2191,0.065854,0.000377,0.000034,0.194573
5195000,0.2191,0.065854,0.000377,0.000034,0.200250
5196000,0.2191,0.065854,0.000377,0.000034,0.196786
5197000,0.2191,0.065854,0.000377,0.000034,0.195266
5198000,0.2191,0.065854,0.000377,0.000034,0.201938
5199000,0.2191,0.065854,0.000377,0.000034,0.195976
