Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.0570,0.187474,0.005507,0.000525,0.288033
2000,1.0570,0.187474,0.005507,0.000525,0.000000
3000,1.0570,0.187474,0.005507,0.000525,0.000000
4000,1.0570,0.187474,0.005507,0.000525,0.000000
5000,1.0570,0.187474,0.005507,0.000525,0.000000
6000,1.0570,0.187474,0.005507,0.000525,0.012648
7000,1.0570,0.187474,0.005507,0.000525,0.438853
8000,1.0570,0.187474,0.005507,0.000525,0.211809
9000,1.0570,0.187474,0.005507,0.000525,0.537043
10000,1.0570,0.187474,0.005507,0.000525,0.405746
11000,1.0570,0.187474,0.005507,0.000525,0.352270
12000,1.0570,0.187474,0.005507,0.000525,0.475830
13000,1.0570,0.187474,0.005507,0.000525,0.352696
14000,1.0570,0.187474,0.005507,0.000525,0.378757
15000,1.0570,0.187474,0.005507,0.000525,0.351337
16000,1.0570,0.187474,0.005507,0.000525,0.390545
17000,1.0570,0.187474,0.005507,0.000525,0.439444
18000,1.0570,0.187474,0.005507,0.000525,0.362605
19000,1.0570,0.187474,0.005507,0.000525,0.382754
20000,1.0570,0.187474,0.005507,0.000525,0.369384
21000,1.0570,0.187474,0.005507,0.000525,0.404396
22000,1.0570,0.187474,0.005507,0.000525,0.403180
23000,1.0570,0.187474,0.005507,0.000525,0.383880
24000,1.0570,0.187474,0.005507,0.000525,0.371544
25000,1.0570,0.187474,0.005507,0.000525,0.422072
26000,1.0570,0.187474,0.005507,0.000525,0.376988
27000,1.0570,0.187474,0.005507,0.000525,0.406536
28000,1.0570,0.187474,0.005507,0.000525,0.367653
29000,1.0570,0.187474,0.005507,0.000525,0.423819
30000,1.0570,0.187474,0.005507,0.000525,0.392592
31000,1.0570,0.187474,0.005507,0.000525,0.391979
32000,1.0570,0.187474,0.005507,0.000525,0.380191
33000,1.0570,0.187474,0.005507,0.000525,0.386610
34000,1.0570,0.187474,0.005507,0.000525,0.387701
35000,1.0570,0.187474,0.005507,0.000525,0.406204
36000,1.0570,0.187474,0.005507,0.000525,0.394206
37000,1.0570,0.187474,0.005507,0.000525,0.381907
38000,1.0570,0.187474,0.005507,0.000525,0.411944
39000,1.0570,0.187474,0.005507,0.000525,0.379965
40000,1.0570,0.187474,0.005507,0.000525,0.389247
41000,1.0570,0.187474,0.005507,0.000525,0.407587
