Cycle,RunTimeDynamic(W)
82000000,4.807458
82001000,4.807458
82002000,4.807458
82003000,4.807458
82004000,4.807458
82005000,4.807458
82006000,4.807458
82007000,4.807458
82008000,4.807458
82009000,4.807458
82010000,4.807458
82011000,4.807458
82012000,4.807458
82013000,4.807458
82014000,4.807458
82015000,4.807458
82016000,4.807458
82017000,4.807458
82018000,4.807458
82019000,4.807458
82020000,4.807458
82021000,4.807458
82022000,4.807458
82023000,4.807458
82024000,4.807458
82025000,4.807458
82026000,4.807458
82027000,4.807458
82028000,4.807458
82029000,4.807458
82030000,4.807458
82031000,4.807458
82032000,4.807458
82033000,4.807458
82034000,4.807458
82035000,4.807458
82036000,4.807458
82037000,4.807458
82038000,4.807458
82039000,4.807458
82040000,4.807458
82041000,4.807458
82042000,4.807458
82043000,4.807458
82044000,4.807458
82045000,4.807458
82046000,4.807458
82047000,4.807458
82048000,4.807458
82049000,4.807458
82050000,4.807458
82051000,4.807458
82052000,4.807458
82053000,4.807458
82054000,4.807458
82055000,4.807458
82056000,4.807458
82057000,4.807458
82058000,4.807458
82059000,4.807458
82060000,4.807458
82061000,4.807458
82062000,4.807458
82063000,4.807458
82064000,4.807458
82065000,4.807458
82066000,4.807458
82067000,4.807458
82068000,4.807458
82069000,4.807458
82070000,4.807458
82071000,4.807458
82072000,4.807458
82073000,4.807458
82074000,4.807458
82075000,4.807458
82076000,4.807458
82077000,4.807458
82078000,4.807458
82079000,4.807458
82080000,4.807458
82081000,4.807458
82082000,4.807458
82083000,4.807458
82084000,4.807458
82085000,4.807458
82086000,4.807458
82087000,4.807458
82088000,4.807458
82089000,4.807458
82090000,4.807458
82091000,4.807458
82092000,4.807458
82093000,4.807458
82094000,4.807458
82095000,4.807458
82096000,4.807458
82097000,4.807458
82098000,4.807458
82099000,4.807458
82100000,4.807458
82101000,4.807458
82102000,4.807458
82103000,4.807458
82104000,4.807458
82105000,4.807458
82106000,4.807458
82107000,4.807458
82108000,4.807458
82109000,4.807458
82110000,4.807458
82111000,4.807458
82112000,4.807458
82113000,4.807458
82114000,4.807458
82115000,4.807458
82116000,4.807458
82117000,4.807458
82118000,4.807458
82119000,4.807458
82120000,4.807458
82121000,4.807458
82122000,4.807458
82123000,4.807458
82124000,4.807458
82125000,4.807458
82126000,4.807458
82127000,4.807458
82128000,4.807458
82129000,4.807458
82130000,4.807458
82131000,4.807458
82132000,4.807458
82133000,4.807458
82134000,4.807458
82135000,4.807458
82136000,4.807458
82137000,4.807458
82138000,4.807458
82139000,4.807458
82140000,4.807458
82141000,4.807458
82142000,4.807458
82143000,4.807458
82144000,4.807458
