Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
82000000,1.3415,0.039994,0.023482,0.002970,0.013913
82001000,1.3415,0.039994,0.023482,0.002970,0.013610
82002000,1.3415,0.039994,0.023482,0.002970,0.013906
82003000,1.3415,0.039994,0.023482,0.002970,0.013754
82004000,1.3415,0.039994,0.023482,0.002970,0.013754
82005000,1.3415,0.039994,0.023482,0.002970,0.013876
82006000,1.3415,0.039994,0.023482,0.002970,0.013615
82007000,1.3415,0.039994,0.023482,0.002970,0.013931
82008000,1.3415,0.039994,0.023482,0.002970,0.013722
82009000,1.3415,0.039994,0.023482,0.002970,0.013731
82010000,1.3415,0.039994,0.023482,0.002970,0.013815
82011000,1.3415,0.039994,0.023482,0.002970,0.013669
82012000,1.3415,0.039994,0.023482,0.002970,0.013884
82013000,1.3415,0.039994,0.023482,0.002970,0.013769
82014000,1.3415,0.039994,0.023482,0.002970,0.013745
82015000,1.3415,0.039994,0.023482,0.002970,0.013745
82016000,1.3415,0.039994,0.023482,0.002970,0.013785
82017000,1.3415,0.039994,0.023482,0.002970,0.013715
82018000,1.3415,0.039994,0.023482,0.002970,0.017099
82019000,1.3415,0.039994,0.023482,0.002970,0.043656
82020000,1.3415,0.039994,0.023482,0.002970,0.004107
82021000,1.3415,0.039994,0.023482,0.002970,0.001991
82022000,1.3415,0.039994,0.023482,0.002970,0.001496
82023000,1.3415,0.039994,0.023482,0.002970,0.002691
82024000,1.3415,0.039994,0.023482,0.002970,0.001808
82025000,1.3415,0.039994,0.023482,0.002970,0.001821
82026000,1.3415,0.039994,0.023482,0.002970,0.004412
82027000,1.3415,0.039994,0.023482,0.002970,0.005932
82028000,1.3415,0.039994,0.023482,0.002970,0.007383
82029000,1.3415,0.039994,0.023482,0.002970,0.022302
82030000,1.3415,0.039994,0.023482,0.002970,0.021026
82031000,1.3415,0.039994,0.023482,0.002970,0.019483
82032000,1.3415,0.039994,0.023482,0.002970,0.015412
82033000,1.3415,0.039994,0.023482,0.002970,0.014981
82034000,1.3415,0.039994,0.023482,0.002970,0.014643
82035000,1.3415,0.039994,0.023482,0.002970,0.013507
82036000,1.3415,0.039994,0.023482,0.002970,0.012978
82037000,1.3415,0.039994,0.023482,0.002970,0.012931
82038000,1.3415,0.039994,0.023482,0.002970,0.011590
82039000,1.3415,0.039994,0.023482,0.002970,0.011252
82040000,1.3415,0.039994,0.023482,0.002970,0.011927
82041000,1.3415,0.039994,0.023482,0.002970,0.011722
82042000,1.3415,0.039994,0.023482,0.002970,0.012217
82043000,1.3415,0.039994,0.023482,0.002970,0.012682
82044000,1.3415,0.039994,0.023482,0.002970,0.010789
82045000,1.3415,0.039994,0.023482,0.002970,0.010663
82046000,1.3415,0.039994,0.023482,0.002970,0.010340
82047000,1.3415,0.039994,0.023482,0.002970,0.010944
82048000,1.3415,0.039994,0.023482,0.002970,0.011279
82049000,1.3415,0.039994,0.023482,0.002970,0.010665
82050000,1.3415,0.039994,0.023482,0.002970,0.010686
82051000,1.3415,0.039994,0.023482,0.002970,0.010187
82052000,1.3415,0.039994,0.023482,0.002970,0.009992
82053000,1.3415,0.039994,0.023482,0.002970,0.009927
82054000,1.3415,0.039994,0.023482,0.002970,0.009552
82055000,1.3415,0.039994,0.023482,0.002970,0.010171
82056000,1.3415,0.039994,0.023482,0.002970,0.009847
82057000,1.3415,0.039994,0.023482,0.002970,0.010075
82058000,1.3415,0.039994,0.023482,0.002970,0.010699
82059000,1.3415,0.039994,0.023482,0.002970,0.010161
82060000,1.3415,0.039994,0.023482,0.002970,0.011141
82061000,1.3415,0.039994,0.023482,0.002970,0.010859
82062000,1.3415,0.039994,0.023482,0.002970,0.011317
82063000,1.3415,0.039994,0.023482,0.002970,0.011406
82064000,1.3415,0.039994,0.023482,0.002970,0.011123
82065000,1.3415,0.039994,0.023482,0.002970,0.011932
82066000,1.3415,0.039994,0.023482,0.002970,0.011508
82067000,1.3415,0.039994,0.023482,0.002970,0.012069
82068000,1.3415,0.039994,0.023482,0.002970,0.011843
82069000,1.3415,0.039994,0.023482,0.002970,0.011729
82070000,1.3415,0.039994,0.023482,0.002970,0.012023
82071000,1.3415,0.039994,0.023482,0.002970,0.011592
82072000,1.3415,0.039994,0.023482,0.002970,0.012071
82073000,1.3415,0.039994,0.023482,0.002970,0.011620
82074000,1.3415,0.039994,0.023482,0.002970,0.011864
82075000,1.3415,0.039994,0.023482,0.002970,0.012108
82076000,1.3415,0.039994,0.023482,0.002970,0.011599
82077000,1.3415,0.039994,0.023482,0.002970,0.011894
82078000,1.3415,0.039994,0.023482,0.002970,0.011773
82079000,1.3415,0.039994,0.023482,0.002970,0.011880
82080000,1.3415,0.039994,0.023482,0.002970,0.012062
82081000,1.3415,0.039994,0.023482,0.002970,0.011554
82082000,1.3415,0.039994,0.023482,0.002970,0.011999
82083000,1.3415,0.039994,0.023482,0.002970,0.011820
82084000,1.3415,0.039994,0.023482,0.002970,0.011789
82085000,1.3415,0.039994,0.023482,0.002970,0.011955
82086000,1.3415,0.039994,0.023482,0.002970,0.011568
82087000,1.3415,0.039994,0.023482,0.002970,0.011803
82088000,1.3415,0.039994,0.023482,0.002970,0.011957
82089000,1.3415,0.039994,0.023482,0.002970,0.011643
82090000,1.3415,0.039994,0.023482,0.002970,0.012017
82091000,1.3415,0.039994,0.023482,0.002970,0.011675
82092000,1.3415,0.039994,0.023482,0.002970,0.012233
82093000,1.3415,0.039994,0.023482,0.002970,0.012422
82094000,1.3415,0.039994,0.023482,0.002970,0.012320
82095000,1.3415,0.039994,0.023482,0.002970,0.012726
82096000,1.3415,0.039994,0.023482,0.002970,0.012292
82097000,1.3415,0.039994,0.023482,0.002970,0.012587
82098000,1.3415,0.039994,0.023482,0.002970,0.012480
82099000,1.3415,0.039994,0.023482,0.002970,0.012498
82100000,1.3415,0.039994,0.023482,0.002970,0.012420
82101000,1.3415,0.039994,0.023482,0.002970,0.012513
82102000,1.3415,0.039994,0.023482,0.002970,0.012534
82103000,1.3415,0.039994,0.023482,0.002970,0.012518
82104000,1.3415,0.039994,0.023482,0.002970,0.012370
82105000,1.3415,0.039994,0.023482,0.002970,0.012464
82106000,1.3415,0.039994,0.023482,0.002970,0.012605
82107000,1.3415,0.039994,0.023482,0.002970,0.012495
82108000,1.3415,0.039994,0.023482,0.002970,0.012513
