Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
115000000,8.6440,0.261844,0.058609,0.079322,0.101827
115001000,8.6440,0.261844,0.058609,0.079322,0.066279
115002000,8.6440,0.261844,0.058609,0.079322,0.067223
115003000,8.6440,0.261844,0.058609,0.079322,0.074841
115004000,8.6440,0.261844,0.058609,0.079322,0.071113
115005000,8.6440,0.261844,0.058609,0.079322,0.082115
115006000,8.6440,0.261844,0.058609,0.079322,0.077689
115007000,8.6440,0.261844,0.058609,0.079322,0.073918
115008000,8.6440,0.261844,0.058609,0.079322,0.077247
115009000,8.6440,0.261844,0.058609,0.079322,0.066354
115010000,8.6440,0.261844,0.058609,0.079322,0.074132
115011000,8.6440,0.261844,0.058609,0.079322,0.064744
115012000,8.6440,0.261844,0.058609,0.079322,0.066865
115013000,8.6440,0.261844,0.058609,0.079322,0.078839
115014000,8.6440,0.261844,0.058609,0.079322,0.074704
115015000,8.6440,0.261844,0.058609,0.079322,0.070174
115016000,8.6440,0.261844,0.058609,0.079322,0.070368
115017000,8.6440,0.261844,0.058609,0.079322,0.074639
115018000,8.6440,0.261844,0.058609,0.079322,0.077765
115019000,8.6440,0.261844,0.058609,0.079322,0.073041
115020000,8.6440,0.261844,0.058609,0.079322,0.071790
115021000,8.6440,0.261844,0.058609,0.079322,0.072536
115022000,8.6440,0.261844,0.058609,0.079322,0.075548
115023000,8.6440,0.261844,0.058609,0.079322,0.079326
115024000,8.6440,0.261844,0.058609,0.079322,0.078081
115025000,8.6440,0.261844,0.058609,0.079322,0.080197
115026000,8.6440,0.261844,0.058609,0.079322,0.079779
115027000,8.6440,0.261844,0.058609,0.079322,0.081522
115028000,8.6440,0.261844,0.058609,0.079322,0.087619
115029000,8.6440,0.261844,0.058609,0.079322,0.086331
115030000,8.6440,0.261844,0.058609,0.079322,0.084661
115031000,8.6440,0.261844,0.058609,0.079322,0.089880
115032000,8.6440,0.261844,0.058609,0.079322,0.086485
115033000,8.6440,0.261844,0.058609,0.079322,0.094214
115034000,8.6440,0.261844,0.058609,0.079322,0.090751
115035000,8.6440,0.261844,0.058609,0.079322,0.090336
115036000,8.6440,0.261844,0.058609,0.079322,0.094260
115037000,8.6440,0.261844,0.058609,0.079322,0.089228
115038000,8.6440,0.261844,0.058609,0.079322,0.090486
115039000,8.6440,0.261844,0.058609,0.079322,0.089516
115040000,8.6440,0.261844,0.058609,0.079322,0.089005
115041000,8.6440,0.261844,0.058609,0.079322,0.093996
115042000,8.6440,0.261844,0.058609,0.079322,0.092489
115043000,8.6440,0.261844,0.058609,0.079322,0.095569
115044000,8.6440,0.261844,0.058609,0.079322,0.099415
115045000,8.6440,0.261844,0.058609,0.079322,0.100148
115046000,8.6440,0.261844,0.058609,0.079322,0.101940
115047000,8.6440,0.261844,0.058609,0.079322,0.102927
115048000,8.6440,0.261844,0.058609,0.079322,0.102977
115049000,8.6440,0.261844,0.058609,0.079322,0.102896
115050000,8.6440,0.261844,0.058609,0.079322,0.100710
115051000,8.6440,0.261844,0.058609,0.079322,0.103242
115052000,8.6440,0.261844,0.058609,0.079322,0.102984
115053000,8.6440,0.261844,0.058609,0.079322,0.101047
115054000,8.6440,0.261844,0.058609,0.079322,0.103862
115055000,8.6440,0.261844,0.058609,0.079322,0.101653
115056000,8.6440,0.261844,0.058609,0.079322,0.105693
115057000,8.6440,0.261844,0.058609,0.079322,0.099508
115058000,8.6440,0.261844,0.058609,0.079322,0.099280
115059000,8.6440,0.261844,0.058609,0.079322,0.101494
115060000,8.6440,0.261844,0.058609,0.079322,0.099935
115061000,8.6440,0.261844,0.058609,0.079322,0.099544
115062000,8.6440,0.261844,0.058609,0.079322,0.101992
115063000,8.6440,0.261844,0.058609,0.079322,0.098098
115064000,8.6440,0.261844,0.058609,0.079322,0.101473
