Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
25000000,0.2191,0.065854,0.000377,0.000034,0.039598
25001000,0.2191,0.065854,0.000377,0.000034,0.048963
25002000,0.2191,0.065854,0.000377,0.000034,0.056306
25003000,0.2191,0.065854,0.000377,0.000034,0.072349
25004000,0.2191,0.065854,0.000377,0.000034,0.070786
25005000,0.2191,0.065854,0.000377,0.000034,0.065005
25006000,0.2191,0.065854,0.000377,0.000034,0.149397
25007000,0.2191,0.065854,0.000377,0.000034,0.109587
25008000,0.2191,0.065854,0.000377,0.000034,0.052794
25009000,0.2191,0.065854,0.000377,0.000034,0.050057
25010000,0.2191,0.065854,0.000377,0.000034,0.052237
25011000,0.2191,0.065854,0.000377,0.000034,0.050906
25012000,0.2191,0.065854,0.000377,0.000034,0.053262
25013000,0.2191,0.065854,0.000377,0.000034,0.049954
25014000,0.2191,0.065854,0.000377,0.000034,0.048578
25015000,0.2191,0.065854,0.000377,0.000034,0.048352
25016000,0.2191,0.065854,0.000377,0.000034,0.046614
25017000,0.2191,0.065854,0.000377,0.000034,0.046448
25018000,0.2191,0.065854,0.000377,0.000034,0.049372
25019000,0.2191,0.065854,0.000377,0.000034,0.050097
25020000,0.2191,0.065854,0.000377,0.000034,0.049342
25021000,0.2191,0.065854,0.000377,0.000034,0.049834
25022000,0.2191,0.065854,0.000377,0.000034,0.049155
25023000,0.2191,0.065854,0.000377,0.000034,0.048911
25024000,0.2191,0.065854,0.000377,0.000034,0.052175
25025000,0.2191,0.065854,0.000377,0.000034,0.050269
25026000,0.2191,0.065854,0.000377,0.000034,0.050667
25027000,0.2191,0.065854,0.000377,0.000034,0.052143
25028000,0.2191,0.065854,0.000377,0.000034,0.051260
25029000,0.2191,0.065854,0.000377,0.000034,0.051602
25030000,0.2191,0.065854,0.000377,0.000034,0.051260
25031000,0.2191,0.065854,0.000377,0.000034,0.051746
25032000,0.2191,0.065854,0.000377,0.000034,0.051242
25033000,0.2191,0.065854,0.000377,0.000034,0.051548
25034000,0.2191,0.065854,0.000377,0.000034,0.051242
25035000,0.2191,0.065854,0.000377,0.000034,0.051620
25036000,0.2191,0.065854,0.000377,0.000034,0.051170
25037000,0.2191,0.065854,0.000377,0.000034,0.051818
25038000,0.2191,0.065854,0.000377,0.000034,0.051044
25039000,0.2191,0.065854,0.000377,0.000034,0.051818
25040000,0.2191,0.065854,0.000377,0.000034,0.051188
25041000,0.2191,0.065854,0.000377,0.000034,0.051674
25042000,0.2191,0.065854,0.000377,0.000034,0.051314
25043000,0.2191,0.065854,0.000377,0.000034,0.051554
25044000,0.2191,0.065854,0.000377,0.000034,0.051314
25045000,0.2191,0.065854,0.000377,0.000034,0.051692
25046000,0.2191,0.065854,0.000377,0.000034,0.051170
25047000,0.2191,0.065854,0.000377,0.000034,0.051818
25048000,0.2191,0.065854,0.000377,0.000034,0.051044
25049000,0.2191,0.065854,0.000377,0.000034,0.051818
25050000,0.2191,0.065854,0.000377,0.000034,0.051188
25051000,0.2191,0.065854,0.000377,0.000034,0.051674
25052000,0.2191,0.065854,0.000377,0.000034,0.051170
25053000,0.2191,0.065854,0.000377,0.000034,0.051698
25054000,0.2191,0.065854,0.000377,0.000034,0.051314
25055000,0.2191,0.065854,0.000377,0.000034,0.051692
25056000,0.2191,0.065854,0.000377,0.000034,0.051098
25057000,0.2191,0.065854,0.000377,0.000034,0.051746
25058000,0.2191,0.065854,0.000377,0.000034,0.051116
25059000,0.2191,0.065854,0.000377,0.000034,0.051746
25060000,0.2191,0.065854,0.000377,0.000034,0.051260
25061000,0.2191,0.065854,0.000377,0.000034,0.051746
25062000,0.2191,0.065854,0.000377,0.000034,0.051098
25063000,0.2191,0.065854,0.000377,0.000034,0.051764
25064000,0.2191,0.065854,0.000377,0.000034,0.051098
25065000,0.2191,0.065854,0.000377,0.000034,0.051675
25066000,0.2191,0.065854,0.000377,0.000034,0.051187
25067000,0.2191,0.065854,0.000377,0.000034,0.051818
25068000,0.2191,0.065854,0.000377,0.000034,0.051044
25069000,0.2191,0.065854,0.000377,0.000034,0.051818
25070000,0.2191,0.065854,0.000377,0.000034,0.051172
25071000,0.2191,0.065854,0.000377,0.000034,0.051691
25072000,0.2191,0.065854,0.000377,0.000034,0.051314
25073000,0.2191,0.065854,0.000377,0.000034,0.051554
25074000,0.2191,0.065854,0.000377,0.000034,0.051314
25075000,0.2191,0.065854,0.000377,0.000034,0.051602
25076000,0.2191,0.065854,0.000377,0.000034,0.051260
25077000,0.2191,0.065854,0.000377,0.000034,0.051746
25078000,0.2191,0.065854,0.000377,0.000034,0.051116
25079000,0.2191,0.065854,0.000377,0.000034,0.051746
25080000,0.2191,0.065854,0.000377,0.000034,0.051242
25081000,0.2191,0.065854,0.000377,0.000034,0.051620
25082000,0.2191,0.065854,0.000377,0.000034,0.051242
25083000,0.2191,0.065854,0.000377,0.000034,0.051626
25084000,0.2191,0.065854,0.000377,0.000034,0.051242
25085000,0.2191,0.065854,0.000377,0.000034,0.051674
25086000,0.2191,0.065854,0.000377,0.000034,0.051332
25087000,0.2191,0.065854,0.000377,0.000034,0.051530
25088000,0.2191,0.065854,0.000377,0.000034,0.051332
25089000,0.2191,0.065854,0.000377,0.000034,0.051530
25090000,0.2191,0.065854,0.000377,0.000034,0.051458
25091000,0.2191,0.065854,0.000377,0.000034,0.051260
25092000,0.2191,0.065854,0.000377,0.000034,0.051602
25093000,0.2191,0.065854,0.000377,0.000034,0.051338
25094000,0.2191,0.065854,0.000377,0.000034,0.051530
25095000,0.2191,0.065854,0.000377,0.000034,0.051458
25096000,0.2191,0.065854,0.000377,0.000034,0.051404
25097000,0.2191,0.065854,0.000377,0.000034,0.051386
25098000,0.2191,0.065854,0.000377,0.000034,0.051620
25099000,0.2191,0.065854,0.000377,0.000034,0.051242
25100000,0.2191,0.065854,0.000377,0.000034,0.051746
25101000,0.2191,0.065854,0.000377,0.000034,0.051116
25102000,0.2191,0.065854,0.000377,0.000034,0.051674
