Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
130000000,1.6202,0.544831,0.005673,0.000697,0.326899
130001000,1.6202,0.544831,0.005673,0.000697,0.326899
130002000,1.6202,0.544831,0.005673,0.000697,0.326899
130003000,1.6202,0.544831,0.005673,0.000697,0.326899
130004000,1.6202,0.544831,0.005673,0.000697,0.326899
130005000,1.6202,0.544831,0.005673,0.000697,0.326899
130006000,1.6202,0.544831,0.005673,0.000697,0.326899
130007000,1.6202,0.544831,0.005673,0.000697,0.326899
130008000,1.6202,0.544831,0.005673,0.000697,0.326899
130009000,1.6202,0.544831,0.005673,0.000697,0.326899
130010000,1.6202,0.544831,0.005673,0.000697,0.326899
130011000,1.6202,0.544831,0.005673,0.000697,0.326899
130012000,1.6202,0.544831,0.005673,0.000697,0.326899
130013000,1.6202,0.544831,0.005673,0.000697,0.326899
130014000,1.6202,0.544831,0.005673,0.000697,0.326899
130015000,1.6202,0.544831,0.005673,0.000697,0.326899
130016000,1.6202,0.544831,0.005673,0.000697,0.326899
130017000,1.6202,0.544831,0.005673,0.000697,0.326899
130018000,1.6202,0.544831,0.005673,0.000697,0.326899
130019000,1.6202,0.544831,0.005673,0.000697,0.326899
130020000,1.6202,0.544831,0.005673,0.000697,0.361228
130021000,1.6202,0.544831,0.005673,0.000697,0.337040
130022000,1.6202,0.544831,0.005673,0.000697,0.326899
130023000,1.6202,0.544831,0.005673,0.000697,0.326899
130024000,1.6202,0.544831,0.005673,0.000697,0.361645
130025000,1.6202,0.544831,0.005673,0.000697,0.326899
130026000,1.6202,0.544831,0.005673,0.000697,0.326899
130027000,1.6202,0.544831,0.005673,0.000697,0.326899
130028000,1.6202,0.544831,0.005673,0.000697,0.326899
130029000,1.6202,0.544831,0.005673,0.000697,0.326899
130030000,1.6202,0.544831,0.005673,0.000697,0.326899
130031000,1.6202,0.544831,0.005673,0.000697,0.386655
130032000,1.6202,0.544831,0.005673,0.000697,0.356835
130033000,1.6202,0.544831,0.005673,0.000697,0.330945
130034000,1.6202,0.544831,0.005673,0.000697,0.330230
130035000,1.6202,0.544831,0.005673,0.000697,0.328809
130036000,1.6202,0.544831,0.005673,0.000697,0.328119
130037000,1.6202,0.544831,0.005673,0.000697,0.327502
130038000,1.6202,0.544831,0.005673,0.000697,0.327418
130039000,1.6202,0.544831,0.005673,0.000697,0.327777
130040000,1.6202,0.544831,0.005673,0.000697,0.327532
130041000,1.6202,0.544831,0.005673,0.000697,0.328233
130042000,1.6202,0.544831,0.005673,0.000697,0.327315
130043000,1.6202,0.544831,0.005673,0.000697,0.327040
130044000,1.6202,0.544831,0.005673,0.000697,0.327495
130045000,1.6202,0.544831,0.005673,0.000697,0.327268
130046000,1.6202,0.544831,0.005673,0.000697,0.327268
130047000,1.6202,0.544831,0.005673,0.000697,0.327040
130048000,1.6202,0.544831,0.005673,0.000697,0.326946
130049000,1.6202,0.544831,0.005673,0.000697,0.326993
130050000,1.6202,0.544831,0.005673,0.000697,0.327087
130051000,1.6202,0.544831,0.005673,0.000697,0.327040
130052000,1.6202,0.544831,0.005673,0.000697,0.326946
130053000,1.6202,0.544831,0.005673,0.000697,0.326946
130054000,1.6202,0.544831,0.005673,0.000697,0.327221
130055000,1.6202,0.544831,0.005673,0.000697,0.326946
130056000,1.6202,0.544831,0.005673,0.000697,0.327495
130057000,1.6202,0.544831,0.005673,0.000697,0.326946
130058000,1.6202,0.544831,0.005673,0.000697,0.326946
130059000,1.6202,0.544831,0.005673,0.000697,0.326993
130060000,1.6202,0.544831,0.005673,0.000697,0.326946
130061000,1.6202,0.544831,0.005673,0.000697,0.326993
130062000,1.6202,0.544831,0.005673,0.000697,0.326993
130063000,1.6202,0.544831,0.005673,0.000697,0.326899
