Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
72000000,0.7779,0.306348,0.002724,0.000334,0.183856
72001000,0.7779,0.306348,0.002724,0.000334,0.183832
72002000,0.7779,0.306348,0.002724,0.000334,0.183970
72003000,0.7779,0.306348,0.002724,0.000334,0.183809
72004000,0.7779,0.306348,0.002724,0.000334,0.183809
72005000,0.7779,0.306348,0.002724,0.000334,0.183856
72006000,0.7779,0.306348,0.002724,0.000334,0.183809
72007000,0.7779,0.306348,0.002724,0.000334,0.183832
72008000,0.7779,0.306348,0.002724,0.000334,0.183809
72009000,0.7779,0.306348,0.002724,0.000334,0.183809
72010000,0.7779,0.306348,0.002724,0.000334,0.183832
72011000,0.7779,0.306348,0.002724,0.000334,0.183809
72012000,0.7779,0.306348,0.002724,0.000334,0.183809
72013000,0.7779,0.306348,0.002724,0.000334,0.183809
72014000,0.7779,0.306348,0.002724,0.000334,0.183809
72015000,0.7779,0.306348,0.002724,0.000334,0.183809
72016000,0.7779,0.306348,0.002724,0.000334,0.183809
72017000,0.7779,0.306348,0.002724,0.000334,0.183809
72018000,0.7779,0.306348,0.002724,0.000334,0.183809
72019000,0.7779,0.306348,0.002724,0.000334,0.183809
72020000,0.7779,0.306348,0.002724,0.000334,0.183809
72021000,0.7779,0.306348,0.002724,0.000334,0.183809
72022000,0.7779,0.306348,0.002724,0.000334,0.183809
72023000,0.7779,0.306348,0.002724,0.000334,0.183809
72024000,0.7779,0.306348,0.002724,0.000334,0.183809
72025000,0.7779,0.306348,0.002724,0.000334,0.183809
72026000,0.7779,0.306348,0.002724,0.000334,0.183809
72027000,0.7779,0.306348,0.002724,0.000334,0.183809
72028000,0.7779,0.306348,0.002724,0.000334,0.183809
72029000,0.7779,0.306348,0.002724,0.000334,0.183809
72030000,0.7779,0.306348,0.002724,0.000334,0.183809
72031000,0.7779,0.306348,0.002724,0.000334,0.183809
72032000,0.7779,0.306348,0.002724,0.000334,0.183809
72033000,0.7779,0.306348,0.002724,0.000334,0.183809
72034000,0.7779,0.306348,0.002724,0.000334,0.183809
72035000,0.7779,0.306348,0.002724,0.000334,0.183809
72036000,0.7779,0.306348,0.002724,0.000334,0.183809
72037000,0.7779,0.306348,0.002724,0.000334,0.183809
72038000,0.7779,0.306348,0.002724,0.000334,0.183809
72039000,0.7779,0.306348,0.002724,0.000334,0.183809
72040000,0.7779,0.306348,0.002724,0.000334,0.183809
72041000,0.7779,0.306348,0.002724,0.000334,0.183809
72042000,0.7779,0.306348,0.002724,0.000334,0.183809
72043000,0.7779,0.306348,0.002724,0.000334,0.183809
72044000,0.7779,0.306348,0.002724,0.000334,0.183809
72045000,0.7779,0.306348,0.002724,0.000334,0.183809
72046000,0.7779,0.306348,0.002724,0.000334,0.183809
72047000,0.7779,0.306348,0.002724,0.000334,0.183809
72048000,0.7779,0.306348,0.002724,0.000334,0.183809
72049000,0.7779,0.306348,0.002724,0.000334,0.183809
72050000,0.7779,0.306348,0.002724,0.000334,0.183809
72051000,0.7779,0.306348,0.002724,0.000334,0.183809
72052000,0.7779,0.306348,0.002724,0.000334,0.183809
72053000,0.7779,0.306348,0.002724,0.000334,0.183809
72054000,0.7779,0.306348,0.002724,0.000334,0.183809
72055000,0.7779,0.306348,0.002724,0.000334,0.183809
72056000,0.7779,0.306348,0.002724,0.000334,0.183809
72057000,0.7779,0.306348,0.002724,0.000334,0.183809
72058000,0.7779,0.306348,0.002724,0.000334,0.183809
72059000,0.7779,0.306348,0.002724,0.000334,0.183809
72060000,0.7779,0.306348,0.002724,0.000334,0.183809
72061000,0.7779,0.306348,0.002724,0.000334,0.183809
72062000,0.7779,0.306348,0.002724,0.000334,0.183809
72063000,0.7779,0.306348,0.002724,0.000334,0.183809
72064000,0.7779,0.306348,0.002724,0.000334,0.183809
72065000,0.7779,0.306348,0.002724,0.000334,0.183809
72066000,0.7779,0.306348,0.002724,0.000334,0.183809
72067000,0.7779,0.306348,0.002724,0.000334,0.183809
72068000,0.7779,0.306348,0.002724,0.000334,0.183809
72069000,0.7779,0.306348,0.002724,0.000334,0.183809
72070000,0.7779,0.306348,0.002724,0.000334,0.183809
72071000,0.7779,0.306348,0.002724,0.000334,0.183809
72072000,0.7779,0.306348,0.002724,0.000334,0.183809
72073000,0.7779,0.306348,0.002724,0.000334,0.183809
72074000,0.7779,0.306348,0.002724,0.000334,0.183809
72075000,0.7779,0.306348,0.002724,0.000334,0.183809
72076000,0.7779,0.306348,0.002724,0.000334,0.183809
72077000,0.7779,0.306348,0.002724,0.000334,0.208762
72078000,0.7779,0.306348,0.002724,0.000334,0.183809
72079000,0.7779,0.306348,0.002724,0.000334,0.183809
72080000,0.7779,0.306348,0.002724,0.000334,0.200447
72081000,0.7779,0.306348,0.002724,0.000334,0.185960
72082000,0.7779,0.306348,0.002724,0.000334,0.183809
72083000,0.7779,0.306348,0.002724,0.000334,0.183809
72084000,0.7779,0.306348,0.002724,0.000334,0.183809
72085000,0.7779,0.306348,0.002724,0.000334,0.183809
72086000,0.7779,0.306348,0.002724,0.000334,0.183809
72087000,0.7779,0.306348,0.002724,0.000334,0.188755
72088000,0.7779,0.306348,0.002724,0.000334,0.226084
72089000,0.7779,0.306348,0.002724,0.000334,0.189388
72090000,0.7779,0.306348,0.002724,0.000334,0.185464
72091000,0.7779,0.306348,0.002724,0.000334,0.184389
72092000,0.7779,0.306348,0.002724,0.000334,0.184134
72093000,0.7779,0.306348,0.002724,0.000334,0.184087
72094000,0.7779,0.306348,0.002724,0.000334,0.183926
72095000,0.7779,0.306348,0.002724,0.000334,0.184063
72096000,0.7779,0.306348,0.002724,0.000334,0.184177
72097000,0.7779,0.306348,0.002724,0.000334,0.183946
72098000,0.7779,0.306348,0.002724,0.000334,0.184187
72099000,0.7779,0.306348,0.002724,0.000334,0.184087
72100000,0.7779,0.306348,0.002724,0.000334,0.183970
72101000,0.7779,0.306348,0.002724,0.000334,0.184016
72102000,0.7779,0.306348,0.002724,0.000334,0.183856
72103000,0.7779,0.306348,0.002724,0.000334,0.183832
72104000,0.7779,0.306348,0.002724,0.000334,0.183926
72105000,0.7779,0.306348,0.002724,0.000334,0.183832
72106000,0.7779,0.306348,0.002724,0.000334,0.183856
72107000,0.7779,0.306348,0.002724,0.000334,0.183993
72108000,0.7779,0.306348,0.002724,0.000334,0.183832
72109000,0.7779,0.306348,0.002724,0.000334,0.184016
72110000,0.7779,0.306348,0.002724,0.000334,0.183832
72111000,0.7779,0.306348,0.002724,0.000334,0.183809
72112000,0.7779,0.306348,0.002724,0.000334,0.183879
72113000,0.7779,0.306348,0.002724,0.000334,0.183832
72114000,0.7779,0.306348,0.002724,0.000334,0.183832
72115000,0.7779,0.306348,0.002724,0.000334,0.183879
72116000,0.7779,0.306348,0.002724,0.000334,0.183809
72117000,0.7779,0.306348,0.002724,0.000334,0.183970
72118000,0.7779,0.306348,0.002724,0.000334,0.183970
72119000,0.7779,0.306348,0.002724,0.000334,0.183861
72120000,0.7779,0.306348,0.002724,0.000334,0.183856
72121000,0.7779,0.306348,0.002724,0.000334,0.183809
72122000,0.7779,0.306348,0.002724,0.000334,0.183832
72123000,0.7779,0.306348,0.002724,0.000334,0.183832
72124000,0.7779,0.306348,0.002724,0.000334,0.183809
72125000,0.7779,0.306348,0.002724,0.000334,0.183856
72126000,0.7779,0.306348,0.002724,0.000334,0.183809
72127000,0.7779,0.306348,0.002724,0.000334,0.183946
72128000,0.7779,0.306348,0.002724,0.000334,0.183861
72129000,0.7779,0.306348,0.002724,0.000334,0.183809
72130000,0.7779,0.306348,0.002724,0.000334,0.183832
72131000,0.7779,0.306348,0.002724,0.000334,0.183832
72132000,0.7779,0.306348,0.002724,0.000334,0.183832
72133000,0.7779,0.306348,0.002724,0.000334,0.183832
72134000,0.7779,0.306348,0.002724,0.000334,0.183809
72135000,0.7779,0.306348,0.002724,0.000334,0.183832
72136000,0.7779,0.306348,0.002724,0.000334,0.183832
