Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
78000000,23.8212,1.028147,0.538949,0.086720,5.420293
78001000,23.8212,1.028147,0.538949,0.086720,5.446282
78002000,23.8212,1.028147,0.538949,0.086720,5.430701
78003000,23.8212,1.028147,0.538949,0.086720,5.399551
78004000,23.8212,1.028147,0.538949,0.086720,5.412865
78005000,23.8212,1.028147,0.538949,0.086720,5.393996
78006000,23.8212,1.028147,0.538949,0.086720,5.379352
78007000,23.8212,1.028147,0.538949,0.086720,5.386099
78008000,23.8212,1.028147,0.538949,0.086720,5.379698
78009000,23.8212,1.028147,0.538949,0.086720,5.376700
78010000,23.8212,1.028147,0.538949,0.086720,5.350949
78011000,23.8212,1.028147,0.538949,0.086720,5.348625
78012000,23.8212,1.028147,0.538949,0.086720,5.338006
78013000,23.8212,1.028147,0.538949,0.086720,5.352224
78014000,23.8212,1.028147,0.538949,0.086720,5.410763
78015000,23.8212,1.028147,0.538949,0.086720,5.408798
78016000,23.8212,1.028147,0.538949,0.086720,5.415471
78017000,23.8212,1.028147,0.538949,0.086720,5.389581
78018000,23.8212,1.028147,0.538949,0.086720,5.383154
78019000,23.8212,1.028147,0.538949,0.086720,5.393324
78020000,23.8212,1.028147,0.538949,0.086720,5.392029
78021000,23.8212,1.028147,0.538949,0.086720,5.384943
78022000,23.8212,1.028147,0.538949,0.086720,5.390038
78023000,23.8212,1.028147,0.538949,0.086720,5.402454
78024000,23.8212,1.028147,0.538949,0.086720,5.415615
78025000,23.8212,1.028147,0.538949,0.086720,5.417122
78026000,23.8212,1.028147,0.538949,0.086720,5.431681
78027000,23.8212,1.028147,0.538949,0.086720,5.408409
78028000,23.8212,1.028147,0.538949,0.086720,5.427820
78029000,23.8212,1.028147,0.538949,0.086720,5.415347
78030000,23.8212,1.028147,0.538949,0.086720,5.418779
78031000,23.8212,1.028147,0.538949,0.086720,5.426392
78032000,23.8212,1.028147,0.538949,0.086720,5.409980
78033000,23.8212,1.028147,0.538949,0.086720,5.429322
78034000,23.8212,1.028147,0.538949,0.086720,5.414602
78035000,23.8212,1.028147,0.538949,0.086720,5.424303
78036000,23.8212,1.028147,0.538949,0.086720,5.414899
78037000,23.8212,1.028147,0.538949,0.086720,5.419949
78038000,23.8212,1.028147,0.538949,0.086720,5.414302
78039000,23.8212,1.028147,0.538949,0.086720,5.425649
78040000,23.8212,1.028147,0.538949,0.086720,5.412359
78041000,23.8212,1.028147,0.538949,0.086720,5.441991
78042000,23.8212,1.028147,0.538949,0.086720,5.441646
78043000,23.8212,1.028147,0.538949,0.086720,5.453149
78044000,23.8212,1.028147,0.538949,0.086720,5.448740
78045000,23.8212,1.028147,0.538949,0.086720,5.448051
78046000,23.8212,1.028147,0.538949,0.086720,5.456796
78047000,23.8212,1.028147,0.538949,0.086720,5.440531
78048000,23.8212,1.028147,0.538949,0.086720,5.456380
78049000,23.8212,1.028147,0.538949,0.086720,5.445381
78050000,23.8212,1.028147,0.538949,0.086720,5.452473
78051000,23.8212,1.028147,0.538949,0.086720,5.450202
78052000,23.8212,1.028147,0.538949,0.086720,5.447823
78053000,23.8212,1.028147,0.538949,0.086720,5.451496
78054000,23.8212,1.028147,0.538949,0.086720,5.453163
78055000,23.8212,1.028147,0.538949,0.086720,5.445116
78056000,23.8212,1.028147,0.538949,0.086720,5.453007
78057000,23.8212,1.028147,0.538949,0.086720,5.445272
78058000,23.8212,1.028147,0.538949,0.086720,5.454947
78059000,23.8212,1.028147,0.538949,0.086720,5.450268
78060000,23.8212,1.028147,0.538949,0.086720,5.448369
78061000,23.8212,1.028147,0.538949,0.086720,5.449911
78062000,23.8212,1.028147,0.538949,0.086720,5.449779
78063000,23.8212,1.028147,0.538949,0.086720,5.448500
78064000,23.8212,1.028147,0.538949,0.086720,5.457082
78065000,23.8212,1.028147,0.538949,0.086720,5.440036
78066000,23.8212,1.028147,0.538949,0.086720,5.457832
78067000,23.8212,1.028147,0.538949,0.086720,5.443613
78068000,23.8212,1.028147,0.538949,0.086720,5.454573
78069000,23.8212,1.028147,0.538949,0.086720,5.449985
78070000,23.8212,1.028147,0.538949,0.086720,5.449970
78071000,23.8212,1.028147,0.538949,0.086720,6.002223
78072000,23.8212,1.028147,0.538949,0.086720,7.083100
78073000,23.8212,1.028147,0.538949,0.086720,5.129460
78074000,23.8212,1.028147,0.538949,0.086720,5.034420
78075000,23.8212,1.028147,0.538949,0.086720,5.025280
78076000,23.8212,1.028147,0.538949,0.086720,5.086631
78077000,23.8212,1.028147,0.538949,0.086720,4.969306
78078000,23.8212,1.028147,0.538949,0.086720,4.972735
78079000,23.8212,1.028147,0.538949,0.086720,5.152246
78080000,23.8212,1.028147,0.538949,0.086720,5.141973
78081000,23.8212,1.028147,0.538949,0.086720,5.254257
78082000,23.8212,1.028147,0.538949,0.086720,5.736054
78083000,23.8212,1.028147,0.538949,0.086720,6.290063
78084000,23.8212,1.028147,0.538949,0.086720,6.038514
78085000,23.8212,1.028147,0.538949,0.086720,6.093712
78086000,23.8212,1.028147,0.538949,0.086720,6.047954
78087000,23.8212,1.028147,0.538949,0.086720,6.047165
78088000,23.8212,1.028147,0.538949,0.086720,5.821005
78089000,23.8212,1.028147,0.538949,0.086720,5.883664
78090000,23.8212,1.028147,0.538949,0.086720,5.770346
78091000,23.8212,1.028147,0.538949,0.086720,5.619201
78092000,23.8212,1.028147,0.538949,0.086720,5.568973
78093000,23.8212,1.028147,0.538949,0.086720,5.550284
78094000,23.8212,1.028147,0.538949,0.086720,5.442186
78095000,23.8212,1.028147,0.538949,0.086720,5.463732
78096000,23.8212,1.028147,0.538949,0.086720,5.400149
78097000,23.8212,1.028147,0.538949,0.086720,5.419835
78098000,23.8212,1.028147,0.538949,0.086720,5.393627
78099000,23.8212,1.028147,0.538949,0.086720,5.319133
78100000,23.8212,1.028147,0.538949,0.086720,5.292727
78101000,23.8212,1.028147,0.538949,0.086720,5.345299
78102000,23.8212,1.028147,0.538949,0.086720,5.350102
78103000,23.8212,1.028147,0.538949,0.086720,5.328460
78104000,23.8212,1.028147,0.538949,0.086720,5.317280
78105000,23.8212,1.028147,0.538949,0.086720,5.302011
78106000,23.8212,1.028147,0.538949,0.086720,5.296796
78107000,23.8212,1.028147,0.538949,0.086720,5.346581
78108000,23.8212,1.028147,0.538949,0.086720,5.336671
78109000,23.8212,1.028147,0.538949,0.086720,5.353617
78110000,23.8212,1.028147,0.538949,0.086720,5.364632
78111000,23.8212,1.028147,0.538949,0.086720,5.394435
78112000,23.8212,1.028147,0.538949,0.086720,5.398661
78113000,23.8212,1.028147,0.538949,0.086720,5.401244
78114000,23.8212,1.028147,0.538949,0.086720,5.393769
78115000,23.8212,1.028147,0.538949,0.086720,5.403259
78116000,23.8212,1.028147,0.538949,0.086720,5.416970
78117000,23.8212,1.028147,0.538949,0.086720,5.387825
78118000,23.8212,1.028147,0.538949,0.086720,5.437505
78119000,23.8212,1.028147,0.538949,0.086720,5.403337
78120000,23.8212,1.028147,0.538949,0.086720,5.417415
78121000,23.8212,1.028147,0.538949,0.086720,5.403970
78122000,23.8212,1.028147,0.538949,0.086720,5.407827
78123000,23.8212,1.028147,0.538949,0.086720,5.408317
78124000,23.8212,1.028147,0.538949,0.086720,5.409422
78125000,23.8212,1.028147,0.538949,0.086720,5.410377
78126000,23.8212,1.028147,0.538949,0.086720,5.403925
78127000,23.8212,1.028147,0.538949,0.086720,5.409487
78128000,23.8212,1.028147,0.538949,0.086720,5.402146
78129000,23.8212,1.028147,0.538949,0.086720,5.417678
78130000,23.8212,1.028147,0.538949,0.086720,5.409091
78131000,23.8212,1.028147,0.538949,0.086720,5.405400
78132000,23.8212,1.028147,0.538949,0.086720,5.399754
78133000,23.8212,1.028147,0.538949,0.086720,5.385166
78134000,23.8212,1.028147,0.538949,0.086720,5.396511
78135000,23.8212,1.028147,0.538949,0.086720,5.381122
78136000,23.8212,1.028147,0.538949,0.086720,5.390033
78137000,23.8212,1.028147,0.538949,0.086720,5.385574
78138000,23.8212,1.028147,0.538949,0.086720,5.385925
78139000,23.8212,1.028147,0.538949,0.086720,5.399061
78140000,23.8212,1.028147,0.538949,0.086720,5.376427
78141000,23.8212,1.028147,0.538949,0.086720,5.394003
78142000,23.8212,1.028147,0.538949,0.086720,5.379238
78143000,23.8212,1.028147,0.538949,0.086720,5.390137
78144000,23.8212,1.028147,0.538949,0.086720,5.396045
78145000,23.8212,1.028147,0.538949,0.086720,5.381687
78146000,23.8212,1.028147,0.538949,0.086720,5.391274
78147000,23.8212,1.028147,0.538949,0.086720,5.381239
78148000,23.8212,1.028147,0.538949,0.086720,5.387637
78149000,23.8212,1.028147,0.538949,0.086720,5.393324
78150000,23.8212,1.028147,0.538949,0.086720,5.386191
78151000,23.8212,1.028147,0.538949,0.086720,5.423668
78152000,23.8212,1.028147,0.538949,0.086720,5.411422
78153000,23.8212,1.028147,0.538949,0.086720,5.425395
78154000,23.8212,1.028147,0.538949,0.086720,5.421138
78155000,23.8212,1.028147,0.538949,0.086720,5.411435
78156000,23.8212,1.028147,0.538949,0.086720,5.422577
78157000,23.8212,1.028147,0.538949,0.086720,5.414629
78158000,23.8212,1.028147,0.538949,0.086720,5.418629
78159000,23.8212,1.028147,0.538949,0.086720,5.419044
78160000,23.8212,1.028147,0.538949,0.086720,5.407493
78161000,23.8212,1.028147,0.538949,0.086720,5.421466
78162000,23.8212,1.028147,0.538949,0.086720,5.417069
78163000,23.8212,1.028147,0.538949,0.086720,5.417552
78164000,23.8212,1.028147,0.538949,0.086720,5.420895
78165000,23.8212,1.028147,0.538949,0.086720,5.446868
78166000,23.8212,1.028147,0.538949,0.086720,5.449927
78167000,23.8212,1.028147,0.538949,0.086720,5.449790
78168000,23.8212,1.028147,0.538949,0.086720,5.449053
78169000,23.8212,1.028147,0.538949,0.086720,5.450926
78170000,23.8212,1.028147,0.538949,0.086720,5.443929
78171000,23.8212,1.028147,0.538949,0.086720,5.452394
78172000,23.8212,1.028147,0.538949,0.086720,5.447638
78173000,23.8212,1.028147,0.538949,0.086720,5.450915
78174000,23.8212,1.028147,0.538949,0.086720,5.448744
78175000,23.8212,1.028147,0.538949,0.086720,5.447699
78176000,23.8212,1.028147,0.538949,0.086720,5.448155
78177000,23.8212,1.028147,0.538949,0.086720,5.453719
78178000,23.8212,1.028147,0.538949,0.086720,5.443270
78179000,23.8212,1.028147,0.538949,0.086720,5.459330
78180000,23.8212,1.028147,0.538949,0.086720,5.438421
78181000,23.8212,1.028147,0.538949,0.086720,5.457966
78182000,23.8212,1.028147,0.538949,0.086720,5.445019
78183000,23.8212,1.028147,0.538949,0.086720,5.451544
78184000,23.8212,1.028147,0.538949,0.086720,5.451747
78185000,23.8212,1.028147,0.538949,0.086720,5.444997
78186000,23.8212,1.028147,0.538949,0.086720,5.451991
78187000,23.8212,1.028147,0.538949,0.086720,6.342943
78188000,23.8212,1.028147,0.538949,0.086720,6.749115
78189000,23.8212,1.028147,0.538949,0.086720,5.097979
78190000,23.8212,1.028147,0.538949,0.086720,5.034472
78191000,23.8212,1.028147,0.538949,0.086720,5.023168
78192000,23.8212,1.028147,0.538949,0.086720,5.078166
78193000,23.8212,1.028147,0.538949,0.086720,4.980871
78194000,23.8212,1.028147,0.538949,0.086720,5.025660
78195000,23.8212,1.028147,0.538949,0.086720,5.147515
78196000,23.8212,1.028147,0.538949,0.086720,5.189937
78197000,23.8212,1.028147,0.538949,0.086720,5.254782
78198000,23.8212,1.028147,0.538949,0.086720,6.127695
78199000,23.8212,1.028147,0.538949,0.086720,5.994307
78200000,23.8212,1.028147,0.538949,0.086720,5.652099
78201000,23.8212,1.028147,0.538949,0.086720,5.643339
78202000,23.8212,1.028147,0.538949,0.086720,5.545251
78203000,23.8212,1.028147,0.538949,0.086720,5.566113
78204000,23.8212,1.028147,0.538949,0.086720,5.563562
78205000,23.8212,1.028147,0.538949,0.086720,5.584911
78206000,23.8212,1.028147,0.538949,0.086720,5.524257
78207000,23.8212,1.028147,0.538949,0.086720,5.516176
78208000,23.8212,1.028147,0.538949,0.086720,5.504473
78209000,23.8212,1.028147,0.538949,0.086720,5.417124
78210000,23.8212,1.028147,0.538949,0.086720,5.409544
78211000,23.8212,1.028147,0.538949,0.086720,5.415492
78212000,23.8212,1.028147,0.538949,0.086720,5.384465
78213000,23.8212,1.028147,0.538949,0.086720,5.388362
78214000,23.8212,1.028147,0.538949,0.086720,5.375009
78215000,23.8212,1.028147,0.538949,0.086720,5.323256
78216000,23.8212,1.028147,0.538949,0.086720,5.348414
78217000,23.8212,1.028147,0.538949,0.086720,5.318728
78218000,23.8212,1.028147,0.538949,0.086720,5.301273
78219000,23.8212,1.028147,0.538949,0.086720,5.354447
78220000,23.8212,1.028147,0.538949,0.086720,5.318360
78221000,23.8212,1.028147,0.538949,0.086720,5.348763
78222000,23.8212,1.028147,0.538949,0.086720,5.325706
78223000,23.8212,1.028147,0.538949,0.086720,5.346298
78224000,23.8212,1.028147,0.538949,0.086720,5.352633
78225000,23.8212,1.028147,0.538949,0.086720,5.324822
78226000,23.8212,1.028147,0.538949,0.086720,5.347700
78227000,23.8212,1.028147,0.538949,0.086720,5.329729
78228000,23.8212,1.028147,0.538949,0.086720,5.376726
78229000,23.8212,1.028147,0.538949,0.086720,5.372839
78230000,23.8212,1.028147,0.538949,0.086720,5.372673
78231000,23.8212,1.028147,0.538949,0.086720,5.364052
78232000,23.8212,1.028147,0.538949,0.086720,5.352125
78233000,23.8212,1.028147,0.538949,0.086720,5.355998
78234000,23.8212,1.028147,0.538949,0.086720,5.363760
78235000,23.8212,1.028147,0.538949,0.086720,5.347786
78236000,23.8212,1.028147,0.538949,0.086720,5.361510
78237000,23.8212,1.028147,0.538949,0.086720,5.352886
78238000,23.8212,1.028147,0.538949,0.086720,5.359338
78239000,23.8212,1.028147,0.538949,0.086720,5.367142
78240000,23.8212,1.028147,0.538949,0.086720,5.342661
78241000,23.8212,1.028147,0.538949,0.086720,5.367384
78242000,23.8212,1.028147,0.538949,0.086720,5.348111
78243000,23.8212,1.028147,0.538949,0.086720,5.366006
78244000,23.8212,1.028147,0.538949,0.086720,5.353384
78245000,23.8212,1.028147,0.538949,0.086720,5.357123
