Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
28000000,1.0570,0.187474,0.005507,0.000525,0.008969
28001000,1.0570,0.187474,0.005507,0.000525,0.009232
28002000,1.0570,0.187474,0.005507,0.000525,0.009069
28003000,1.0570,0.187474,0.005507,0.000525,0.012185
28004000,1.0570,0.187474,0.005507,0.000525,0.008969
28005000,1.0570,0.187474,0.005507,0.000525,0.008775
28006000,1.0570,0.187474,0.005507,0.000525,0.012731
28007000,1.0570,0.187474,0.005507,0.000525,0.013468
28008000,1.0570,0.187474,0.005507,0.000525,0.008663
28009000,1.0570,0.187474,0.005507,0.000525,0.008224
28010000,1.0570,0.187474,0.005507,0.000525,0.008118
28011000,1.0570,0.187474,0.005507,0.000525,0.013910
28012000,1.0570,0.187474,0.005507,0.000525,0.007361
28013000,1.0570,0.187474,0.005507,0.000525,0.011038
28014000,1.0570,0.187474,0.005507,0.000525,0.007542
28015000,1.0570,0.187474,0.005507,0.000525,0.007467
28016000,1.0570,0.187474,0.005507,0.000525,0.009462
28017000,1.0570,0.187474,0.005507,0.000525,0.009468
28018000,1.0570,0.187474,0.005507,0.000525,0.009356
28019000,1.0570,0.187474,0.005507,0.000525,0.008617
28020000,1.0570,0.187474,0.005507,0.000525,0.005758
28021000,1.0570,0.187474,0.005507,0.000525,0.008328
28022000,1.0570,0.187474,0.005507,0.000525,0.004919
28023000,1.0570,0.187474,0.005507,0.000525,0.005552
28024000,1.0570,0.187474,0.005507,0.000525,0.005195
28025000,1.0570,0.187474,0.005507,0.000525,0.005295
28026000,1.0570,0.187474,0.005507,0.000525,0.005001
28027000,1.0570,0.187474,0.005507,0.000525,0.004738
28028000,1.0570,0.187474,0.005507,0.000525,0.005646
28029000,1.0570,0.187474,0.005507,0.000525,0.005195
28030000,1.0570,0.187474,0.005507,0.000525,0.005013
28031000,1.0570,0.187474,0.005507,0.000525,0.005276
28032000,1.0570,0.187474,0.005507,0.000525,0.004474
28033000,1.0570,0.187474,0.005507,0.000525,0.005470
28034000,1.0570,0.187474,0.005507,0.000525,0.005370
28035000,1.0570,0.187474,0.005507,0.000525,0.004744
