Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
7000000,15.7031,5.502199,0.052647,0.006391,0.565614
7001000,15.7031,5.502199,0.052647,0.006391,0.558872
7002000,15.7031,5.502199,0.052647,0.006391,0.561695
7003000,15.7031,5.502199,0.052647,0.006391,0.559016
7004000,15.7031,5.502199,0.052647,0.006391,0.558664
7005000,15.7031,5.502199,0.052647,0.006391,0.568354
7006000,15.7031,5.502199,0.052647,0.006391,0.559040
7007000,15.7031,5.502199,0.052647,0.006391,0.561925
7008000,15.7031,5.502199,0.052647,0.006391,0.558728
7009000,15.7031,5.502199,0.052647,0.006391,0.560157
7010000,15.7031,5.502199,0.052647,0.006391,0.562119
7011000,15.7031,5.502199,0.052647,0.006391,0.559672
7012000,15.7031,5.502199,0.052647,0.006391,0.562119
7013000,15.7031,5.502199,0.052647,0.006391,0.560103
7014000,15.7031,5.502199,0.052647,0.006391,0.559367
7015000,15.7031,5.502199,0.052647,0.006391,0.569297
7016000,15.7031,5.502199,0.052647,0.006391,0.559448
7017000,15.7031,5.502199,0.052647,0.006391,0.562630
7018000,15.7031,5.502199,0.052647,0.006391,0.559295
7019000,15.7031,5.502199,0.052647,0.006391,0.559376
7020000,15.7031,5.502199,0.052647,0.006391,0.564503
7021000,15.7031,5.502199,0.052647,0.006391,0.560231
7022000,15.7031,5.502199,0.052647,0.006391,0.562982
7023000,15.7031,5.502199,0.052647,0.006391,0.560239
7024000,15.7031,5.502199,0.052647,0.006391,0.563160
7025000,15.7031,5.502199,0.052647,0.006391,0.570847
7026000,15.7031,5.502199,0.052647,0.006391,0.560870
7027000,15.7031,5.502199,0.052647,0.006391,0.560679
7028000,15.7031,5.502199,0.052647,0.006391,0.564156
7029000,15.7031,5.502199,0.052647,0.006391,0.560735
7030000,15.7031,5.502199,0.052647,0.006391,0.572754
7031000,15.7031,5.502199,0.052647,0.006391,0.560870
7032000,15.7031,5.502199,0.052647,0.006391,0.560967
7033000,15.7031,5.502199,0.052647,0.006391,0.567708
7034000,15.7031,5.502199,0.052647,0.006391,0.561958
7035000,15.7031,5.502199,0.052647,0.006391,0.574158
7036000,15.7031,5.502199,0.052647,0.006391,0.561526
7037000,15.7031,5.502199,0.052647,0.006391,0.561382
7038000,15.7031,5.502199,0.052647,0.006391,0.567402
7039000,15.7031,5.502199,0.052647,0.006391,0.561238
7040000,15.7031,5.502199,0.052647,0.006391,0.564573
7041000,15.7031,5.502199,0.052647,0.006391,0.560942
7042000,15.7031,5.502199,0.052647,0.006391,0.563163
7043000,15.7031,5.502199,0.052647,0.006391,0.564781
7044000,15.7031,5.502199,0.052647,0.006391,0.562382
7045000,15.7031,5.502199,0.052647,0.006391,0.565307
7046000,15.7031,5.502199,0.052647,0.006391,0.563861
7047000,15.7031,5.502199,0.052647,0.006391,0.562957
7048000,15.7031,5.502199,0.052647,0.006391,0.563038
7049000,15.7031,5.502199,0.052647,0.006391,0.562885
7050000,15.7031,5.502199,0.052647,0.006391,0.563038
7051000,15.7031,5.502199,0.052647,0.006391,0.562957
7052000,15.7031,5.502199,0.052647,0.006391,0.563029
7053000,15.7031,5.502199,0.052647,0.006391,0.562894
7054000,15.7031,5.502199,0.052647,0.006391,0.563101
7055000,15.7031,5.502199,0.052647,0.006391,0.562894
7056000,15.7031,5.502199,0.052647,0.006391,0.563029
7057000,15.7031,5.502199,0.052647,0.006391,0.562966
7058000,15.7031,5.502199,0.052647,0.006391,0.563029
7059000,15.7031,5.502199,0.052647,0.006391,0.562957
7060000,15.7031,5.502199,0.052647,0.006391,0.562966
7061000,15.7031,5.502199,0.052647,0.006391,0.562957
7062000,15.7031,5.502199,0.052647,0.006391,0.562966
7063000,15.7031,5.502199,0.052647,0.006391,0.563029
7064000,15.7031,5.502199,0.052647,0.006391,0.562957
7065000,15.7031,5.502199,0.052647,0.006391,0.562966
7066000,15.7031,5.502199,0.052647,0.006391,0.563029
7067000,15.7031,5.502199,0.052647,0.006391,0.562966
7068000,15.7031,5.502199,0.052647,0.006391,0.562957
7069000,15.7031,5.502199,0.052647,0.006391,0.563038
7070000,15.7031,5.502199,0.052647,0.006391,0.562894
7071000,15.7031,5.502199,0.052647,0.006391,0.562966
7072000,15.7031,5.502199,0.052647,0.006391,0.562957
7073000,15.7031,5.502199,0.052647,0.006391,0.562966
7074000,15.7031,5.502199,0.052647,0.006391,0.563029
7075000,15.7031,5.502199,0.052647,0.006391,0.563038
7076000,15.7031,5.502199,0.052647,0.006391,0.562885
7077000,15.7031,5.502199,0.052647,0.006391,0.563029
7078000,15.7031,5.502199,0.052647,0.006391,0.562966
7079000,15.7031,5.502199,0.052647,0.006391,0.563029
7080000,15.7031,5.502199,0.052647,0.006391,0.562966
7081000,15.7031,5.502199,0.052647,0.006391,0.562885
7082000,15.7031,5.502199,0.052647,0.006391,0.563101
7083000,15.7031,5.502199,0.052647,0.006391,0.562894
7084000,15.7031,5.502199,0.052647,0.006391,0.563029
7085000,15.7031,5.502199,0.052647,0.006391,0.562894
7086000,15.7031,5.502199,0.052647,0.006391,0.563101
7087000,15.7031,5.502199,0.052647,0.006391,0.562885
7088000,15.7031,5.502199,0.052647,0.006391,0.562966
7089000,15.7031,5.502199,0.052647,0.006391,0.563029
7090000,15.7031,5.502199,0.052647,0.006391,0.562966
7091000,15.7031,5.502199,0.052647,0.006391,0.562957
7092000,15.7031,5.502199,0.052647,0.006391,0.562966
7093000,15.7031,5.502199,0.052647,0.006391,0.563029
7094000,15.7031,5.502199,0.052647,0.006391,0.562957
7095000,15.7031,5.502199,0.052647,0.006391,0.562894
7096000,15.7031,5.502199,0.052647,0.006391,0.562957
7097000,15.7031,5.502199,0.052647,0.006391,0.563038
7098000,15.7031,5.502199,0.052647,0.006391,0.562957
7099000,15.7031,5.502199,0.052647,0.006391,0.563029
7100000,15.7031,5.502199,0.052647,0.006391,0.562894
7101000,15.7031,5.502199,0.052647,0.006391,0.563101
7102000,15.7031,5.502199,0.052647,0.006391,0.562894
7103000,15.7031,5.502199,0.052647,0.006391,0.563029
7104000,15.7031,5.502199,0.052647,0.006391,0.562966
7105000,15.7031,5.502199,0.052647,0.006391,0.562957
7106000,15.7031,5.502199,0.052647,0.006391,0.562957
7107000,15.7031,5.502199,0.052647,0.006391,0.562966
7108000,15.7031,5.502199,0.052647,0.006391,0.562885
7109000,15.7031,5.502199,0.052647,0.006391,0.563110
7110000,15.7031,5.502199,0.052647,0.006391,0.562742
7111000,15.7031,5.502199,0.052647,0.006391,0.563101
7112000,15.7031,5.502199,0.052647,0.006391,0.562894
7113000,15.7031,5.502199,0.052647,0.006391,0.563101
7114000,15.7031,5.502199,0.052647,0.006391,0.562822
7115000,15.7031,5.502199,0.052647,0.006391,0.563101
7116000,15.7031,5.502199,0.052647,0.006391,0.562966
7117000,15.7031,5.502199,0.052647,0.006391,0.563029
7118000,15.7031,5.502199,0.052647,0.006391,0.562885
7119000,15.7031,5.502199,0.052647,0.006391,0.563038
7120000,15.7031,5.502199,0.052647,0.006391,0.562957
7121000,15.7031,5.502199,0.052647,0.006391,0.563038
7122000,15.7031,5.502199,0.052647,0.006391,0.562885
7123000,15.7031,5.502199,0.052647,0.006391,0.563101
7124000,15.7031,5.502199,0.052647,0.006391,0.562894
7125000,15.7031,5.502199,0.052647,0.006391,0.569894
7126000,15.7031,5.502199,0.052647,0.006391,0.599443
7127000,15.7031,5.502199,0.052647,0.006391,2.395347
7128000,15.7031,5.502199,0.052647,0.006391,0.561442
7129000,15.7031,5.502199,0.052647,0.006391,0.561121
7130000,15.7031,5.502199,0.052647,0.006391,2.378025
7131000,15.7031,5.502199,0.052647,0.006391,0.551232
7132000,15.7031,5.502199,0.052647,0.006391,0.557221
7133000,15.7031,5.502199,0.052647,0.006391,0.573327
7134000,15.7031,5.502199,0.052647,0.006391,0.586866
7135000,15.7031,5.502199,0.052647,0.006391,0.586267
7136000,15.7031,5.502199,0.052647,0.006391,1.047158
7137000,15.7031,5.502199,0.052647,0.006391,4.243354
7138000,15.7031,5.502199,0.052647,0.006391,0.727363
7139000,15.7031,5.502199,0.052647,0.006391,0.659030
7140000,15.7031,5.502199,0.052647,0.006391,0.636047
7141000,15.7031,5.502199,0.052647,0.006391,0.618098
7142000,15.7031,5.502199,0.052647,0.006391,0.640910
7143000,15.7031,5.502199,0.052647,0.006391,0.603016
7144000,15.7031,5.502199,0.052647,0.006391,0.617912
7145000,15.7031,5.502199,0.052647,0.006391,0.624392
7146000,15.7031,5.502199,0.052647,0.006391,0.591242
7147000,15.7031,5.502199,0.052647,0.006391,0.588147
7148000,15.7031,5.502199,0.052647,0.006391,0.605956
7149000,15.7031,5.502199,0.052647,0.006391,0.587985
7150000,15.7031,5.502199,0.052647,0.006391,0.583388
7151000,15.7031,5.502199,0.052647,0.006391,0.582352
7152000,15.7031,5.502199,0.052647,0.006391,0.573797
7153000,15.7031,5.502199,0.052647,0.006391,0.570612
7154000,15.7031,5.502199,0.052647,0.006391,0.577122
7155000,15.7031,5.502199,0.052647,0.006391,0.581556
7156000,15.7031,5.502199,0.052647,0.006391,0.578671
7157000,15.7031,5.502199,0.052647,0.006391,0.570867
7158000,15.7031,5.502199,0.052647,0.006391,0.576408
7159000,15.7031,5.502199,0.052647,0.006391,0.569827
7160000,15.7031,5.502199,0.052647,0.006391,0.564156
7161000,15.7031,5.502199,0.052647,0.006391,0.568872
7162000,15.7031,5.502199,0.052647,0.006391,0.563544
7163000,15.7031,5.502199,0.052647,0.006391,0.562351
7164000,15.7031,5.502199,0.052647,0.006391,0.566507
7165000,15.7031,5.502199,0.052647,0.006391,0.562656
7166000,15.7031,5.502199,0.052647,0.006391,0.573517
7167000,15.7031,5.502199,0.052647,0.006391,0.563615
7168000,15.7031,5.502199,0.052647,0.006391,0.561787
7169000,15.7031,5.502199,0.052647,0.006391,0.563468
7170000,15.7031,5.502199,0.052647,0.006391,0.564062
7171000,15.7031,5.502199,0.052647,0.006391,0.560904
7172000,15.7031,5.502199,0.052647,0.006391,0.562874
7173000,15.7031,5.502199,0.052647,0.006391,0.559407
7174000,15.7031,5.502199,0.052647,0.006391,0.561224
7175000,15.7031,5.502199,0.052647,0.006391,0.561543
7176000,15.7031,5.502199,0.052647,0.006391,0.561717
7177000,15.7031,5.502199,0.052647,0.006391,0.568585
7178000,15.7031,5.502199,0.052647,0.006391,0.559797
7179000,15.7031,5.502199,0.052647,0.006391,0.560813
7180000,15.7031,5.502199,0.052647,0.006391,0.562927
7181000,15.7031,5.502199,0.052647,0.006391,0.560184
7182000,15.7031,5.502199,0.052647,0.006391,0.561671
7183000,15.7031,5.502199,0.052647,0.006391,0.564137
7184000,15.7031,5.502199,0.052647,0.006391,0.560607
7185000,15.7031,5.502199,0.052647,0.006391,0.561454
7186000,15.7031,5.502199,0.052647,0.006391,0.561463
7187000,15.7031,5.502199,0.052647,0.006391,0.561230
7188000,15.7031,5.502199,0.052647,0.006391,0.561391
7189000,15.7031,5.502199,0.052647,0.006391,0.561382
7190000,15.7031,5.502199,0.052647,0.006391,0.561382
7191000,15.7031,5.502199,0.052647,0.006391,0.561319
7192000,15.7031,5.502199,0.052647,0.006391,0.561446
7193000,15.7031,5.502199,0.052647,0.006391,0.561391
7194000,15.7031,5.502199,0.052647,0.006391,0.561382
7195000,15.7031,5.502199,0.052647,0.006391,0.561310
7196000,15.7031,5.502199,0.052647,0.006391,0.561391
7197000,15.7031,5.502199,0.052647,0.006391,0.561526
7198000,15.7031,5.502199,0.052647,0.006391,0.561319
7199000,15.7031,5.502199,0.052647,0.006391,0.561302
7200000,15.7031,5.502199,0.052647,0.006391,0.561463
7201000,15.7031,5.502199,0.052647,0.006391,0.561382
7202000,15.7031,5.502199,0.052647,0.006391,0.561382
7203000,15.7031,5.502199,0.052647,0.006391,0.561319
7204000,15.7031,5.502199,0.052647,0.006391,0.561446
7205000,15.7031,5.502199,0.052647,0.006391,0.561391
7206000,15.7031,5.502199,0.052647,0.006391,0.561310
7207000,15.7031,5.502199,0.052647,0.006391,0.561382
7208000,15.7031,5.502199,0.052647,0.006391,0.563511
7209000,15.7031,5.502199,0.052647,0.006391,0.561958
7210000,15.7031,5.502199,0.052647,0.006391,0.562102
7211000,15.7031,5.502199,0.052647,0.006391,0.562246
7212000,15.7031,5.502199,0.052647,0.006391,0.562246
7213000,15.7031,5.502199,0.052647,0.006391,0.562102
7214000,15.7031,5.502199,0.052647,0.006391,0.562166
7215000,15.7031,5.502199,0.052647,0.006391,0.562254
7216000,15.7031,5.502199,0.052647,0.006391,0.562166
7217000,15.7031,5.502199,0.052647,0.006391,0.562174
7218000,15.7031,5.502199,0.052647,0.006391,0.562030
7219000,15.7031,5.502199,0.052647,0.006391,0.562310
7220000,15.7031,5.502199,0.052647,0.006391,0.562110
7221000,15.7031,5.502199,0.052647,0.006391,0.562238
7222000,15.7031,5.502199,0.052647,0.006391,0.562102
