Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,1.3415,0.039994,0.023482,0.002970,0.117216
2001000,1.3415,0.039994,0.023482,0.002970,0.116257
2002000,1.3415,0.039994,0.023482,0.002970,0.116779
2003000,1.3415,0.039994,0.023482,0.002970,0.117565
2004000,1.3415,0.039994,0.023482,0.002970,0.117009
2005000,1.3415,0.039994,0.023482,0.002970,0.117191
2006000,1.3415,0.039994,0.023482,0.002970,0.117258
2007000,1.3415,0.039994,0.023482,0.002970,0.116630
2008000,1.3415,0.039994,0.023482,0.002970,0.116902
2009000,1.3415,0.039994,0.023482,0.002970,0.117283
2010000,1.3415,0.039994,0.023482,0.002970,0.117053
2011000,1.3415,0.039994,0.023482,0.002970,0.117472
2012000,1.3415,0.039994,0.023482,0.002970,0.116804
2013000,1.3415,0.039994,0.023482,0.002970,0.116243
2014000,1.3415,0.039994,0.023482,0.002970,0.117365
2015000,1.3415,0.039994,0.023482,0.002970,0.117789
2016000,1.3415,0.039994,0.023482,0.002970,0.117039
2017000,1.3415,0.039994,0.023482,0.002970,0.117335
2018000,1.3415,0.039994,0.023482,0.002970,0.117039
2019000,1.3415,0.039994,0.023482,0.002970,0.116136
2020000,1.3415,0.039994,0.023482,0.002970,0.117290
2021000,1.3415,0.039994,0.023482,0.002970,0.117404
2022000,1.3415,0.039994,0.023482,0.002970,0.117826
2023000,1.3415,0.039994,0.023482,0.002970,0.117388
2024000,1.3415,0.039994,0.023482,0.002970,0.116834
2025000,1.3415,0.039994,0.023482,0.002970,0.115727
2026000,1.3415,0.039994,0.023482,0.002970,0.117698
2027000,1.3415,0.039994,0.023482,0.002970,0.117207
2028000,1.3415,0.039994,0.023482,0.002970,0.117342
2029000,1.3415,0.039994,0.023482,0.002970,0.117289
2030000,1.3415,0.039994,0.023482,0.002970,0.116745
2031000,1.3415,0.039994,0.023482,0.002970,0.116099
2032000,1.3415,0.039994,0.023482,0.002970,0.116637
2033000,1.3415,0.039994,0.023482,0.002970,0.116546
2034000,1.3415,0.039994,0.023482,0.002970,0.116713
2035000,1.3415,0.039994,0.023482,0.002970,0.115969
2036000,1.3415,0.039994,0.023482,0.002970,0.116001
2037000,1.3415,0.039994,0.023482,0.002970,0.116167
2038000,1.3415,0.039994,0.023482,0.002970,0.117039
2039000,1.3415,0.039994,0.023482,0.002970,0.116676
2040000,1.3415,0.039994,0.023482,0.002970,0.116706
2041000,1.3415,0.039994,0.023482,0.002970,0.116213
2042000,1.3415,0.039994,0.023482,0.002970,0.116113
2043000,1.3415,0.039994,0.023482,0.002970,0.116129
2044000,1.3415,0.039994,0.023482,0.002970,0.116462
2045000,1.3415,0.039994,0.023482,0.002970,0.116834
2046000,1.3415,0.039994,0.023482,0.002970,0.116706
2047000,1.3415,0.039994,0.023482,0.002970,0.116257
2048000,1.3415,0.039994,0.023482,0.002970,0.115735
2049000,1.3415,0.039994,0.023482,0.002970,0.116699
2050000,1.3415,0.039994,0.023482,0.002970,0.116576
2051000,1.3415,0.039994,0.023482,0.002970,0.116720
2052000,1.3415,0.039994,0.023482,0.002970,0.116113
2053000,1.3415,0.039994,0.023482,0.002970,0.115773
2054000,1.3415,0.039994,0.023482,0.002970,0.115561
2055000,1.3415,0.039994,0.023482,0.002970,0.115605
2056000,1.3415,0.039994,0.023482,0.002970,0.115880
2057000,1.3415,0.039994,0.023482,0.002970,0.115992
2058000,1.3415,0.039994,0.023482,0.002970,0.115340
2059000,1.3415,0.039994,0.023482,0.002970,0.115789
2060000,1.3415,0.039994,0.023482,0.002970,0.115598
2061000,1.3415,0.039994,0.023482,0.002970,0.116099
2062000,1.3415,0.039994,0.023482,0.002970,0.115196
2063000,1.3415,0.039994,0.023482,0.002970,0.114909
2064000,1.3415,0.039994,0.023482,0.002970,0.114460
2065000,1.3415,0.039994,0.023482,0.002970,0.115326
2066000,1.3415,0.039994,0.023482,0.002970,0.114900
2067000,1.3415,0.039994,0.023482,0.002970,0.115007
2068000,1.3415,0.039994,0.023482,0.002970,0.115303
2069000,1.3415,0.039994,0.023482,0.002970,0.115356
2070000,1.3415,0.039994,0.023482,0.002970,0.114544
2071000,1.3415,0.039994,0.023482,0.002970,0.115182
2072000,1.3415,0.039994,0.023482,0.002970,0.114984
