Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,8.6440,0.261844,0.058609,0.079322,1.240820
2000,8.6440,0.261844,0.058609,0.079322,0.853739
3000,8.6440,0.261844,0.058609,0.079322,0.853739
4000,8.6440,0.261844,0.058609,0.079322,0.853739
5000,8.6440,0.261844,0.058609,0.079322,0.853739
6000,8.6440,0.261844,0.058609,0.079322,0.578048
7000,8.6440,0.261844,0.058609,0.079322,0.576035
8000,8.6440,0.261844,0.058609,0.079322,0.586579
9000,8.6440,0.261844,0.058609,0.079322,0.624363
10000,8.6440,0.261844,0.058609,0.079322,0.526828
11000,8.6440,0.261844,0.058609,0.079322,0.565992
