Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.3415,0.039994,0.023482,0.002970,0.855116
2000,1.3415,0.039994,0.023482,0.002970,0.739898
3000,1.3415,0.039994,0.023482,0.002970,0.739898
4000,1.3415,0.039994,0.023482,0.002970,0.739898
5000,1.3415,0.039994,0.023482,0.002970,0.739898
6000,1.3415,0.039994,0.023482,0.002970,0.568245
7000,1.3415,0.039994,0.023482,0.002970,0.496525
8000,1.3415,0.039994,0.023482,0.002970,0.498486
9000,1.3415,0.039994,0.023482,0.002970,0.509598
10000,1.3415,0.039994,0.023482,0.002970,0.497432
11000,1.3415,0.039994,0.023482,0.002970,0.494260
