Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.563342
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,0.570632
7000,15.7031,5.502199,0.052647,0.006391,0.560398
8000,15.7031,5.502199,0.052647,0.006391,0.561802
9000,15.7031,5.502199,0.052647,0.006391,0.562736
10000,15.7031,5.502199,0.052647,0.006391,0.560896
11000,15.7031,5.502199,0.052647,0.006391,0.692546
12000,15.7031,5.502199,0.052647,0.006391,0.573628
