Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.0570,0.187474,0.005507,0.000525,1.350911
1001000,1.0570,0.187474,0.005507,0.000525,1.034615
1002000,1.0570,0.187474,0.005507,0.000525,0.896772
1003000,1.0570,0.187474,0.005507,0.000525,1.056011
1004000,1.0570,0.187474,0.005507,0.000525,1.249578
1005000,1.0570,0.187474,0.005507,0.000525,1.068944
1006000,1.0570,0.187474,0.005507,0.000525,1.082118
1007000,1.0570,0.187474,0.005507,0.000525,1.445779
1008000,1.0570,0.187474,0.005507,0.000525,0.865634
1009000,1.0570,0.187474,0.005507,0.000525,0.992580
1010000,1.0570,0.187474,0.005507,0.000525,1.149815
1011000,1.0570,0.187474,0.005507,0.000525,1.234692
1012000,1.0570,0.187474,0.005507,0.000525,0.937032
1013000,1.0570,0.187474,0.005507,0.000525,1.244503
1014000,1.0570,0.187474,0.005507,0.000525,1.278044
1015000,1.0570,0.187474,0.005507,0.000525,0.927332
1016000,1.0570,0.187474,0.005507,0.000525,0.943661
1017000,1.0570,0.187474,0.005507,0.000525,1.001549
1018000,1.0570,0.187474,0.005507,0.000525,1.151568
1019000,1.0570,0.187474,0.005507,0.000525,1.124230
1020000,1.0570,0.187474,0.005507,0.000525,1.269969
1021000,1.0570,0.187474,0.005507,0.000525,1.095268
1022000,1.0570,0.187474,0.005507,0.000525,0.963487
1023000,1.0570,0.187474,0.005507,0.000525,0.807455
1024000,1.0570,0.187474,0.005507,0.000525,1.041001
1025000,1.0570,0.187474,0.005507,0.000525,1.150589
1026000,1.0570,0.187474,0.005507,0.000525,1.241892
1027000,1.0570,0.187474,0.005507,0.000525,1.306928
1028000,1.0570,0.187474,0.005507,0.000525,1.052028
1029000,1.0570,0.187474,0.005507,0.000525,0.987185
1030000,1.0570,0.187474,0.005507,0.000525,1.099745
1031000,1.0570,0.187474,0.005507,0.000525,1.131218
1032000,1.0570,0.187474,0.005507,0.000525,1.394231
1033000,1.0570,0.187474,0.005507,0.000525,1.393636
1034000,1.0570,0.187474,0.005507,0.000525,1.213901
1035000,1.0570,0.187474,0.005507,0.000525,1.136135
1036000,1.0570,0.187474,0.005507,0.000525,0.943271
1037000,1.0570,0.187474,0.005507,0.000525,0.968911
1038000,1.0570,0.187474,0.005507,0.000525,1.196970
1039000,1.0570,0.187474,0.005507,0.000525,1.248885
1040000,1.0570,0.187474,0.005507,0.000525,1.252656
1041000,1.0570,0.187474,0.005507,0.000525,1.378371
1042000,1.0570,0.187474,0.005507,0.000525,1.190284
1043000,1.0570,0.187474,0.005507,0.000525,0.910399
1044000,1.0570,0.187474,0.005507,0.000525,0.951493
1045000,1.0570,0.187474,0.005507,0.000525,1.172061
1046000,1.0570,0.187474,0.005507,0.000525,1.184736
1047000,1.0570,0.187474,0.005507,0.000525,1.079436
1048000,1.0570,0.187474,0.005507,0.000525,1.168555
1049000,1.0570,0.187474,0.005507,0.000525,1.245509
1050000,1.0570,0.187474,0.005507,0.000525,0.925176
1051000,1.0570,0.187474,0.005507,0.000525,0.986289
1052000,1.0570,0.187474,0.005507,0.000525,1.130812
1053000,1.0570,0.187474,0.005507,0.000525,1.274024
1054000,1.0570,0.187474,0.005507,0.000525,1.227266
1055000,1.0570,0.187474,0.005507,0.000525,1.171299
1056000,1.0570,0.187474,0.005507,0.000525,1.244884
1057000,1.0570,0.187474,0.005507,0.000525,0.944797
1058000,1.0570,0.187474,0.005507,0.000525,0.856118
1059000,1.0570,0.187474,0.005507,0.000525,0.995457
1060000,1.0570,0.187474,0.005507,0.000525,1.299898
1061000,1.0570,0.187474,0.005507,0.000525,1.202368
1062000,1.0570,0.187474,0.005507,0.000525,1.065706
