Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
71000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.059707
71001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.010848
71002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.183875
71003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.186216
71004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.239391
71005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.175344
71006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.300890
71007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.312279
71008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.710888
71009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.055986
71010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.346550
71011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.533461
71012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.430792
71013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.316977
71014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.214587
71015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.003143
71016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.901218
71017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.768533
71018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.662181
71019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.618010
71020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.583120
71021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.478698
71022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.491908
71023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.500203
71024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.466944
71025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.472242
71026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.502537
71027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.513999
71028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.507103
71029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.505391
71030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.505889
71031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.526970
71032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.534133
71033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.543734
