Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
128000000,1.3415,0.039994,0.023482,0.002970,0.022463
128001000,1.3415,0.039994,0.023482,0.002970,0.022702
128002000,1.3415,0.039994,0.023482,0.002970,0.019086
128003000,1.3415,0.039994,0.023482,0.002970,0.015494
128004000,1.3415,0.039994,0.023482,0.002970,0.014432
128005000,1.3415,0.039994,0.023482,0.002970,0.013780
128006000,1.3415,0.039994,0.023482,0.002970,0.011486
128007000,1.3415,0.039994,0.023482,0.002970,0.010687
128008000,1.3415,0.039994,0.023482,0.002970,0.009878
128009000,1.3415,0.039994,0.023482,0.002970,0.009274
128010000,1.3415,0.039994,0.023482,0.002970,0.008929
128011000,1.3415,0.039994,0.023482,0.002970,0.009145
128012000,1.3415,0.039994,0.023482,0.002970,0.009884
128013000,1.3415,0.039994,0.023482,0.002970,0.010472
128014000,1.3415,0.039994,0.023482,0.002970,0.011060
128015000,1.3415,0.039994,0.023482,0.002970,0.011395
128016000,1.3415,0.039994,0.023482,0.002970,0.011992
128017000,1.3415,0.039994,0.023482,0.002970,0.012085
128018000,1.3415,0.039994,0.023482,0.002970,0.012152
128019000,1.3415,0.039994,0.023482,0.002970,0.011549
128020000,1.3415,0.039994,0.023482,0.002970,0.012913
128021000,1.3415,0.039994,0.023482,0.002970,0.013109
128022000,1.3415,0.039994,0.023482,0.002970,0.012657
128023000,1.3415,0.039994,0.023482,0.002970,0.012944
128024000,1.3415,0.039994,0.023482,0.002970,0.013122
128025000,1.3415,0.039994,0.023482,0.002970,0.013557
128026000,1.3415,0.039994,0.023482,0.002970,0.013815
128027000,1.3415,0.039994,0.023482,0.002970,0.013708
128028000,1.3415,0.039994,0.023482,0.002970,0.013943
128029000,1.3415,0.039994,0.023482,0.002970,0.013580
128030000,1.3415,0.039994,0.023482,0.002970,0.013943
128031000,1.3415,0.039994,0.023482,0.002970,0.013724
128032000,1.3415,0.039994,0.023482,0.002970,0.013785
128033000,1.3415,0.039994,0.023482,0.002970,0.013822
128034000,1.3415,0.039994,0.023482,0.002970,0.013701
128035000,1.3415,0.039994,0.023482,0.002970,0.013868
128036000,1.3415,0.039994,0.023482,0.002970,0.013843
128037000,1.3415,0.039994,0.023482,0.002970,0.031007
128038000,1.3415,0.039994,0.023482,0.002970,0.023348
128039000,1.3415,0.039994,0.023482,0.002970,0.002486
128040000,1.3415,0.039994,0.023482,0.002970,0.002237
128041000,1.3415,0.039994,0.023482,0.002970,0.004267
128042000,1.3415,0.039994,0.023482,0.002970,0.002713
128043000,1.3415,0.039994,0.023482,0.002970,0.004352
128044000,1.3415,0.039994,0.023482,0.002970,0.008222
128045000,1.3415,0.039994,0.023482,0.002970,0.013114
128046000,1.3415,0.039994,0.023482,0.002970,0.029134
128047000,1.3415,0.039994,0.023482,0.002970,0.016592
128048000,1.3415,0.039994,0.023482,0.002970,0.027739
128049000,1.3415,0.039994,0.023482,0.002970,0.027705
128050000,1.3415,0.039994,0.023482,0.002970,0.027180
