Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
39000000,8.6440,0.261844,0.058609,0.079322,0.115460
39001000,8.6440,0.261844,0.058609,0.079322,0.114483
39002000,8.6440,0.261844,0.058609,0.079322,0.114791
39003000,8.6440,0.261844,0.058609,0.079322,0.114763
39004000,8.6440,0.261844,0.058609,0.079322,0.113906
39005000,8.6440,0.261844,0.058609,0.079322,0.116044
39006000,8.6440,0.261844,0.058609,0.079322,0.113237
39007000,8.6440,0.261844,0.058609,0.079322,0.110480
39008000,8.6440,0.261844,0.058609,0.079322,0.344208
39009000,8.6440,0.261844,0.058609,0.079322,0.027694
39010000,8.6440,0.261844,0.058609,0.079322,0.049587
39011000,8.6440,0.261844,0.058609,0.079322,0.052720
39012000,8.6440,0.261844,0.058609,0.079322,0.055848
39013000,8.6440,0.261844,0.058609,0.079322,0.025952
39014000,8.6440,0.261844,0.058609,0.079322,0.019170
39015000,8.6440,0.261844,0.058609,0.079322,0.082713
39016000,8.6440,0.261844,0.058609,0.079322,0.097234
39017000,8.6440,0.261844,0.058609,0.079322,0.114253
39018000,8.6440,0.261844,0.058609,0.079322,0.343670
39019000,8.6440,0.261844,0.058609,0.079322,0.178522
39020000,8.6440,0.261844,0.058609,0.079322,0.304505
39021000,8.6440,0.261844,0.058609,0.079322,0.267404
39022000,8.6440,0.261844,0.058609,0.079322,0.247990
39023000,8.6440,0.261844,0.058609,0.079322,0.218904
39024000,8.6440,0.261844,0.058609,0.079322,0.191394
39025000,8.6440,0.261844,0.058609,0.079322,0.160497
39026000,8.6440,0.261844,0.058609,0.079322,0.133945
39027000,8.6440,0.261844,0.058609,0.079322,0.134714
39028000,8.6440,0.261844,0.058609,0.079322,0.110333
39029000,8.6440,0.261844,0.058609,0.079322,0.099160
39030000,8.6440,0.261844,0.058609,0.079322,0.096173
39031000,8.6440,0.261844,0.058609,0.079322,0.089343
39032000,8.6440,0.261844,0.058609,0.079322,0.089014
39033000,8.6440,0.261844,0.058609,0.079322,0.080893
39034000,8.6440,0.261844,0.058609,0.079322,0.082087
39035000,8.6440,0.261844,0.058609,0.079322,0.085169
39036000,8.6440,0.261844,0.058609,0.079322,0.096224
39037000,8.6440,0.261844,0.058609,0.079322,0.091364
39038000,8.6440,0.261844,0.058609,0.079322,0.102406
39039000,8.6440,0.261844,0.058609,0.079322,0.098864
39040000,8.6440,0.261844,0.058609,0.079322,0.101900
39041000,8.6440,0.261844,0.058609,0.079322,0.100286
39042000,8.6440,0.261844,0.058609,0.079322,0.104585
39043000,8.6440,0.261844,0.058609,0.079322,0.101150
39044000,8.6440,0.261844,0.058609,0.079322,0.098729
39045000,8.6440,0.261844,0.058609,0.079322,0.107943
39046000,8.6440,0.261844,0.058609,0.079322,0.106548
39047000,8.6440,0.261844,0.058609,0.079322,0.108472
39048000,8.6440,0.261844,0.058609,0.079322,0.107203
39049000,8.6440,0.261844,0.058609,0.079322,0.107421
39050000,8.6440,0.261844,0.058609,0.079322,0.106951
39051000,8.6440,0.261844,0.058609,0.079322,0.112160
39052000,8.6440,0.261844,0.058609,0.079322,0.113927
39053000,8.6440,0.261844,0.058609,0.079322,0.115382
39054000,8.6440,0.261844,0.058609,0.079322,0.113899
39055000,8.6440,0.261844,0.058609,0.079322,0.114777
39056000,8.6440,0.261844,0.058609,0.079322,0.115432
39057000,8.6440,0.261844,0.058609,0.079322,0.113548
39058000,8.6440,0.261844,0.058609,0.079322,0.113892
39059000,8.6440,0.261844,0.058609,0.079322,0.114777
39060000,8.6440,0.261844,0.058609,0.079322,0.114511
39061000,8.6440,0.261844,0.058609,0.079322,0.115418
39062000,8.6440,0.261844,0.058609,0.079322,0.131599
