Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
41000000,1.6202,0.544831,0.005673,0.000697,0.327268
41001000,1.6202,0.544831,0.005673,0.000697,0.326946
41002000,1.6202,0.544831,0.005673,0.000697,0.326899
41003000,1.6202,0.544831,0.005673,0.000697,0.326993
41004000,1.6202,0.544831,0.005673,0.000697,0.326899
41005000,1.6202,0.544831,0.005673,0.000697,0.326899
41006000,1.6202,0.544831,0.005673,0.000697,0.326899
41007000,1.6202,0.544831,0.005673,0.000697,0.372443
41008000,1.6202,0.544831,0.005673,0.000697,0.328970
41009000,1.6202,0.544831,0.005673,0.000697,0.326899
41010000,1.6202,0.544831,0.005673,0.000697,0.356489
41011000,1.6202,0.544831,0.005673,0.000697,0.330414
41012000,1.6202,0.544831,0.005673,0.000697,0.326899
41013000,1.6202,0.544831,0.005673,0.000697,0.326899
41014000,1.6202,0.544831,0.005673,0.000697,0.326899
41015000,1.6202,0.544831,0.005673,0.000697,0.326899
41016000,1.6202,0.544831,0.005673,0.000697,0.392057
41017000,1.6202,0.544831,0.005673,0.000697,0.358017
41018000,1.6202,0.544831,0.005673,0.000697,0.333180
41019000,1.6202,0.544831,0.005673,0.000697,0.329185
41020000,1.6202,0.544831,0.005673,0.000697,0.328495
41021000,1.6202,0.544831,0.005673,0.000697,0.328923
41022000,1.6202,0.544831,0.005673,0.000697,0.327408
41023000,1.6202,0.544831,0.005673,0.000697,0.327418
41024000,1.6202,0.544831,0.005673,0.000697,0.327315
41025000,1.6202,0.544831,0.005673,0.000697,0.327315
41026000,1.6202,0.544831,0.005673,0.000697,0.327325
41027000,1.6202,0.544831,0.005673,0.000697,0.327448
41028000,1.6202,0.544831,0.005673,0.000697,0.327221
41029000,1.6202,0.544831,0.005673,0.000697,0.326946
41030000,1.6202,0.544831,0.005673,0.000697,0.327315
41031000,1.6202,0.544831,0.005673,0.000697,0.327174
41032000,1.6202,0.544831,0.005673,0.000697,0.326993
41033000,1.6202,0.544831,0.005673,0.000697,0.327050
41034000,1.6202,0.544831,0.005673,0.000697,0.326899
41035000,1.6202,0.544831,0.005673,0.000697,0.326993
41036000,1.6202,0.544831,0.005673,0.000697,0.326899
41037000,1.6202,0.544831,0.005673,0.000697,0.327060
41038000,1.6202,0.544831,0.005673,0.000697,0.326946
41039000,1.6202,0.544831,0.005673,0.000697,0.326899
