Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
68000000,0.7779,0.306348,0.002724,0.000334,0.184337
68001000,0.7779,0.306348,0.002724,0.000334,0.184347
68002000,0.7779,0.306348,0.002724,0.000334,0.184447
68003000,0.7779,0.306348,0.002724,0.000334,0.184035
68004000,0.7779,0.306348,0.002724,0.000334,0.183965
68005000,0.7779,0.306348,0.002724,0.000334,0.183936
68006000,0.7779,0.306348,0.002724,0.000334,0.184211
68007000,0.7779,0.306348,0.002724,0.000334,0.183832
68008000,0.7779,0.306348,0.002724,0.000334,0.183884
68009000,0.7779,0.306348,0.002724,0.000334,0.183856
68010000,0.7779,0.306348,0.002724,0.000334,0.183861
68011000,0.7779,0.306348,0.002724,0.000334,0.183832
68012000,0.7779,0.306348,0.002724,0.000334,0.183809
68013000,0.7779,0.306348,0.002724,0.000334,0.183809
68014000,0.7779,0.306348,0.002724,0.000334,0.183809
68015000,0.7779,0.306348,0.002724,0.000334,0.183809
68016000,0.7779,0.306348,0.002724,0.000334,0.183809
68017000,0.7779,0.306348,0.002724,0.000334,0.183809
68018000,0.7779,0.306348,0.002724,0.000334,0.183809
68019000,0.7779,0.306348,0.002724,0.000334,0.183809
68020000,0.7779,0.306348,0.002724,0.000334,0.183809
68021000,0.7779,0.306348,0.002724,0.000334,0.183809
68022000,0.7779,0.306348,0.002724,0.000334,0.183809
68023000,0.7779,0.306348,0.002724,0.000334,0.183809
68024000,0.7779,0.306348,0.002724,0.000334,0.183809
68025000,0.7779,0.306348,0.002724,0.000334,0.183809
68026000,0.7779,0.306348,0.002724,0.000334,0.183809
68027000,0.7779,0.306348,0.002724,0.000334,0.183809
68028000,0.7779,0.306348,0.002724,0.000334,0.212038
68029000,0.7779,0.306348,0.002724,0.000334,0.183903
68030000,0.7779,0.306348,0.002724,0.000334,0.183809
68031000,0.7779,0.306348,0.002724,0.000334,0.199143
68032000,0.7779,0.306348,0.002724,0.000334,0.184845
68033000,0.7779,0.306348,0.002724,0.000334,0.183809
68034000,0.7779,0.306348,0.002724,0.000334,0.183809
68035000,0.7779,0.306348,0.002724,0.000334,0.183809
68036000,0.7779,0.306348,0.002724,0.000334,0.186882
68037000,0.7779,0.306348,0.002724,0.000334,0.220731
68038000,0.7779,0.306348,0.002724,0.000334,0.199233
68039000,0.7779,0.306348,0.002724,0.000334,0.187092
68040000,0.7779,0.306348,0.002724,0.000334,0.187811
68041000,0.7779,0.306348,0.002724,0.000334,0.185891
68042000,0.7779,0.306348,0.002724,0.000334,0.186256
68043000,0.7779,0.306348,0.002724,0.000334,0.185097
68044000,0.7779,0.306348,0.002724,0.000334,0.184828
68045000,0.7779,0.306348,0.002724,0.000334,0.184687
68046000,0.7779,0.306348,0.002724,0.000334,0.184243
68047000,0.7779,0.306348,0.002724,0.000334,0.184328
68048000,0.7779,0.306348,0.002724,0.000334,0.184447
68049000,0.7779,0.306348,0.002724,0.000334,0.184045
68050000,0.7779,0.306348,0.002724,0.000334,0.184063
68051000,0.7779,0.306348,0.002724,0.000334,0.184177
68052000,0.7779,0.306348,0.002724,0.000334,0.184016
68053000,0.7779,0.306348,0.002724,0.000334,0.183879
68054000,0.7779,0.306348,0.002724,0.000334,0.184107
68055000,0.7779,0.306348,0.002724,0.000334,0.183879
68056000,0.7779,0.306348,0.002724,0.000334,0.183832
68057000,0.7779,0.306348,0.002724,0.000334,0.183809
68058000,0.7779,0.306348,0.002724,0.000334,0.184083
68059000,0.7779,0.306348,0.002724,0.000334,0.183809
68060000,0.7779,0.306348,0.002724,0.000334,0.184026
68061000,0.7779,0.306348,0.002724,0.000334,0.183946
68062000,0.7779,0.306348,0.002724,0.000334,0.183832
68063000,0.7779,0.306348,0.002724,0.000334,0.183861
68064000,0.7779,0.306348,0.002724,0.000334,0.183832
68065000,0.7779,0.306348,0.002724,0.000334,0.183809
68066000,0.7779,0.306348,0.002724,0.000334,0.183832
68067000,0.7779,0.306348,0.002724,0.000334,0.183809
68068000,0.7779,0.306348,0.002724,0.000334,0.183832
68069000,0.7779,0.306348,0.002724,0.000334,0.183809
68070000,0.7779,0.306348,0.002724,0.000334,0.183809
68071000,0.7779,0.306348,0.002724,0.000334,0.183832
68072000,0.7779,0.306348,0.002724,0.000334,0.183809
68073000,0.7779,0.306348,0.002724,0.000334,0.183832
68074000,0.7779,0.306348,0.002724,0.000334,0.183946
68075000,0.7779,0.306348,0.002724,0.000334,0.183889
68076000,0.7779,0.306348,0.002724,0.000334,0.183832
68077000,0.7779,0.306348,0.002724,0.000334,0.183809
68078000,0.7779,0.306348,0.002724,0.000334,0.183809
68079000,0.7779,0.306348,0.002724,0.000334,0.183832
68080000,0.7779,0.306348,0.002724,0.000334,0.183809
68081000,0.7779,0.306348,0.002724,0.000334,0.183832
68082000,0.7779,0.306348,0.002724,0.000334,0.183809
68083000,0.7779,0.306348,0.002724,0.000334,0.183946
68084000,0.7779,0.306348,0.002724,0.000334,0.183884
68085000,0.7779,0.306348,0.002724,0.000334,0.183809
68086000,0.7779,0.306348,0.002724,0.000334,0.183809
68087000,0.7779,0.306348,0.002724,0.000334,0.183809
68088000,0.7779,0.306348,0.002724,0.000334,0.214722
68089000,0.7779,0.306348,0.002724,0.000334,0.183809
68090000,0.7779,0.306348,0.002724,0.000334,0.185892
68091000,0.7779,0.306348,0.002724,0.000334,0.197128
68092000,0.7779,0.306348,0.002724,0.000334,0.183809
68093000,0.7779,0.306348,0.002724,0.000334,0.183809
68094000,0.7779,0.306348,0.002724,0.000334,0.183809
68095000,0.7779,0.306348,0.002724,0.000334,0.183809
68096000,0.7779,0.306348,0.002724,0.000334,0.217590
68097000,0.7779,0.306348,0.002724,0.000334,0.211622
68098000,0.7779,0.306348,0.002724,0.000334,0.192770
68099000,0.7779,0.306348,0.002724,0.000334,0.190012
68100000,0.7779,0.306348,0.002724,0.000334,0.187006
68101000,0.7779,0.306348,0.002724,0.000334,0.186808
