Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
16000000,15.7031,5.502199,0.052647,0.006391,0.586923
16001000,15.7031,5.502199,0.052647,0.006391,1.571522
16002000,15.7031,5.502199,0.052647,0.006391,3.957518
16003000,15.7031,5.502199,0.052647,0.006391,0.835567
16004000,15.7031,5.502199,0.052647,0.006391,0.745848
16005000,15.7031,5.502199,0.052647,0.006391,0.659014
16006000,15.7031,5.502199,0.052647,0.006391,0.596530
16007000,15.7031,5.502199,0.052647,0.006391,0.620374
16008000,15.7031,5.502199,0.052647,0.006391,0.606336
16009000,15.7031,5.502199,0.052647,0.006391,0.593116
16010000,15.7031,5.502199,0.052647,0.006391,0.596781
16011000,15.7031,5.502199,0.052647,0.006391,0.589968
16012000,15.7031,5.502199,0.052647,0.006391,0.583504
16013000,15.7031,5.502199,0.052647,0.006391,0.584961
16014000,15.7031,5.502199,0.052647,0.006391,0.570574
16015000,15.7031,5.502199,0.052647,0.006391,0.566387
16016000,15.7031,5.502199,0.052647,0.006391,0.569432
16017000,15.7031,5.502199,0.052647,0.006391,0.559935
16018000,15.7031,5.502199,0.052647,0.006391,0.573235
16019000,15.7031,5.502199,0.052647,0.006391,0.560007
16020000,15.7031,5.502199,0.052647,0.006391,0.567207
16021000,15.7031,5.502199,0.052647,0.006391,0.572760
16022000,15.7031,5.502199,0.052647,0.006391,0.562734
16023000,15.7031,5.502199,0.052647,0.006391,0.569423
16024000,15.7031,5.502199,0.052647,0.006391,0.571601
16025000,15.7031,5.502199,0.052647,0.006391,0.561158
16026000,15.7031,5.502199,0.052647,0.006391,0.570298
16027000,15.7031,5.502199,0.052647,0.006391,0.561302
16028000,15.7031,5.502199,0.052647,0.006391,0.572505
16029000,15.7031,5.502199,0.052647,0.006391,0.562203
16030000,15.7031,5.502199,0.052647,0.006391,0.562310
16031000,15.7031,5.502199,0.052647,0.006391,0.574797
16032000,15.7031,5.502199,0.052647,0.006391,0.562454
16033000,15.7031,5.502199,0.052647,0.006391,0.567978
16034000,15.7031,5.502199,0.052647,0.006391,0.562382
16035000,15.7031,5.502199,0.052647,0.006391,0.561878
16036000,15.7031,5.502199,0.052647,0.006391,0.568100
16037000,15.7031,5.502199,0.052647,0.006391,0.571974
16038000,15.7031,5.502199,0.052647,0.006391,0.575373
16039000,15.7031,5.502199,0.052647,0.006391,0.561742
16040000,15.7031,5.502199,0.052647,0.006391,0.565349
16041000,15.7031,5.502199,0.052647,0.006391,0.565810
16042000,15.7031,5.502199,0.052647,0.006391,0.572887
16043000,15.7031,5.502199,0.052647,0.006391,0.562742
16044000,15.7031,5.502199,0.052647,0.006391,0.563245
16045000,15.7031,5.502199,0.052647,0.006391,0.565947
16046000,15.7031,5.502199,0.052647,0.006391,0.563245
16047000,15.7031,5.502199,0.052647,0.006391,0.565493
16048000,15.7031,5.502199,0.052647,0.006391,0.563245
16049000,15.7031,5.502199,0.052647,0.006391,0.562742
16050000,15.7031,5.502199,0.052647,0.006391,0.565924
16051000,15.7031,5.502199,0.052647,0.006391,0.562813
16052000,15.7031,5.502199,0.052647,0.006391,0.566307
16053000,15.7031,5.502199,0.052647,0.006391,0.562885
16054000,15.7031,5.502199,0.052647,0.006391,0.563101
16055000,15.7031,5.502199,0.052647,0.006391,0.562830
16056000,15.7031,5.502199,0.052647,0.006391,0.563038
16057000,15.7031,5.502199,0.052647,0.006391,0.562957
16058000,15.7031,5.502199,0.052647,0.006391,0.562957
16059000,15.7031,5.502199,0.052647,0.006391,0.562966
16060000,15.7031,5.502199,0.052647,0.006391,0.563029
16061000,15.7031,5.502199,0.052647,0.006391,0.565598
16062000,15.7031,5.502199,0.052647,0.006391,2.610042
16063000,15.7031,5.502199,0.052647,0.006391,0.636011
16064000,15.7031,5.502199,0.052647,0.006391,0.561442
16065000,15.7031,5.502199,0.052647,0.006391,0.561121
16066000,15.7031,5.502199,0.052647,0.006391,2.267610
16067000,15.7031,5.502199,0.052647,0.006391,0.550220
16068000,15.7031,5.502199,0.052647,0.006391,0.553087
16069000,15.7031,5.502199,0.052647,0.006391,0.566351
16070000,15.7031,5.502199,0.052647,0.006391,0.584693
16071000,15.7031,5.502199,0.052647,0.006391,0.585180
16072000,15.7031,5.502199,0.052647,0.006391,0.577475
16073000,15.7031,5.502199,0.052647,0.006391,4.108254
16074000,15.7031,5.502199,0.052647,0.006391,1.464901
16075000,15.7031,5.502199,0.052647,0.006391,0.784408
16076000,15.7031,5.502199,0.052647,0.006391,0.708808
16077000,15.7031,5.502199,0.052647,0.006391,0.681294
16078000,15.7031,5.502199,0.052647,0.006391,0.632181
16079000,15.7031,5.502199,0.052647,0.006391,0.666567
16080000,15.7031,5.502199,0.052647,0.006391,0.630703
16081000,15.7031,5.502199,0.052647,0.006391,0.604337
16082000,15.7031,5.502199,0.052647,0.006391,0.595063
16083000,15.7031,5.502199,0.052647,0.006391,0.598185
16084000,15.7031,5.502199,0.052647,0.006391,0.580793
16085000,15.7031,5.502199,0.052647,0.006391,0.575845
16086000,15.7031,5.502199,0.052647,0.006391,0.576250
16087000,15.7031,5.502199,0.052647,0.006391,0.575663
16088000,15.7031,5.502199,0.052647,0.006391,0.577694
16089000,15.7031,5.502199,0.052647,0.006391,0.580904
16090000,15.7031,5.502199,0.052647,0.006391,0.587660
16091000,15.7031,5.502199,0.052647,0.006391,0.584517
16092000,15.7031,5.502199,0.052647,0.006391,0.586422
16093000,15.7031,5.502199,0.052647,0.006391,0.575975
16094000,15.7031,5.502199,0.052647,0.006391,0.563909
16095000,15.7031,5.502199,0.052647,0.006391,0.562933
16096000,15.7031,5.502199,0.052647,0.006391,0.572497
16097000,15.7031,5.502199,0.052647,0.006391,0.562102
16098000,15.7031,5.502199,0.052647,0.006391,0.567588
16099000,15.7031,5.502199,0.052647,0.006391,0.572054
16100000,15.7031,5.502199,0.052647,0.006391,0.562318
16101000,15.7031,5.502199,0.052647,0.006391,0.574191
16102000,15.7031,5.502199,0.052647,0.006391,0.564989
16103000,15.7031,5.502199,0.052647,0.006391,0.564845
16104000,15.7031,5.502199,0.052647,0.006391,0.567978
16105000,15.7031,5.502199,0.052647,0.006391,0.562246
16106000,15.7031,5.502199,0.052647,0.006391,0.564485
16107000,15.7031,5.502199,0.052647,0.006391,0.567599
16108000,15.7031,5.502199,0.052647,0.006391,0.562318
16109000,15.7031,5.502199,0.052647,0.006391,0.575589
16110000,15.7031,5.502199,0.052647,0.006391,0.562534
16111000,15.7031,5.502199,0.052647,0.006391,0.567938
16112000,15.7031,5.502199,0.052647,0.006391,0.566801
16113000,15.7031,5.502199,0.052647,0.006391,0.563461
16114000,15.7031,5.502199,0.052647,0.006391,0.569417
16115000,15.7031,5.502199,0.052647,0.006391,0.563461
16116000,15.7031,5.502199,0.052647,0.006391,0.566284
16117000,15.7031,5.502199,0.052647,0.006391,0.566140
16118000,15.7031,5.502199,0.052647,0.006391,0.564274
16119000,15.7031,5.502199,0.052647,0.006391,0.565780
16120000,15.7031,5.502199,0.052647,0.006391,0.563317
16121000,15.7031,5.502199,0.052647,0.006391,0.566442
16122000,15.7031,5.502199,0.052647,0.006391,0.570072
16123000,15.7031,5.502199,0.052647,0.006391,0.563317
16124000,15.7031,5.502199,0.052647,0.006391,0.566307
16125000,15.7031,5.502199,0.052647,0.006391,0.563317
16126000,15.7031,5.502199,0.052647,0.006391,0.563173
16127000,15.7031,5.502199,0.052647,0.006391,0.565996
16128000,15.7031,5.502199,0.052647,0.006391,0.563173
16129000,15.7031,5.502199,0.052647,0.006391,0.565924
16130000,15.7031,5.502199,0.052647,0.006391,0.563389
16131000,15.7031,5.502199,0.052647,0.006391,0.563101
16132000,15.7031,5.502199,0.052647,0.006391,0.568586
16133000,15.7031,5.502199,0.052647,0.006391,0.563101
16134000,15.7031,5.502199,0.052647,0.006391,0.566522
16135000,15.7031,5.502199,0.052647,0.006391,0.563101
16136000,15.7031,5.502199,0.052647,0.006391,0.563389
16137000,15.7031,5.502199,0.052647,0.006391,0.566243
16138000,15.7031,5.502199,0.052647,0.006391,0.563245
16139000,15.7031,5.502199,0.052647,0.006391,0.563245
16140000,15.7031,5.502199,0.052647,0.006391,0.565852
16141000,15.7031,5.502199,0.052647,0.006391,0.563317
16142000,15.7031,5.502199,0.052647,0.006391,0.563101
16143000,15.7031,5.502199,0.052647,0.006391,0.563029
16144000,15.7031,5.502199,0.052647,0.006391,0.563029
16145000,15.7031,5.502199,0.052647,0.006391,0.562957
16146000,15.7031,5.502199,0.052647,0.006391,0.563655
16147000,15.7031,5.502199,0.052647,0.006391,2.693766
16148000,15.7031,5.502199,0.052647,0.006391,0.557915
16149000,15.7031,5.502199,0.052647,0.006391,0.560480
16150000,15.7031,5.502199,0.052647,0.006391,0.562804
16151000,15.7031,5.502199,0.052647,0.006391,2.295465
