Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
101000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.009892
101001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.017811
101002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.010313
101003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018456
101004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.012385
101005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018724
101006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.010063
101007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.017831
101008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.014159
101009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.013756
101010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018238
101011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.010620
101012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.017452
101013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.014980
101014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.014255
101015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.019065
101016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.008776
101017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.019013
101018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.011598
101019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015657
101020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.014278
101021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.012191
101022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.017357
101023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.016372
101024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.016522
101025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.012246
101026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015627
101027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.013203
101028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018094
101029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.012037
101030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015727
101031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015040
101032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.012621
101033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.024537
101034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.009899
101035000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.020843
101036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.007662
101037000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.019155
101038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.017830
101039000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.020659
101040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.510190
101041000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.729110
101042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.083219
101043000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.819363
101044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.876284
101045000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.918317
101046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.823714
101047000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.083185
101048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.090202
101049000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.008403
101050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.213253
101051000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.670879
101052000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.230958
101053000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.402681
101054000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.438332
