Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.2191,0.065854,0.000377,0.000034,0.052250
1001000,0.2191,0.065854,0.000377,0.000034,0.052322
1002000,0.2191,0.065854,0.000377,0.000034,0.052250
1003000,0.2191,0.065854,0.000377,0.000034,0.052322
1004000,0.2191,0.065854,0.000377,0.000034,0.052250
1005000,0.2191,0.065854,0.000377,0.000034,0.052322
1006000,0.2191,0.065854,0.000377,0.000034,0.052322
1007000,0.2191,0.065854,0.000377,0.000034,0.052250
1008000,0.2191,0.065854,0.000377,0.000034,0.052322
1009000,0.2191,0.065854,0.000377,0.000034,0.052250
1010000,0.2191,0.065854,0.000377,0.000034,0.052322
1011000,0.2191,0.065854,0.000377,0.000034,0.052587
1012000,0.2191,0.065854,0.000377,0.000034,0.050887
1013000,0.2191,0.065854,0.000377,0.000034,0.049897
1014000,0.2191,0.065854,0.000377,0.000034,0.063337
1015000,0.2191,0.065854,0.000377,0.000034,0.064652
1016000,0.2191,0.065854,0.000377,0.000034,0.068526
1017000,0.2191,0.065854,0.000377,0.000034,0.070188
1018000,0.2191,0.065854,0.000377,0.000034,0.072922
1019000,0.2191,0.065854,0.000377,0.000034,0.065566
1020000,0.2191,0.065854,0.000377,0.000034,0.066312
1021000,0.2191,0.065854,0.000377,0.000034,0.066032
1022000,0.2191,0.065854,0.000377,0.000034,0.065543
1023000,0.2191,0.065854,0.000377,0.000034,0.066793
1024000,0.2191,0.065854,0.000377,0.000034,0.067054
1025000,0.2191,0.065854,0.000377,0.000034,0.068553
1026000,0.2191,0.065854,0.000377,0.000034,0.065623
1027000,0.2191,0.065854,0.000377,0.000034,0.064759
1028000,0.2191,0.065854,0.000377,0.000034,0.061324
1029000,0.2191,0.065854,0.000377,0.000034,0.061240
1030000,0.2191,0.065854,0.000377,0.000034,0.060774
1031000,0.2191,0.065854,0.000377,0.000034,0.057125
1032000,0.2191,0.065854,0.000377,0.000034,0.054255
1033000,0.2191,0.065854,0.000377,0.000034,0.053788
1034000,0.2191,0.065854,0.000377,0.000034,0.053897
1035000,0.2191,0.065854,0.000377,0.000034,0.050449
1036000,0.2191,0.065854,0.000377,0.000034,0.050653
1037000,0.2191,0.065854,0.000377,0.000034,0.048986
1038000,0.2191,0.065854,0.000377,0.000034,0.049106
1039000,0.2191,0.065854,0.000377,0.000034,0.047456
1040000,0.2191,0.065854,0.000377,0.000034,0.047195
1041000,0.2191,0.065854,0.000377,0.000034,0.048026
1042000,0.2191,0.065854,0.000377,0.000034,0.047063
1043000,0.2191,0.065854,0.000377,0.000034,0.047323
1044000,0.2191,0.065854,0.000377,0.000034,0.047234
1045000,0.2191,0.065854,0.000377,0.000034,0.047659
1046000,0.2191,0.065854,0.000377,0.000034,0.047660
1047000,0.2191,0.065854,0.000377,0.000034,0.047147
1048000,0.2191,0.065854,0.000377,0.000034,0.048443
1049000,0.2191,0.065854,0.000377,0.000034,0.049910
1050000,0.2191,0.065854,0.000377,0.000034,0.049839
1051000,0.2191,0.065854,0.000377,0.000034,0.049620
1052000,0.2191,0.065854,0.000377,0.000034,0.050629
1053000,0.2191,0.065854,0.000377,0.000034,0.051639
1054000,0.2191,0.065854,0.000377,0.000034,0.051036
1055000,0.2191,0.065854,0.000377,0.000034,0.051499
1056000,0.2191,0.065854,0.000377,0.000034,0.051301
1057000,0.2191,0.065854,0.000377,0.000034,0.051339
1058000,0.2191,0.065854,0.000377,0.000034,0.051275
1059000,0.2191,0.065854,0.000377,0.000034,0.051116
1060000,0.2191,0.065854,0.000377,0.000034,0.051331
1061000,0.2191,0.065854,0.000377,0.000034,0.051480
1062000,0.2191,0.065854,0.000377,0.000034,0.051397
1063000,0.2191,0.065854,0.000377,0.000034,0.050387
1064000,0.2191,0.065854,0.000377,0.000034,0.050758
1065000,0.2191,0.065854,0.000377,0.000034,0.051189
1066000,0.2191,0.065854,0.000377,0.000034,0.051531
1067000,0.2191,0.065854,0.000377,0.000034,0.051394
1068000,0.2191,0.065854,0.000377,0.000034,0.051534
1069000,0.2191,0.065854,0.000377,0.000034,0.051333
1070000,0.2191,0.065854,0.000377,0.000034,0.051602
1071000,0.2191,0.065854,0.000377,0.000034,0.051386
1072000,0.2191,0.065854,0.000377,0.000034,0.051615
1073000,0.2191,0.065854,0.000377,0.000034,0.051314
1074000,0.2191,0.065854,0.000377,0.000034,0.051612
1075000,0.2191,0.065854,0.000377,0.000034,0.051458
1076000,0.2191,0.065854,0.000377,0.000034,0.051458
1077000,0.2191,0.065854,0.000377,0.000034,0.051411
1078000,0.2191,0.065854,0.000377,0.000034,0.051458
1079000,0.2191,0.065854,0.000377,0.000034,0.051530
1080000,0.2191,0.065854,0.000377,0.000034,0.051468
1081000,0.2191,0.065854,0.000377,0.000034,0.051458
1082000,0.2191,0.065854,0.000377,0.000034,0.051540
1083000,0.2191,0.065854,0.000377,0.000034,0.051732
1084000,0.2191,0.065854,0.000377,0.000034,0.052178
1085000,0.2191,0.065854,0.000377,0.000034,0.052202
1086000,0.2191,0.065854,0.000377,0.000034,0.052187
1087000,0.2191,0.065854,0.000377,0.000034,0.052250
1088000,0.2191,0.065854,0.000377,0.000034,0.052322
1089000,0.2191,0.065854,0.000377,0.000034,0.052187
1090000,0.2191,0.065854,0.000377,0.000034,0.052322
1091000,0.2191,0.065854,0.000377,0.000034,0.052193
1092000,0.2191,0.065854,0.000377,0.000034,0.052368
1093000,0.2191,0.065854,0.000377,0.000034,0.052250
1094000,0.2191,0.065854,0.000377,0.000034,0.052259
1095000,0.2191,0.065854,0.000377,0.000034,0.052250
1096000,0.2191,0.065854,0.000377,0.000034,0.052322
1097000,0.2191,0.065854,0.000377,0.000034,0.052250
1098000,0.2191,0.065854,0.000377,0.000034,0.052322
1099000,0.2191,0.065854,0.000377,0.000034,0.052250
1100000,0.2191,0.065854,0.000377,0.000034,0.052394
1101000,0.2191,0.065854,0.000377,0.000034,0.054430
1102000,0.2191,0.065854,0.000377,0.000034,0.048442
1103000,0.2191,0.065854,0.000377,0.000034,0.047277
1104000,0.2191,0.065854,0.000377,0.000034,0.080196
1105000,0.2191,0.065854,0.000377,0.000034,0.053921
1106000,0.2191,0.065854,0.000377,0.000034,0.073277
1107000,0.2191,0.065854,0.000377,0.000034,0.062822
1108000,0.2191,0.065854,0.000377,0.000034,0.068806
1109000,0.2191,0.065854,0.000377,0.000034,0.063906
1110000,0.2191,0.065854,0.000377,0.000034,0.063024
1111000,0.2191,0.065854,0.000377,0.000034,0.064660
1112000,0.2191,0.065854,0.000377,0.000034,0.062418
1113000,0.2191,0.065854,0.000377,0.000034,0.063236
1114000,0.2191,0.065854,0.000377,0.000034,0.061519
1115000,0.2191,0.065854,0.000377,0.000034,0.060258
1116000,0.2191,0.065854,0.000377,0.000034,0.061788
1117000,0.2191,0.065854,0.000377,0.000034,0.057327
1118000,0.2191,0.065854,0.000377,0.000034,0.055540
1119000,0.2191,0.065854,0.000377,0.000034,0.055807
1120000,0.2191,0.065854,0.000377,0.000034,0.056301
1121000,0.2191,0.065854,0.000377,0.000034,0.052083
1122000,0.2191,0.065854,0.000377,0.000034,0.050338
1123000,0.2191,0.065854,0.000377,0.000034,0.049322
1124000,0.2191,0.065854,0.000377,0.000034,0.048970
1125000,0.2191,0.065854,0.000377,0.000034,0.049521
1126000,0.2191,0.065854,0.000377,0.000034,0.048328
1127000,0.2191,0.065854,0.000377,0.000034,0.048528
1128000,0.2191,0.065854,0.000377,0.000034,0.049376
1129000,0.2191,0.065854,0.000377,0.000034,0.048733
1130000,0.2191,0.065854,0.000377,0.000034,0.048776
1131000,0.2191,0.065854,0.000377,0.000034,0.049222
1132000,0.2191,0.065854,0.000377,0.000034,0.050189
1133000,0.2191,0.065854,0.000377,0.000034,0.050232
1134000,0.2191,0.065854,0.000377,0.000034,0.049910
1135000,0.2191,0.065854,0.000377,0.000034,0.050038
1136000,0.2191,0.065854,0.000377,0.000034,0.050344
1137000,0.2191,0.065854,0.000377,0.000034,0.051469
1138000,0.2191,0.065854,0.000377,0.000034,0.052254
1139000,0.2191,0.065854,0.000377,0.000034,0.051117
1140000,0.2191,0.065854,0.000377,0.000034,0.052602
1141000,0.2191,0.065854,0.000377,0.000034,0.051818
1142000,0.2191,0.065854,0.000377,0.000034,0.052470
1143000,0.2191,0.065854,0.000377,0.000034,0.051354
1144000,0.2191,0.065854,0.000377,0.000034,0.051612
1145000,0.2191,0.065854,0.000377,0.000034,0.051188
1146000,0.2191,0.065854,0.000377,0.000034,0.051610
1147000,0.2191,0.065854,0.000377,0.000034,0.051262
1148000,0.2191,0.065854,0.000377,0.000034,0.050982
1149000,0.2191,0.065854,0.000377,0.000034,0.051054
1150000,0.2191,0.065854,0.000377,0.000034,0.051125
1151000,0.2191,0.065854,0.000377,0.000034,0.051059
1152000,0.2191,0.065854,0.000377,0.000034,0.051119
1153000,0.2191,0.065854,0.000377,0.000034,0.050918
1154000,0.2191,0.065854,0.000377,0.000034,0.050963
1155000,0.2191,0.065854,0.000377,0.000034,0.050979
1156000,0.2191,0.065854,0.000377,0.000034,0.050690
1157000,0.2191,0.065854,0.000377,0.000034,0.051200
1158000,0.2191,0.065854,0.000377,0.000034,0.050542
1159000,0.2191,0.065854,0.000377,0.000034,0.050610
1160000,0.2191,0.065854,0.000377,0.000034,0.050558
1161000,0.2191,0.065854,0.000377,0.000034,0.051083
1162000,0.2191,0.065854,0.000377,0.000034,0.050649
1163000,0.2191,0.065854,0.000377,0.000034,0.050640
1164000,0.2191,0.065854,0.000377,0.000034,0.050422
1165000,0.2191,0.065854,0.000377,0.000034,0.050546
1166000,0.2191,0.065854,0.000377,0.000034,0.050611
1167000,0.2191,0.065854,0.000377,0.000034,0.050811
