Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,0.0324,0.013523,0.002678,0.000431,0.001645
4001000,0.0324,0.013523,0.002678,0.000431,0.001763
4002000,0.0324,0.013523,0.002678,0.000431,0.001763
4003000,0.0324,0.013523,0.002678,0.000431,0.001763
4004000,0.0324,0.013523,0.002678,0.000431,0.001880
4005000,0.0324,0.013523,0.002678,0.000431,0.001763
4006000,0.0324,0.013523,0.002678,0.000431,0.001880
4007000,0.0324,0.013523,0.002678,0.000431,0.002351
4008000,0.0324,0.013523,0.002678,0.000431,0.000823
4009000,0.0324,0.013523,0.002678,0.000431,0.084973
4010000,0.0324,0.013523,0.002678,0.000431,0.104365
4011000,0.0324,0.013523,0.002678,0.000431,0.110712
4012000,0.0324,0.013523,0.002678,0.000431,0.079449
4013000,0.0324,0.013523,0.002678,0.000431,0.106951
4014000,0.0324,0.013523,0.002678,0.000431,0.101662
4015000,0.0324,0.013523,0.002678,0.000431,0.087911
4016000,0.0324,0.013523,0.002678,0.000431,0.084150
4017000,0.0324,0.013523,0.002678,0.000431,0.082270
4018000,0.0324,0.013523,0.002678,0.000431,0.077804
4019000,0.0324,0.013523,0.002678,0.000431,0.074278
4020000,0.0324,0.013523,0.002678,0.000431,0.064053
4021000,0.0324,0.013523,0.002678,0.000431,0.057589
4022000,0.0324,0.013523,0.002678,0.000431,0.053710
4023000,0.0324,0.013523,0.002678,0.000431,0.053123
4024000,0.0324,0.013523,0.002678,0.000431,0.041487
4025000,0.0324,0.013523,0.002678,0.000431,0.036081
4026000,0.0324,0.013523,0.002678,0.000431,0.035023
4027000,0.0324,0.013523,0.002678,0.000431,0.029265
4028000,0.0324,0.013523,0.002678,0.000431,0.031498
4029000,0.0324,0.013523,0.002678,0.000431,0.030322
4030000,0.0324,0.013523,0.002678,0.000431,0.029029
4031000,0.0324,0.013523,0.002678,0.000431,0.025739
4032000,0.0324,0.013523,0.002678,0.000431,0.022330
4033000,0.0324,0.013523,0.002678,0.000431,0.019980
4034000,0.0324,0.013523,0.002678,0.000431,0.016807
4035000,0.0324,0.013523,0.002678,0.000431,0.016807
4036000,0.0324,0.013523,0.002678,0.000431,0.016219
4037000,0.0324,0.013523,0.002678,0.000431,0.016571
4038000,0.0324,0.013523,0.002678,0.000431,0.016101
4039000,0.0324,0.013523,0.002678,0.000431,0.013163
4040000,0.0324,0.013523,0.002678,0.000431,0.012340
4041000,0.0324,0.013523,0.002678,0.000431,0.012223
4042000,0.0324,0.013523,0.002678,0.000431,0.013281
4043000,0.0324,0.013523,0.002678,0.000431,0.011988
4044000,0.0324,0.013523,0.002678,0.000431,0.011988
4045000,0.0324,0.013523,0.002678,0.000431,0.010813
4046000,0.0324,0.013523,0.002678,0.000431,0.009755
4047000,0.0324,0.013523,0.002678,0.000431,0.008932
4048000,0.0324,0.013523,0.002678,0.000431,0.007639
4049000,0.0324,0.013523,0.002678,0.000431,0.006582
4050000,0.0324,0.013523,0.002678,0.000431,0.006582
4051000,0.0324,0.013523,0.002678,0.000431,0.006229
4052000,0.0324,0.013523,0.002678,0.000431,0.006817
4053000,0.0324,0.013523,0.002678,0.000431,0.005759
4054000,0.0324,0.013523,0.002678,0.000431,0.004466
4055000,0.0324,0.013523,0.002678,0.000431,0.004113
4056000,0.0324,0.013523,0.002678,0.000431,0.004231
4057000,0.0324,0.013523,0.002678,0.000431,0.004936
4058000,0.0324,0.013523,0.002678,0.000431,0.002821
4059000,0.0324,0.013523,0.002678,0.000431,0.002468
4060000,0.0324,0.013523,0.002678,0.000431,0.002351
4061000,0.0324,0.013523,0.002678,0.000431,0.002821
4062000,0.0324,0.013523,0.002678,0.000431,0.002233
4063000,0.0324,0.013523,0.002678,0.000431,0.002468
4064000,0.0324,0.013523,0.002678,0.000431,0.002468
4065000,0.0324,0.013523,0.002678,0.000431,0.002233
4066000,0.0324,0.013523,0.002678,0.000431,0.002586
4067000,0.0324,0.013523,0.002678,0.000431,0.001998
4068000,0.0324,0.013523,0.002678,0.000431,0.001998
4069000,0.0324,0.013523,0.002678,0.000431,0.001763
4070000,0.0324,0.013523,0.002678,0.000431,0.001880
4071000,0.0324,0.013523,0.002678,0.000431,0.001528
4072000,0.0324,0.013523,0.002678,0.000431,0.001528
4073000,0.0324,0.013523,0.002678,0.000431,0.003173
4074000,0.0324,0.013523,0.002678,0.000431,0.002233
4075000,0.0324,0.013523,0.002678,0.000431,0.002468
4076000,0.0324,0.013523,0.002678,0.000431,0.002821
4077000,0.0324,0.013523,0.002678,0.000431,0.002233
4078000,0.0324,0.013523,0.002678,0.000431,0.001763
4079000,0.0324,0.013523,0.002678,0.000431,0.001763
4080000,0.0324,0.013523,0.002678,0.000431,0.001880
4081000,0.0324,0.013523,0.002678,0.000431,0.001645
4082000,0.0324,0.013523,0.002678,0.000431,0.001763
4083000,0.0324,0.013523,0.002678,0.000431,0.001763
4084000,0.0324,0.013523,0.002678,0.000431,0.001763
4085000,0.0324,0.013523,0.002678,0.000431,0.002233
4086000,0.0324,0.013523,0.002678,0.000431,0.001528
4087000,0.0324,0.013523,0.002678,0.000431,0.000940
4088000,0.0324,0.013523,0.002678,0.000431,0.000940
4089000,0.0324,0.013523,0.002678,0.000431,0.000940
4090000,0.0324,0.013523,0.002678,0.000431,0.000940
4091000,0.0324,0.013523,0.002678,0.000431,0.000940
4092000,0.0324,0.013523,0.002678,0.000431,0.000940
4093000,0.0324,0.013523,0.002678,0.000431,0.000823
4094000,0.0324,0.013523,0.002678,0.000431,0.000940
4095000,0.0324,0.013523,0.002678,0.000431,0.000823
4096000,0.0324,0.013523,0.002678,0.000431,0.000940
4097000,0.0324,0.013523,0.002678,0.000431,0.000823
4098000,0.0324,0.013523,0.002678,0.000431,0.000823
4099000,0.0324,0.013523,0.002678,0.000431,0.000940
4100000,0.0324,0.013523,0.002678,0.000431,0.000823
4101000,0.0324,0.013523,0.002678,0.000431,0.000823
4102000,0.0324,0.013523,0.002678,0.000431,0.000940
4103000,0.0324,0.013523,0.002678,0.000431,0.000705
4104000,0.0324,0.013523,0.002678,0.000431,0.000940
4105000,0.0324,0.013523,0.002678,0.000431,0.000823
4106000,0.0324,0.013523,0.002678,0.000431,0.000823
4107000,0.0324,0.013523,0.002678,0.000431,0.000940
4108000,0.0324,0.013523,0.002678,0.000431,0.000823
4109000,0.0324,0.013523,0.002678,0.000431,0.000823
4110000,0.0324,0.013523,0.002678,0.000431,0.000940
4111000,0.0324,0.013523,0.002678,0.000431,0.000705
4112000,0.0324,0.013523,0.002678,0.000431,0.000940
4113000,0.0324,0.013523,0.002678,0.000431,0.000823
4114000,0.0324,0.013523,0.002678,0.000431,0.000823
4115000,0.0324,0.013523,0.002678,0.000431,0.000940
4116000,0.0324,0.013523,0.002678,0.000431,0.000823
4117000,0.0324,0.013523,0.002678,0.000431,0.000823
4118000,0.0324,0.013523,0.002678,0.000431,0.000940
4119000,0.0324,0.013523,0.002678,0.000431,0.000705
4120000,0.0324,0.013523,0.002678,0.000431,0.000940
4121000,0.0324,0.013523,0.002678,0.000431,0.000823
4122000,0.0324,0.013523,0.002678,0.000431,0.000823
4123000,0.0324,0.013523,0.002678,0.000431,0.000940
4124000,0.0324,0.013523,0.002678,0.000431,0.000823
4125000,0.0324,0.013523,0.002678,0.000431,0.012693
4126000,0.0324,0.013523,0.002678,0.000431,0.108831
4127000,0.0324,0.013523,0.002678,0.000431,0.068049
4128000,0.0324,0.013523,0.002678,0.000431,0.095433
4129000,0.0324,0.013523,0.002678,0.000431,0.089439
4130000,0.0324,0.013523,0.002678,0.000431,0.154315
4131000,0.0324,0.013523,0.002678,0.000431,0.131397
4132000,0.0324,0.013523,0.002678,0.000431,0.114825
4133000,0.0324,0.013523,0.002678,0.000431,0.108008
4134000,0.0324,0.013523,0.002678,0.000431,0.110006
4135000,0.0324,0.013523,0.002678,0.000431,0.097196
4136000,0.0324,0.013523,0.002678,0.000431,0.100487
4137000,0.0324,0.013523,0.002678,0.000431,0.095903
4138000,0.0324,0.013523,0.002678,0.000431,0.091437
4139000,0.0324,0.013523,0.002678,0.000431,0.078509
4140000,0.0324,0.013523,0.002678,0.000431,0.074748
4141000,0.0324,0.013523,0.002678,0.000431,0.068636
4142000,0.0324,0.013523,0.002678,0.000431,0.055708
4143000,0.0324,0.013523,0.002678,0.000431,0.042193
4144000,0.0324,0.013523,0.002678,0.000431,0.038197
4145000,0.0324,0.013523,0.002678,0.000431,0.034201
4146000,0.0324,0.013523,0.002678,0.000431,0.044543
4147000,0.0324,0.013523,0.002678,0.000431,0.031145
4148000,0.0324,0.013523,0.002678,0.000431,0.034671
4149000,0.0324,0.013523,0.002678,0.000431,0.030440
4150000,0.0324,0.013523,0.002678,0.000431,0.028324
4151000,0.0324,0.013523,0.002678,0.000431,0.024681
4152000,0.0324,0.013523,0.002678,0.000431,0.027384
4153000,0.0324,0.013523,0.002678,0.000431,0.021978
4154000,0.0324,0.013523,0.002678,0.000431,0.024446
4155000,0.0324,0.013523,0.002678,0.000431,0.020450
4156000,0.0324,0.013523,0.002678,0.000431,0.016807
4157000,0.0324,0.013523,0.002678,0.000431,0.016101
4158000,0.0324,0.013523,0.002678,0.000431,0.014926
4159000,0.0324,0.013523,0.002678,0.000431,0.011635
4160000,0.0324,0.013523,0.002678,0.000431,0.010107
4161000,0.0324,0.013523,0.002678,0.000431,0.008932
4162000,0.0324,0.013523,0.002678,0.000431,0.007052
4163000,0.0324,0.013523,0.002678,0.000431,0.004819
4164000,0.0324,0.013523,0.002678,0.000431,0.005054
4165000,0.0324,0.013523,0.002678,0.000431,0.006347
4166000,0.0324,0.013523,0.002678,0.000431,0.005406
4167000,0.0324,0.013523,0.002678,0.000431,0.003878
4168000,0.0324,0.013523,0.002678,0.000431,0.004819
4169000,0.0324,0.013523,0.002678,0.000431,0.003408
4170000,0.0324,0.013523,0.002678,0.000431,0.003526
4171000,0.0324,0.013523,0.002678,0.000431,0.001763
4172000,0.0324,0.013523,0.002678,0.000431,0.001763
4173000,0.0324,0.013523,0.002678,0.000431,0.001880
4174000,0.0324,0.013523,0.002678,0.000431,0.002233
4175000,0.0324,0.013523,0.002678,0.000431,0.000940
4176000,0.0324,0.013523,0.002678,0.000431,0.000940
4177000,0.0324,0.013523,0.002678,0.000431,0.001410
4178000,0.0324,0.013523,0.002678,0.000431,0.142092
4179000,0.0324,0.013523,0.002678,0.000431,0.116588
4180000,0.0324,0.013523,0.002678,0.000431,0.142209
4181000,0.0324,0.013523,0.002678,0.000431,0.084620
4182000,0.0324,0.013523,0.002678,0.000431,0.111064
4183000,0.0324,0.013523,0.002678,0.000431,0.115413
4184000,0.0324,0.013523,0.002678,0.000431,0.098019
4185000,0.0324,0.013523,0.002678,0.000431,0.092025
4186000,0.0324,0.013523,0.002678,0.000431,0.083798
4187000,0.0324,0.013523,0.002678,0.000431,0.081330
4188000,0.0324,0.013523,0.002678,0.000431,0.085325
4189000,0.0324,0.013523,0.002678,0.000431,0.076981
4190000,0.0324,0.013523,0.002678,0.000431,0.076393
4191000,0.0324,0.013523,0.002678,0.000431,0.075218
4192000,0.0324,0.013523,0.002678,0.000431,0.067461
4193000,0.0324,0.013523,0.002678,0.000431,0.061115
4194000,0.0324,0.013523,0.002678,0.000431,0.047951
4195000,0.0324,0.013523,0.002678,0.000431,0.043838
4196000,0.0324,0.013523,0.002678,0.000431,0.037962
4197000,0.0324,0.013523,0.002678,0.000431,0.030557
4198000,0.0324,0.013523,0.002678,0.000431,0.029382
4199000,0.0324,0.013523,0.002678,0.000431,0.034906
4200000,0.0324,0.013523,0.002678,0.000431,0.026796
4201000,0.0324,0.013523,0.002678,0.000431,0.025386
4202000,0.0324,0.013523,0.002678,0.000431,0.022683
4203000,0.0324,0.013523,0.002678,0.000431,0.022683
4204000,0.0324,0.013523,0.002678,0.000431,0.022448
4205000,0.0324,0.013523,0.002678,0.000431,0.019040
4206000,0.0324,0.013523,0.002678,0.000431,0.018687
4207000,0.0324,0.013523,0.002678,0.000431,0.019275
4208000,0.0324,0.013523,0.002678,0.000431,0.015161
4209000,0.0324,0.013523,0.002678,0.000431,0.013868
4210000,0.0324,0.013523,0.002678,0.000431,0.011988
4211000,0.0324,0.013523,0.002678,0.000431,0.009520
4212000,0.0324,0.013523,0.002678,0.000431,0.009872
4213000,0.0324,0.013523,0.002678,0.000431,0.008345
4214000,0.0324,0.013523,0.002678,0.000431,0.006934
4215000,0.0324,0.013523,0.002678,0.000431,0.008109
4216000,0.0324,0.013523,0.002678,0.000431,0.006934
4217000,0.0324,0.013523,0.002678,0.000431,0.006464
4218000,0.0324,0.013523,0.002678,0.000431,0.005524
4219000,0.0324,0.013523,0.002678,0.000431,0.004819
4220000,0.0324,0.013523,0.002678,0.000431,0.005406
4221000,0.0324,0.013523,0.002678,0.000431,0.004936
4222000,0.0324,0.013523,0.002678,0.000431,0.004349
4223000,0.0324,0.013523,0.002678,0.000431,0.004349
4224000,0.0324,0.013523,0.002678,0.000431,0.003996
4225000,0.0324,0.013523,0.002678,0.000431,0.004113
4226000,0.0324,0.013523,0.002678,0.000431,0.004231
4227000,0.0324,0.013523,0.002678,0.000431,0.004113
4228000,0.0324,0.013523,0.002678,0.000431,0.004349
4229000,0.0324,0.013523,0.002678,0.000431,0.004466
4230000,0.0324,0.013523,0.002678,0.000431,0.004349
4231000,0.0324,0.013523,0.002678,0.000431,0.003526
4232000,0.0324,0.013523,0.002678,0.000431,0.003291
