kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mst_topo.1.sm_75.ptx 704 : 6686720 36030080 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 701 : 6686493 32390836 0 0 0 208953 208953 0 0 
mst_topo.1.sm_75.ptx 700 : 6686493 47145739 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 699 : 6686493 61818757 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 689 : 6686493 35583409 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 688 : 6686493 41488686 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 687 : 6686493 41322670 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 686 : 6686493 45328302 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 685 : 6686493 3936418852 26745984 0 0 835812 208953 0 0 
mst_topo.1.sm_75.ptx 684 : 6686493 46740840 0 0 0 1573027 208953 0 0 
mst_topo.1.sm_75.ptx 670 : 6686493 35774673 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 669 : 6686493 45122734 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 668 : 6686493 3205562518 10153216 0 0 1797819 208953 0 0 
mst_topo.1.sm_75.ptx 667 : 6686493 61948229 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 666 : 6686493 61253509 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 665 : 6686493 44965070 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 664 : 6686493 4744604883 56111808 0 0 1907434 208953 0 0 
mst_topo.1.sm_75.ptx 663 : 6686493 61884709 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 662 : 6686493 41113646 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 660 : 6686493 0 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 434 : 6686720 37548960 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 431 : 6686493 1730759526 0 0 0 835812 208953 0 0 
mst_topo.1.sm_75.ptx 428 : 6686493 41107950 0 0 0 0 0 0 0 
mst_topo.1.sm_75.ptx 427 : 6686493 41969931 0 0 0 0 0 0 0 
