Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
74000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.435298
74001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.427815
74002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.446909
74003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.445044
74004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.446753
74005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.454317
74006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.434473
74007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.456422
74008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.445804
74009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.439030
74010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.453974
74011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.441933
74012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.450487
74013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.454292
74014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.464835
74015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.472648
74016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.465033
74017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.474563
74018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.464027
74019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.470749
74020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.467239
74021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.493816
74022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.488232
74023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.494643
74024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.486584
74025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.493056
74026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.499042
74027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.511997
