Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
117000000,1.3415,0.039994,0.023482,0.002970,0.013500
117001000,1.3415,0.039994,0.023482,0.002970,0.013098
117002000,1.3415,0.039994,0.023482,0.002970,0.012026
117003000,1.3415,0.039994,0.023482,0.002970,0.012959
117004000,1.3415,0.039994,0.023482,0.002970,0.012282
117005000,1.3415,0.039994,0.023482,0.002970,0.013116
117006000,1.3415,0.039994,0.023482,0.002970,0.012895
117007000,1.3415,0.039994,0.023482,0.002970,0.012979
117008000,1.3415,0.039994,0.023482,0.002970,0.012804
117009000,1.3415,0.039994,0.023482,0.002970,0.012916
117010000,1.3415,0.039994,0.023482,0.002970,0.012760
117011000,1.3415,0.039994,0.023482,0.002970,0.012286
117012000,1.3415,0.039994,0.023482,0.002970,0.012523
117013000,1.3415,0.039994,0.023482,0.002970,0.012455
117014000,1.3415,0.039994,0.023482,0.002970,0.012318
117015000,1.3415,0.039994,0.023482,0.002970,0.012607
117016000,1.3415,0.039994,0.023482,0.002970,0.012279
117017000,1.3415,0.039994,0.023482,0.002970,0.012569
117018000,1.3415,0.039994,0.023482,0.002970,0.012400
117019000,1.3415,0.039994,0.023482,0.002970,0.012742
117020000,1.3415,0.039994,0.023482,0.002970,0.012954
117021000,1.3415,0.039994,0.023482,0.002970,0.013574
117022000,1.3415,0.039994,0.023482,0.002970,0.012783
117023000,1.3415,0.039994,0.023482,0.002970,0.013588
117024000,1.3415,0.039994,0.023482,0.002970,0.012844
117025000,1.3415,0.039994,0.023482,0.002970,0.013276
117026000,1.3415,0.039994,0.023482,0.002970,0.013260
117027000,1.3415,0.039994,0.023482,0.002970,0.013013
117028000,1.3415,0.039994,0.023482,0.002970,0.013412
117029000,1.3415,0.039994,0.023482,0.002970,0.013027
117030000,1.3415,0.039994,0.023482,0.002970,0.013155
117031000,1.3415,0.039994,0.023482,0.002970,0.013421
117032000,1.3415,0.039994,0.023482,0.002970,0.012837
117033000,1.3415,0.039994,0.023482,0.002970,0.013723
117034000,1.3415,0.039994,0.023482,0.002970,0.012792
