Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
139000000,8.6440,0.261844,0.058609,0.079322,0.106030
139001000,8.6440,0.261844,0.058609,0.079322,0.100478
139002000,8.6440,0.261844,0.058609,0.079322,0.108093
139003000,8.6440,0.261844,0.058609,0.079322,0.105883
139004000,8.6440,0.261844,0.058609,0.079322,0.108700
139005000,8.6440,0.261844,0.058609,0.079322,0.108187
139006000,8.6440,0.261844,0.058609,0.079322,0.111803
139007000,8.6440,0.261844,0.058609,0.079322,0.103567
139008000,8.6440,0.261844,0.058609,0.079322,0.108738
139009000,8.6440,0.261844,0.058609,0.079322,0.102934
139010000,8.6440,0.261844,0.058609,0.079322,0.107860
139011000,8.6440,0.261844,0.058609,0.079322,0.103532
139012000,8.6440,0.261844,0.058609,0.079322,0.106348
139013000,8.6440,0.261844,0.058609,0.079322,0.106210
139014000,8.6440,0.261844,0.058609,0.079322,0.113075
139015000,8.6440,0.261844,0.058609,0.079322,0.108413
139016000,8.6440,0.261844,0.058609,0.079322,0.113059
139017000,8.6440,0.261844,0.058609,0.079322,0.108119
139018000,8.6440,0.261844,0.058609,0.079322,0.112086
139019000,8.6440,0.261844,0.058609,0.079322,0.109379
139020000,8.6440,0.261844,0.058609,0.079322,0.111173
139021000,8.6440,0.261844,0.058609,0.079322,0.110954
139022000,8.6440,0.261844,0.058609,0.079322,0.108999
139023000,8.6440,0.261844,0.058609,0.079322,0.112805
139024000,8.6440,0.261844,0.058609,0.079322,0.108688
139025000,8.6440,0.261844,0.058609,0.079322,0.111870
139026000,8.6440,0.261844,0.058609,0.079322,0.108415
139027000,8.6440,0.261844,0.058609,0.079322,0.110603
139028000,8.6440,0.261844,0.058609,0.079322,0.112784
139029000,8.6440,0.261844,0.058609,0.079322,0.107177
139030000,8.6440,0.261844,0.058609,0.079322,0.112763
139031000,8.6440,0.261844,0.058609,0.079322,0.109955
139032000,8.6440,0.261844,0.058609,0.079322,0.109040
139033000,8.6440,0.261844,0.058609,0.079322,0.114222
139034000,8.6440,0.261844,0.058609,0.079322,0.114468
139035000,8.6440,0.261844,0.058609,0.079322,0.118529
139036000,8.6440,0.261844,0.058609,0.079322,0.115123
139037000,8.6440,0.261844,0.058609,0.079322,0.116642
139038000,8.6440,0.261844,0.058609,0.079322,0.116663
139039000,8.6440,0.261844,0.058609,0.079322,0.115721
139040000,8.6440,0.261844,0.058609,0.079322,0.117902
139041000,8.6440,0.261844,0.058609,0.079322,0.115757
139042000,8.6440,0.261844,0.058609,0.079322,0.116642
139043000,8.6440,0.261844,0.058609,0.079322,0.116621
139044000,8.6440,0.261844,0.058609,0.079322,0.115771
139045000,8.6440,0.261844,0.058609,0.079322,0.116599
139046000,8.6440,0.261844,0.058609,0.079322,0.116058
139047000,8.6440,0.261844,0.058609,0.079322,0.116348
139048000,8.6440,0.261844,0.058609,0.079322,0.117909
139049000,8.6440,0.261844,0.058609,0.079322,0.114483
139050000,8.6440,0.261844,0.058609,0.079322,0.117283
139051000,8.6440,0.261844,0.058609,0.079322,0.116607
139052000,8.6440,0.261844,0.058609,0.079322,0.115764
139053000,8.6440,0.261844,0.058609,0.079322,0.118529
139054000,8.6440,0.261844,0.058609,0.079322,0.113230
139055000,8.6440,0.261844,0.058609,0.079322,0.119155
139056000,8.6440,0.261844,0.058609,0.079322,0.114770
139057000,8.6440,0.261844,0.058609,0.079322,0.116068
139058000,8.6440,0.261844,0.058609,0.079322,0.116692
139059000,8.6440,0.261844,0.058609,0.079322,0.117579
139060000,8.6440,0.261844,0.058609,0.079322,0.114806
139061000,8.6440,0.261844,0.058609,0.079322,0.117881
139062000,8.6440,0.261844,0.058609,0.079322,0.114504
139063000,8.6440,0.261844,0.058609,0.079322,0.119127
139064000,8.6440,0.261844,0.058609,0.079322,0.114525
139065000,8.6440,0.261844,0.058609,0.079322,0.117867
139066000,8.6440,0.261844,0.058609,0.079322,0.115403
139067000,8.6440,0.261844,0.058609,0.079322,0.116974
139068000,8.6440,0.261844,0.058609,0.079322,0.113605
139069000,8.6440,0.261844,0.058609,0.079322,0.117824
139070000,8.6440,0.261844,0.058609,0.079322,0.113899
139071000,8.6440,0.261844,0.058609,0.079322,0.116592
139072000,8.6440,0.261844,0.058609,0.079322,0.114229
139073000,8.6440,0.261844,0.058609,0.079322,0.131980
139074000,8.6440,0.261844,0.058609,0.079322,0.303441
139075000,8.6440,0.261844,0.058609,0.079322,0.029220
