Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
22000000,1.6202,0.544831,0.005673,0.000697,0.326899
22001000,1.6202,0.544831,0.005673,0.000697,0.326899
22002000,1.6202,0.544831,0.005673,0.000697,0.326899
22003000,1.6202,0.544831,0.005673,0.000697,0.326899
22004000,1.6202,0.544831,0.005673,0.000697,0.326899
22005000,1.6202,0.544831,0.005673,0.000697,0.326899
22006000,1.6202,0.544831,0.005673,0.000697,0.326899
22007000,1.6202,0.544831,0.005673,0.000697,0.326899
22008000,1.6202,0.544831,0.005673,0.000697,0.326899
22009000,1.6202,0.544831,0.005673,0.000697,0.326899
22010000,1.6202,0.544831,0.005673,0.000697,0.326899
22011000,1.6202,0.544831,0.005673,0.000697,0.327174
22012000,1.6202,0.544831,0.005673,0.000697,0.326899
22013000,1.6202,0.544831,0.005673,0.000697,0.326946
22014000,1.6202,0.544831,0.005673,0.000697,0.326899
22015000,1.6202,0.544831,0.005673,0.000697,0.326899
22016000,1.6202,0.544831,0.005673,0.000697,0.365920
22017000,1.6202,0.544831,0.005673,0.000697,0.327737
22018000,1.6202,0.544831,0.005673,0.000697,0.326899
22019000,1.6202,0.544831,0.005673,0.000697,0.326899
22020000,1.6202,0.544831,0.005673,0.000697,0.361588
22021000,1.6202,0.544831,0.005673,0.000697,0.326899
22022000,1.6202,0.544831,0.005673,0.000697,0.326899
22023000,1.6202,0.544831,0.005673,0.000697,0.326899
22024000,1.6202,0.544831,0.005673,0.000697,0.326899
22025000,1.6202,0.544831,0.005673,0.000697,0.326899
22026000,1.6202,0.544831,0.005673,0.000697,0.326899
22027000,1.6202,0.544831,0.005673,0.000697,0.374742
22028000,1.6202,0.544831,0.005673,0.000697,0.365559
22029000,1.6202,0.544831,0.005673,0.000697,0.329975
22030000,1.6202,0.544831,0.005673,0.000697,0.327740
22031000,1.6202,0.544831,0.005673,0.000697,0.327455
22032000,1.6202,0.544831,0.005673,0.000697,0.327134
22033000,1.6202,0.544831,0.005673,0.000697,0.327040
22034000,1.6202,0.544831,0.005673,0.000697,0.327322
22035000,1.6202,0.544831,0.005673,0.000697,0.326993
22036000,1.6202,0.544831,0.005673,0.000697,0.326946
22037000,1.6202,0.544831,0.005673,0.000697,0.327181
22038000,1.6202,0.544831,0.005673,0.000697,0.327174
22039000,1.6202,0.544831,0.005673,0.000697,0.327315
22040000,1.6202,0.544831,0.005673,0.000697,0.327371
22041000,1.6202,0.544831,0.005673,0.000697,0.326899
22042000,1.6202,0.544831,0.005673,0.000697,0.327589
