Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
135000000,0.7779,0.306348,0.002724,0.000334,0.183809
135001000,0.7779,0.306348,0.002724,0.000334,0.183832
135002000,0.7779,0.306348,0.002724,0.000334,0.183946
135003000,0.7779,0.306348,0.002724,0.000334,0.183809
135004000,0.7779,0.306348,0.002724,0.000334,0.183856
135005000,0.7779,0.306348,0.002724,0.000334,0.183809
135006000,0.7779,0.306348,0.002724,0.000334,0.183832
135007000,0.7779,0.306348,0.002724,0.000334,0.183832
135008000,0.7779,0.306348,0.002724,0.000334,0.183809
135009000,0.7779,0.306348,0.002724,0.000334,0.183856
135010000,0.7779,0.306348,0.002724,0.000334,0.183809
135011000,0.7779,0.306348,0.002724,0.000334,0.183832
135012000,0.7779,0.306348,0.002724,0.000334,0.183946
135013000,0.7779,0.306348,0.002724,0.000334,0.183809
135014000,0.7779,0.306348,0.002724,0.000334,0.183856
135015000,0.7779,0.306348,0.002724,0.000334,0.183809
135016000,0.7779,0.306348,0.002724,0.000334,0.183832
135017000,0.7779,0.306348,0.002724,0.000334,0.183832
135018000,0.7779,0.306348,0.002724,0.000334,0.183809
135019000,0.7779,0.306348,0.002724,0.000334,0.183856
135020000,0.7779,0.306348,0.002724,0.000334,0.183809
135021000,0.7779,0.306348,0.002724,0.000334,0.183809
135022000,0.7779,0.306348,0.002724,0.000334,0.183970
135023000,0.7779,0.306348,0.002724,0.000334,0.183809
135024000,0.7779,0.306348,0.002724,0.000334,0.183856
135025000,0.7779,0.306348,0.002724,0.000334,0.183809
135026000,0.7779,0.306348,0.002724,0.000334,0.183809
135027000,0.7779,0.306348,0.002724,0.000334,0.183856
135028000,0.7779,0.306348,0.002724,0.000334,0.183809
135029000,0.7779,0.306348,0.002724,0.000334,0.183970
135030000,0.7779,0.306348,0.002724,0.000334,0.183809
135031000,0.7779,0.306348,0.002724,0.000334,0.183809
135032000,0.7779,0.306348,0.002724,0.000334,0.183856
135033000,0.7779,0.306348,0.002724,0.000334,0.183809
135034000,0.7779,0.306348,0.002724,0.000334,0.183832
135035000,0.7779,0.306348,0.002724,0.000334,0.183832
135036000,0.7779,0.306348,0.002724,0.000334,0.183809
135037000,0.7779,0.306348,0.002724,0.000334,0.183856
135038000,0.7779,0.306348,0.002724,0.000334,0.183809
135039000,0.7779,0.306348,0.002724,0.000334,0.184107
135040000,0.7779,0.306348,0.002724,0.000334,0.183946
135041000,0.7779,0.306348,0.002724,0.000334,0.183809
135042000,0.7779,0.306348,0.002724,0.000334,0.183832
135043000,0.7779,0.306348,0.002724,0.000334,0.183809
135044000,0.7779,0.306348,0.002724,0.000334,0.183832
135045000,0.7779,0.306348,0.002724,0.000334,0.183809
135046000,0.7779,0.306348,0.002724,0.000334,0.183809
135047000,0.7779,0.306348,0.002724,0.000334,0.183832
135048000,0.7779,0.306348,0.002724,0.000334,0.183809
135049000,0.7779,0.306348,0.002724,0.000334,0.183889
135050000,0.7779,0.306348,0.002724,0.000334,0.183809
135051000,0.7779,0.306348,0.002724,0.000334,0.183809
135052000,0.7779,0.306348,0.002724,0.000334,0.183832
135053000,0.7779,0.306348,0.002724,0.000334,0.183809
135054000,0.7779,0.306348,0.002724,0.000334,0.183832
135055000,0.7779,0.306348,0.002724,0.000334,0.183809
135056000,0.7779,0.306348,0.002724,0.000334,0.183809
135057000,0.7779,0.306348,0.002724,0.000334,0.183832
135058000,0.7779,0.306348,0.002724,0.000334,0.183809
135059000,0.7779,0.306348,0.002724,0.000334,0.183946
135060000,0.7779,0.306348,0.002724,0.000334,0.183809
135061000,0.7779,0.306348,0.002724,0.000334,0.183809
135062000,0.7779,0.306348,0.002724,0.000334,0.183832
135063000,0.7779,0.306348,0.002724,0.000334,0.183809
135064000,0.7779,0.306348,0.002724,0.000334,0.183832
135065000,0.7779,0.306348,0.002724,0.000334,0.183809
135066000,0.7779,0.306348,0.002724,0.000334,0.183809
135067000,0.7779,0.306348,0.002724,0.000334,0.183832
135068000,0.7779,0.306348,0.002724,0.000334,0.183809
135069000,0.7779,0.306348,0.002724,0.000334,0.183809
135070000,0.7779,0.306348,0.002724,0.000334,0.183832
135071000,0.7779,0.306348,0.002724,0.000334,0.183809
135072000,0.7779,0.306348,0.002724,0.000334,0.183832
135073000,0.7779,0.306348,0.002724,0.000334,0.183809
135074000,0.7779,0.306348,0.002724,0.000334,0.183809
135075000,0.7779,0.306348,0.002724,0.000334,0.183832
135076000,0.7779,0.306348,0.002724,0.000334,0.183809
135077000,0.7779,0.306348,0.002724,0.000334,0.183832
135078000,0.7779,0.306348,0.002724,0.000334,0.183809
135079000,0.7779,0.306348,0.002724,0.000334,0.183809
135080000,0.7779,0.306348,0.002724,0.000334,0.183946
135081000,0.7779,0.306348,0.002724,0.000334,0.183809
135082000,0.7779,0.306348,0.002724,0.000334,0.183809
135083000,0.7779,0.306348,0.002724,0.000334,0.183809
135084000,0.7779,0.306348,0.002724,0.000334,0.183809
135085000,0.7779,0.306348,0.002724,0.000334,0.183809
135086000,0.7779,0.306348,0.002724,0.000334,0.183809
135087000,0.7779,0.306348,0.002724,0.000334,0.183809
135088000,0.7779,0.306348,0.002724,0.000334,0.183809
135089000,0.7779,0.306348,0.002724,0.000334,0.183809
135090000,0.7779,0.306348,0.002724,0.000334,0.183809
135091000,0.7779,0.306348,0.002724,0.000334,0.183809
135092000,0.7779,0.306348,0.002724,0.000334,0.183809
135093000,0.7779,0.306348,0.002724,0.000334,0.183809
135094000,0.7779,0.306348,0.002724,0.000334,0.183809
135095000,0.7779,0.306348,0.002724,0.000334,0.183809
135096000,0.7779,0.306348,0.002724,0.000334,0.183809
135097000,0.7779,0.306348,0.002724,0.000334,0.183809
135098000,0.7779,0.306348,0.002724,0.000334,0.183809
135099000,0.7779,0.306348,0.002724,0.000334,0.183809
135100000,0.7779,0.306348,0.002724,0.000334,0.183809
135101000,0.7779,0.306348,0.002724,0.000334,0.183809
135102000,0.7779,0.306348,0.002724,0.000334,0.183809
135103000,0.7779,0.306348,0.002724,0.000334,0.183809
135104000,0.7779,0.306348,0.002724,0.000334,0.183809
135105000,0.7779,0.306348,0.002724,0.000334,0.183809
135106000,0.7779,0.306348,0.002724,0.000334,0.183809
135107000,0.7779,0.306348,0.002724,0.000334,0.183809
135108000,0.7779,0.306348,0.002724,0.000334,0.183809
135109000,0.7779,0.306348,0.002724,0.000334,0.183809
135110000,0.7779,0.306348,0.002724,0.000334,0.183809
135111000,0.7779,0.306348,0.002724,0.000334,0.183809
135112000,0.7779,0.306348,0.002724,0.000334,0.183809
135113000,0.7779,0.306348,0.002724,0.000334,0.183809
135114000,0.7779,0.306348,0.002724,0.000334,0.183809
135115000,0.7779,0.306348,0.002724,0.000334,0.183809
135116000,0.7779,0.306348,0.002724,0.000334,0.183809
135117000,0.7779,0.306348,0.002724,0.000334,0.183809
135118000,0.7779,0.306348,0.002724,0.000334,0.183809
135119000,0.7779,0.306348,0.002724,0.000334,0.183809
135120000,0.7779,0.306348,0.002724,0.000334,0.183809
135121000,0.7779,0.306348,0.002724,0.000334,0.183809
135122000,0.7779,0.306348,0.002724,0.000334,0.183809
135123000,0.7779,0.306348,0.002724,0.000334,0.183809
135124000,0.7779,0.306348,0.002724,0.000334,0.183809
135125000,0.7779,0.306348,0.002724,0.000334,0.183809
135126000,0.7779,0.306348,0.002724,0.000334,0.183809
135127000,0.7779,0.306348,0.002724,0.000334,0.183809
135128000,0.7779,0.306348,0.002724,0.000334,0.183809
135129000,0.7779,0.306348,0.002724,0.000334,0.183809
135130000,0.7779,0.306348,0.002724,0.000334,0.183809
135131000,0.7779,0.306348,0.002724,0.000334,0.183809
135132000,0.7779,0.306348,0.002724,0.000334,0.183809
135133000,0.7779,0.306348,0.002724,0.000334,0.183809
135134000,0.7779,0.306348,0.002724,0.000334,0.183809
135135000,0.7779,0.306348,0.002724,0.000334,0.183809
135136000,0.7779,0.306348,0.002724,0.000334,0.183809
135137000,0.7779,0.306348,0.002724,0.000334,0.183809
135138000,0.7779,0.306348,0.002724,0.000334,0.183809
135139000,0.7779,0.306348,0.002724,0.000334,0.183809
135140000,0.7779,0.306348,0.002724,0.000334,0.183809
135141000,0.7779,0.306348,0.002724,0.000334,0.183809
135142000,0.7779,0.306348,0.002724,0.000334,0.183809
135143000,0.7779,0.306348,0.002724,0.000334,0.183809
135144000,0.7779,0.306348,0.002724,0.000334,0.183809
135145000,0.7779,0.306348,0.002724,0.000334,0.183809
135146000,0.7779,0.306348,0.002724,0.000334,0.183809
135147000,0.7779,0.306348,0.002724,0.000334,0.183809
135148000,0.7779,0.306348,0.002724,0.000334,0.183809
135149000,0.7779,0.306348,0.002724,0.000334,0.183809
135150000,0.7779,0.306348,0.002724,0.000334,0.183809
135151000,0.7779,0.306348,0.002724,0.000334,0.183809
135152000,0.7779,0.306348,0.002724,0.000334,0.183809
135153000,0.7779,0.306348,0.002724,0.000334,0.183809
135154000,0.7779,0.306348,0.002724,0.000334,0.183809
135155000,0.7779,0.306348,0.002724,0.000334,0.183809
135156000,0.7779,0.306348,0.002724,0.000334,0.183809
135157000,0.7779,0.306348,0.002724,0.000334,0.183809
135158000,0.7779,0.306348,0.002724,0.000334,0.183809
135159000,0.7779,0.306348,0.002724,0.000334,0.183809
135160000,0.7779,0.306348,0.002724,0.000334,0.183809
135161000,0.7779,0.306348,0.002724,0.000334,0.183809
135162000,0.7779,0.306348,0.002724,0.000334,0.183809
135163000,0.7779,0.306348,0.002724,0.000334,0.183809
135164000,0.7779,0.306348,0.002724,0.000334,0.183809
135165000,0.7779,0.306348,0.002724,0.000334,0.183809
135166000,0.7779,0.306348,0.002724,0.000334,0.183809
135167000,0.7779,0.306348,0.002724,0.000334,0.183809
135168000,0.7779,0.306348,0.002724,0.000334,0.183809
135169000,0.7779,0.306348,0.002724,0.000334,0.183809
135170000,0.7779,0.306348,0.002724,0.000334,0.183809
135171000,0.7779,0.306348,0.002724,0.000334,0.183809
135172000,0.7779,0.306348,0.002724,0.000334,0.183809
135173000,0.7779,0.306348,0.002724,0.000334,0.183809
135174000,0.7779,0.306348,0.002724,0.000334,0.183809
135175000,0.7779,0.306348,0.002724,0.000334,0.183809
135176000,0.7779,0.306348,0.002724,0.000334,0.183809
135177000,0.7779,0.306348,0.002724,0.000334,0.183809
135178000,0.7779,0.306348,0.002724,0.000334,0.183809
135179000,0.7779,0.306348,0.002724,0.000334,0.183809
135180000,0.7779,0.306348,0.002724,0.000334,0.183809
135181000,0.7779,0.306348,0.002724,0.000334,0.183809
135182000,0.7779,0.306348,0.002724,0.000334,0.183809
135183000,0.7779,0.306348,0.002724,0.000334,0.183809
135184000,0.7779,0.306348,0.002724,0.000334,0.183809
135185000,0.7779,0.306348,0.002724,0.000334,0.183809
