Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
153000000,23.8212,1.028147,0.538949,0.086720,5.449203
153001000,23.8212,1.028147,0.538949,0.086720,5.458472
153002000,23.8212,1.028147,0.538949,0.086720,5.445165
153003000,23.8212,1.028147,0.538949,0.086720,5.457383
153004000,23.8212,1.028147,0.538949,0.086720,5.448974
153005000,23.8212,1.028147,0.538949,0.086720,5.453927
153006000,23.8212,1.028147,0.538949,0.086720,5.453221
153007000,23.8212,1.028147,0.538949,0.086720,5.452206
153008000,23.8212,1.028147,0.538949,0.086720,5.451229
153009000,23.8212,1.028147,0.538949,0.086720,5.455965
153010000,23.8212,1.028147,0.538949,0.086720,5.447896
153011000,23.8212,1.028147,0.538949,0.086720,5.455656
153012000,23.8212,1.028147,0.538949,0.086720,5.449586
153013000,23.8212,1.028147,0.538949,0.086720,5.454182
153014000,23.8212,1.028147,0.538949,0.086720,5.453384
153015000,23.8212,1.028147,0.538949,0.086720,5.452456
153016000,23.8212,1.028147,0.538949,0.086720,5.451253
153017000,23.8212,1.028147,0.538949,0.086720,5.455490
153018000,23.8212,1.028147,0.538949,0.086720,5.447667
153019000,23.8212,1.028147,0.538949,0.086720,5.454476
153020000,23.8212,1.028147,0.538949,0.086720,5.450700
153021000,23.8212,1.028147,0.538949,0.086720,5.452706
153022000,23.8212,1.028147,0.538949,0.086720,5.454165
153023000,23.8212,1.028147,0.538949,0.086720,5.450220
153024000,23.8212,1.028147,0.538949,0.086720,5.452954
153025000,23.8212,1.028147,0.538949,0.086720,5.454808
153026000,23.8212,1.028147,0.538949,0.086720,5.448192
153027000,23.8212,1.028147,0.538949,0.086720,5.455669
153028000,23.8212,1.028147,0.538949,0.086720,5.450578
153029000,23.8212,1.028147,0.538949,0.086720,5.453047
153030000,23.8212,1.028147,0.538949,0.086720,5.454627
153031000,23.8212,1.028147,0.538949,0.086720,5.449911
